ID	DOCULECT	CONCEPT	RGEN	CONCEPTICON_ID	TBL_ID	GLOSS_IN_SOURCE	IPA	TOKENS
1	Bahing	I [first person singular]	122277	1209	928	firefly (an, i)	dɔlɔtsiŋma	d ɔ l ɔ ts i ŋ m a
2	Bahing	I [first person singular]	121975	1209	928	I (pron)	gu	g u
3	Bahing	above	122881	1741	731	above, up (adv)	hati, haty	hati, haty
4	Bahing	below, under	122879	1485	732	below (adv)	hajy	h a j y
5	Bahing	below, under	122278	1485	732	under, below (n, pp)	dojy	d o j y
6	Bahing	big	122043	1202	964	big (adj)	a-ŋolo	a ŋ o l o
7	Bahing	black	121786	163	1005	black (adj)	kɛkɛ	k ɛ k ɛ
8	Bahing	cold (of temperature)	122157	1287	1063	cold (n)	dzuːmi	d z uː m i
9	Bahing	dark	122222	706	1013	at night (adv)	tyŋatsi	t y ŋ a ts i
10	Bahing	dirty	122077	1230	1086	infested, dirty (be v.)	tsa-	ts a
11	Bahing	dry	122280	1398	1028	dry (vi)	doŋ- (/døt-)	d o ŋ
12	Bahing	dry	122840	1398	1028	dry (vi)	sø-	s ø
13	Bahing	dry	122887	1398	1028	dry, spread to dry (vt)	ham-	h a m
14	Bahing	eight	121723	1705	804	eight (num)	ja	j a
15	Bahing	far	121948	1406	974	uphill, upstairs, far (adv)	getta	g e tt a
16	Bahing	five	122041	493	801	five (num)	ŋə	ŋ ə
17	Bahing	four	122703	1500	800	four (num)	le	l e
18	Bahing	good	122641	1035	1052	good-looking, good (be v.)	rim-	r i m
19	Bahing	good	122642	1035	1052	well, thoroughly (adv)	rimøkhø	r i m ø kh ø
20	Bahing	green	121945	1425	1009	green (adj)	gigi (mœba)	g i g i
21	Bahing	he or she [third person singular]	121703	262	934	he [ERGATIVE] (pron)	amtsam	a m ts a m
22	Bahing	he or she [third person singular]	121687	262	934	this, he, she (demon)	ɛm	ɛ m
23	Bahing	he or she [third person singular]	121700	262	934	he, she (pron v.)	am	a m
24	Bahing	hot	122116	1286	1062	warm, cosy (adj)	tsøtsø	ts ø ts ø
25	Bahing	hot	122141	1286	1062	hot, warm (feeling) (be v.)	dze-	d z e
26	Bahing	hot	122484	1286	1062	heat (n)	bapmi	b a p m i
27	Bahing	inside	122015	1606	715	inside (n)	ghɔ	gh ɔ
28	Bahing	late	121695	477	1019	later (in the day) (adv)	anama	a n a m a
29	Bahing	left	121985	244	710	hand (n)	gy	g y
30	Bahing	long	122173	1203	972	long (be v.)	dz(h)ø-	d z ø
31	Bahing	middle	122736	1093	708	middle, between (n loc)	lø	l ø
32	Bahing	middle	122750	1093	708	midst, middle (n loc)	lymby	l y m b y
33	Bahing	narrow	121922	1267	977	close, lock up (vt)	khrɛpt-	kh r ɛ p t
34	Bahing	narrow	122103	1267	977	close (vt)	tsok-	ts o k
35	Bahing	narrow	122762	1267	977	lock / close (door or window) (v)	sild-	s i l d
36	Bahing	near	121922	1942	975	close, lock up (vt)	khrɛpt-	kh r ɛ p t
37	Bahing	near	122103	1942	975	close (vt)	tsok-	ts o k
38	Bahing	near	122410	1942	975	next to, near (n, pp)	pym	p y m
39	Bahing	near	122762	1942	975	lock / close (door or window) (v)	sild-	s i l d
40	Bahing	new	122314	1231	1050	new (adj)	ninta	n i n t a
41	Bahing	nine	122017	1483	805	nine (num)	ghø	gh ø
42	Bahing	old (of person)	122030	2112	1058	elder (e.g. a-ŋaːtsa hopo 'my elder/eldest brother' (n)	ŋaːtsa	ŋ aː ts a
43	Bahing	old (of person)	121748	2112	1058	brother, elder; elder sibling (n)	wa	w a
44	Bahing	old (of person)	122582	2112	1058	old, old age (adj)	maisam	m a i s a m
45	Bahing	one	121810	1493	797	one (num)	koŋ	k o ŋ
46	Bahing	outside	121766	762	714	outside (adv)	wareŋ	w a r e ŋ
47	Bahing	outside	122213	762	714	outside (n, pp)	tola	t o l a
48	Bahing	red	122722	156	1007	red (adj)	lala	l a l a
49	Bahing	right	121985	1019	711	hand (n)	gy	g y
50	Bahing	right	122159	1019	711	right (side) (adj)	dzumro	d z u m r o
