ID	DOCULECT	CONCEPT	RGEN	CONCEPTICON_ID	TBL_ID	GLOSS_IN_SOURCE	IPA	TOKENS
1	Hayu	I [first person singular]	120105	1209	928	my, me (pron po)	aŋ	a ŋ
2	Hayu	I [first person singular]	120407	1209	928	I, me, we, us (pron (1)	gu	g u
3	Hayu	above	120114	1741	731	up, above (adv loc)	ani	a n i
4	Hayu	above	120115	1741	731	above (pp)	ani	a n i
5	Hayu	above	121456	1741	731	up, up there, above (adv)	wani	w a n i
6	Hayu	below, under	121591	1485	732	down, below (adv loc)	hute	h u t e
7	Hayu	below, under	121592	1485	732	down, below (adv)	hutoŋ	h u t o ŋ
8	Hayu	below, under	121287	1485	732	below, down (adv)	yʊ̃ːkha	y ʊ̃ː kh a
9	Hayu	below, under	120144	1485	732	below (pp)	uti	u t i
10	Hayu	big	121645	1202	964	be big, become big; win (vi, vr)	xʊn	x ʊ n
11	Hayu	big	120161	1202	964	big, huge (adj)	ʊlawo	ʊ l a w o
12	Hayu	black	120304	163	1005	black (adj)	khaktshiŋmi	kh a k tsh i ŋ m i
13	Hayu	cold (of temperature)	120635	1287	1063	cold (temperature) (n)	dzũːsa	d z ũː s a
14	Hayu	dark	121295	706	1013	night, at night (n, adv)	yeksa	y e ks a
15	Hayu	dark	120217	706	1013	dark, darkness (adj)	kuŋkuŋ	k u ŋ k u ŋ
16	Hayu	dirty	121129	1230	1086	be stained, soiled (vtt (im)	bɩ(t)	b ɩ
17	Hayu	dirty	120542	1230	1086	dirt / filth (n)	tseksiŋ-waxsiŋ	ts e ks i ŋ w a xs i ŋ
18	Hayu	dry	121432	1398	1028	dry (meat) (vtt)	lop	l o p
19	Hayu	dry	121178	1398	1028	dry (vt, vtt)	bo(t)	b o
20	Hayu	dry	121560	1398	1028	dry (of earth) (adj)	soːso	s oː s o
21	Hayu	early	120877	672	1018	soon, early (adv)	naːna	n aː n a
22	Hayu	far	121643	1406	974	far (adv)	xuʔlam	x u ʔ l a m
23	Hayu	four	121183	1500	800	four (not human) (num+cl)	bliuŋ	b l i u ŋ
24	Hayu	four	121181	1500	800	four (num)	bli	b l i
25	Hayu	full	120603	1429	984	satisfied (be v.)	tsho	tsh o
26	Hayu	good	121120	1035	1052	good-looking, beautiful (of a woman) (adj)	biŋtsomi	b i ŋ ts o m i
