ID	DOCULECT	CONCEPT	RGEN	CONCEPTICON_ID	TBL_ID	GLOSS_IN_SOURCE	IPA	TOKENS
1	Kanauri	I [first person singular]	337391	1209	928	I (prn)	gö	g ö
2	Kanauri	bad	338057	1292	1053	bad (adj)	măr	m ă r
3	Kanauri	bad	338070	1292	1053	bad (adj)	mas̱ẖkăts	m a s̱ ẖ k ă ts
4	Kanauri	below, under	339415	1485	732	beneath / below (adv)	yuṭhöṅ	y u ṭh ö ṅ
5	Kanauri	big	339034	1202	964	big (adj)	tegʻ	t e gʻ
6	Kanauri	black	338664	163	1005	black (adj)	rŏkh	r ŏ kh
7	Kanauri	cold (of temperature)	337051	1287	1063	cough / cold (n)	chămba	ch ă m b a
8	Kanauri	cold (of temperature)	337999	1287	1063	cold (n)	liss	l i ss
9	Kanauri	cold (of temperature)	338898	1287	1063	cold (n)	sɔ̆dkh	s ɔ̆ d kh
10	Kanauri	dark	336701	706	1013	dark / darkness (adj)	anyāröṅ	a n y ā r ö ṅ
11	Kanauri	dark	336700	706	1013	darkness (n)	anyāröṅ	a n y ā r ö ṅ
12	Kanauri	dark	339063	706	1013	darkness (n)	thamsiṅ	th a ms i ṅ
13	Kanauri	dark	339338	706	1013	darkness (n)	tŭr	t ŭ r
14	Kanauri	dark	339339	706	1013	darkness (n)	tŭro	t ŭ r o
15	Kanauri	dark	336702	706	1013	dark (adj)	anyārös	a n y ā r ös
16	Kanauri	dark	339064	706	1013	dark (adj)	thamsiṅ	th a ms i ṅ
17	Kanauri	dark	339340	706	1013	dark (adj)	tŭr	t ŭ r
18	Kanauri	dark	339341	706	1013	dark (adj)	tŭro	t ŭ r o
19	Kanauri	dirty	337870	1230	1086	dirty	krī sea	krī sea
20	Kanauri	dry	339235	1398	1028	dry (vt/i)	tsharmigʻ	tsh a r m i gʻ
21	Kanauri	dry	339236	1398	1028	dry (adj)	tshars	tsh a rs
22	Kanauri	eight	338570	1705	804	eight (adj)	rai	r a i
23	Kanauri	far	339369	1406	974	far / distant (adv/j)	wark	w a r k
24	Kanauri	far	337280	1406	974	far (adv)	dör	d ö r
25	Kanauri	five	338196	493	801	five (adj)	ṅā	ṅ ā
26	Kanauri	four	338495	1500	800	four	pö	p ö
27	Kanauri	full	336931	1429	984	full (adj)	böṅ◦s̱ẖĕs	b ö ṅ ◦ s̱ ẖ ĕs
28	Kanauri	good	336878	1035	1052	good (adj)	bīnös	b ī n ös
29	Kanauri	good	337593	1035	1052	good (n)	jălʻ	j ă lʻ
30	Kanauri	good	337607	1035	1052	good (adj)	jik◦po	j i k ◦ p o
31	Kanauri	good	339103	1035	1052	best	ṭhötsī dăm	ṭhötsī dăm
32	Kanauri	good	339104	1035	1052	best	ṭhötsī dēbāʻs̱ẖ	ṭhötsī dēbāʻs̱ẖ
33	Kanauri	good	339471	1035	1052	best	zō dăm	zō dăm
34	Kanauri	good	339472	1035	1052	best	zō dēbāʻs̱ẖ	zō dēbāʻs̱ẖ
35	Kanauri	good	337934	1035	1052	good / adept / clever / worthy (adj)	laĭk	l a ĭ k
36	Kanauri	good	337198	1035	1052	good / clean / healthy / well (adj/adv)	dēbas̱ẖ	d ē b a s̱ ẖ
37	Kanauri	good	336788	1035	1052	beautiful (adjf)	banṭhē	b a n ṭh ē
38	Kanauri	good	336789	1035	1052	beautiful (adjf)	banṭhiṅ	b a n ṭh i ṅ
39	Kanauri	good	338866	1035	1052	beautiful (adjf)	s̱ẖyarē	s̱ ẖ y a r ē
40	Kanauri	good	338622	1035	1052	beautiful (in both character and appearance) (adj)	rēmigʻ	r ē m i gʻ
41	Kanauri	green	338569	1425	1009	blue / green (adj)	rāgʻ	r ā gʻ
42	Kanauri	hard	339007	1884	1034	difficult / hard / tight (adj)	ṭalk(h)	ṭ a l k
43	Kanauri	he or she [third person singular]	338298	262	934	he / she / that (prn)	nŭ	n ŭ
44	Kanauri	he or she [third person singular]	337622	262	934	he / she / this	jŭ	j ŭ
45	Kanauri	he or she [third person singular]	337242	262	934	he / she (prn)	do	d o
46	Kanauri	he or she [third person singular]	337243	262	934	he (she) / himself (herself) (prn)	do aṇei	do aṇei
47	Kanauri	heavy	339154	1210	1014	weight / heaviness (n)	tol	t o l
48	Kanauri	heavy	337985	1210	1014	heavy	lī◦k	l ī ◦ k
49	Kanauri	high / tall	337945	1265	968	long / high (adj)	lamös	l a m ös
50	Kanauri	high / tall	338589	1265	968	high (adj)	raṅg	r a ṅ g
51	Kanauri	high / tall	338619	1265	968	high (adj)	rĕgĕn	r ĕ g ĕ n
52	Kanauri	hot	336709	1286	1062	warm (vt)	armigʻ	a r m i gʻ
53	Kanauri	hot	336910	1286	1062	hot (adj)	bŏkh	b ŏ kh
54	Kanauri	hot	339460	1286	1062	heat / summer (n)	ẕẖāṅ	ẕ ẖ ā ṅ
55	Kanauri	inside	337830	1606	715	inside (adv)	kŏmo	k ŏ m o
56	Kanauri	late	337430	477	1019	late (adj)	gŏrgŏr	g ŏ r g ŏ r
57	Kanauri	late	337432	477	1019	late (adj)	gŏr◦sa	g ŏ r ◦ s a
58	Kanauri	late	337434	477	1019	late (vi)	gŏr◦sa s̱ẖĕnmigʻ	gŏr◦sa s̱ẖĕnmigʻ
59	Kanauri	late	337769	477	1019	late (adj)	khṙā khrā	khṙā khrā
60	Kanauri	late	337770	477	1019	late (vi)	khṙā khrā hacimigʻ	khṙā khrā hacimigʻ
61	Kanauri	late	337436	477	1019	late, it is	gŏr◦sa haceʻ	gŏr◦sa haceʻ
62	Kanauri	late	337435	477	1019	late (of time) (vi)	gŏr◦sa hacimigʻ	gŏr◦sa hacimigʻ
63	Kanauri	left	337746	244	710	left (not right) (adj)	khojöṅ	kh o j ö ṅ
64	Kanauri	light (of weight)	339229	1052	1052	light (vt)	tshāmigʻ	tsh ā m i gʻ
65	Kanauri	light (of weight)	337943	1052	1052	light (not heavy) (adj)	lamgids	l a m g i ds
66	Kanauri	long	337945	1203	972	long / high	lamös	l a m ös
67	Kanauri	many	339102	1198	987	most (adv)	ṭhötsī	ṭh ö ts ī
68	Kanauri	many	336904	1198	987	much / very (adj)	bodī	b o d ī
69	Kanauri	many	336905	1198	987	much / very (adv)	bodī	b o d ī
70	Kanauri	many	337446	1198	987	much / very (adj/adv)	gɔ̆zăb	g ɔ̆ z ă b
71	Kanauri	many	337393	1198	987	much (adj)	gobʻ tsorös	gobʻ tsorös
72	Kanauri	many	337794	1198	987	much (adj)	khwār	kh w ā r
73	Kanauri	many	337913	1198	987	much (adj)	kyālökhā	k y ā l ö kh ā
74	Kanauri	many	339470	1198	987	most (superlative) (adj/v)	zō	z ō
75	Kanauri	middle	338777	1093	708	passive or middle or with reciprocal sense (infix)	s̱ẖi-	s̱ ẖ i
76	Kanauri	middle	338031	1093	708	middle (adj)	majöṅ	m a j ö ṅ
77	Kanauri	morning	338232	1339	749	morning (n)	nāsĭmī	n ās ĭ m ī
78	Kanauri	morning	338905	1339	749	morning (n)	sŏm	s ŏ m
79	Kanauri	narrow	337384	1267	977	narrow (adj)	gaṭös	g a ṭ ös
80	Kanauri	narrow	337578	1267	977	close / shut (vt)	hŭrĕāmigʻ	h ŭ r ĕ ā m i gʻ
81	Kanauri	narrow	337382	1267	977	few / small / narrow (adj)	gaṭō	g a ṭ ō
82	Kanauri	near	338238	1942	975	near (adv)	nerön	n e r ö n
83	Kanauri	near	338003	1942	975	on this side / in this direction / near	lokōʻ	l o k ōʻ
84	Kanauri	near	338002	1942	975	on this side / near (adv)	lō	l ō
85	Kanauri	near	337603	1942	975	in this direction / on this side / near (adv)	jekōʻ	j e k ōʻ
