NUMBER	GLOSS	SEMANTIC TAG	STATUS
1	above	location, adjective or noun	OLD
2	all	characterisation, quantity	OLD
3	ant (noun)	animal	NEW
4	armpit (noun)	body	NEW
5	bad	characterisation, character	OLD
6	bamboo (noun)	plant, food	NEW
7	barley (tibetan or highland) (noun)	plant	NEW
8	be alive (verb)	process	OLD
9	belly (noun)	body	OLD
10	below, under	location, adjective or noun	OLD
11	big	characterisation, quantity	OLD
12	bird (noun)	animal	OLD
13	bite (verb)	action	OLD
14	black	characterization, color	OLD
15	blood (noun)	body	OLD
16	blow (of wind) (verb)	process	OLD
17	body hair (hair or fur) (noun)		NEW
18	bone (noun)	body	OLD
19	branch (noun)	body, plant	OLD
20	breast (female) (noun)	body	OLD
21	burn [intransitive] (verb)	process	OLD
22	buy (verb)	action	OLD
23	chew (verb)	action	OLD
24	child (young human (noun)	kinship	OLD
25	cloud (noun)	nature	OLD
26	cold (of temperature)	characterization, weather	OLD
27	come (verb)	action	OLD
28	correct (right)	characterization, character	OLD
29	count (verb)	action	OLD
30	cry (weep) (verb)	action	OLD
31	dark	characterisation, state	NEW
32	daughter (noun)	kinship	NEW
33	dew (noun)	nature	NEW
34	die (verb)	process	OLD
35	dig (verb)	action	OLD
36	dirty	characterisation, state	OLD
37	dog (noun)	nature	OLD
38	dream (noun)	mind	OLD
39	drink (verb)	action	OLD
40	dry	characterisation, state	OLD
41	dust (noun)	nature	OLD
42	ear (noun)	body	OLD
43	early	time	NEW
44	earth (soil) (noun)	nature	OLD
45	earthworm (noun)	animal	NEW
46	eat (verb)	action	OLD
47	egg (noun)	animal, product	OLD
48	eight	number	OLD
49	eye (noun)	body	OLD
50	far	characterisation, location	OLD
51	father (noun)	kinship	OLD
52	feather (noun)	animal, product	OLD
53	fight (verb)	action	OLD
54	fire (noun)	nature	OLD
55	firewood	object, utility	NEW
56	fish (noun)	animal	OLD
57	five	number	OLD
58	flea (noun)	animal	NEW
59	float (verb)	process	OLD
60	flow (verb)	process	OLD
61	flower (noun)	plant	OLD
62	fly (move through air) (verb)	action	OLD
63	fog (noun)	nature	OLD
64	foot (noun)	body	OLD
65	forest (noun)	nature	OLD
66	forget	action	NEW
67	four	number	OLD
68	fox (noun)	animal	NEW
69	frog (noun)	animal	NEW
70	front (front side) (noun)	location	NEW
71	frost (noun)	nature	NEW
72	fruit (noun)	nature, food	OLD
73	full	characterisation, state	OLD
74	give (verb)	action	OLD
75	goat (noun)	animal	NEW
76	good	characterisation, character	OLD
77	grass (noun)	nature	OLD
78	green	characterization, color	OLD
79	hail (noun)	nature	NEW
80	hair (of the head) (noun)	body	OLD
81	hand (noun)	body	OLD
82	hard	characterisation, form	NEW
83	he or she [third person pronoun singular]	pronoun	OLD
84	head (noun)	body	OLD
85	hear (verb)	action	OLD
86	heart (noun)	body	OLD
87	heavy	characterisation, quantity	OLD
88	here	location, pronoun	OLD
89	hide (conceal) (verb)	action	OLD
90	high / tall	characterisation, quantity	NEW
91	hold (verb)	action	OLD
92	hoof (noun)	body	NEW
93	horizontal	location	NEW
94	horn (keratinized skin) (noun)	body, animal	OLD
95	horse (noun)	animal	NEW
96	hot	characterisation, temperature	NEW
97	house (noun)	residence	OLD
98	hundred	number	NEW
99	hundred	number	OLD
100	hunt (verb)	action	OLD
101	husband (noun)	kinship	OLD
102	i [first person singular]	pronoun	OLD
103	ice (noun)	nature	OLD
104	inside	location	NEW
105	kill (verb)	action	OLD
106	knead	action	NEW
107	knee (noun)	body	OLD
108	knife	object, tool	OLD
109	know (verb)	action	OLD
110	lake (noun)	nature	OLD
111	late	time	NEW
112	laugh (verb)	action	OLD
113	leaf (noun)	body, animal	OLD
114	learn	action	NEW
115	left	characterization, location	OLD
116	lick (verb)	action	OLD
117	lie down (verb)	action	OLD
118	light (of weight)	characterisation, quantity	NEW
119	lip (the lips) (noun)		NEW
120	liver (noun)	body	OLD
121	long	characterization, quantity	OLD
122	louse (noun)	animal	OLD
123	lung (noun)	body part	NEW
124	man (male human) (noun)	human being	OLD
