# Wordlist

# DATA
ID	POS	CONCEPT	LGID	RGEN	GLOSS_IN_SOURCE	ENTRY_IN_SOURCE	DOCULECT	SRCID	SRCABBR	ID_IN_SOURCE	IPA	TOKENS	SOURCE	TAXON_NAME_IN_SOURCE	SUBGROUP
#
49410	pron	I [first person singular]	1831	392749	I	ŋa³³	Nusu_Central	0928.34	TBL	49410	ŋa³³	ŋ a ³³	STEDT/TBL	Nusu (Central)	Northern Loloish
66098	pron	I [first person singular]	1840	392757	I	ŋɔ⁵⁵	Hani_Mojiang	0928.42	TBL	66098	ŋɔ⁵⁵	ŋ ɔ ⁵⁵	STEDT/TBL	Hani (Mojiang)	Southern Loloish
15851	pron	I [first person singular]	1812	392732	I	ŋɛ³⁵	Xumi	0928.17	TBL	15851	ŋɛ³⁵	ŋ ɛ ³⁵	STEDT/TBL	Xumi	Qiangic
1053	pron	I [first person singular]	1804	392716	I	ŋa	Tibetan_Written	0928.01	TBL	1053	ŋa	ŋ a	STEDT/TBL	Tibetan (Written)	Tibetan
1054	pron	I [first person singular]	1804	392766	I	bdag	Tibetan_Written	0928.01	TBL	1054	bdag	b ◦ d a g	STEDT/TBL	Tibetan (Written)	Tibetan
17732	pron	I [first person singular]	1813	392733	I	æ⁵³	Lyuzu	0928.18	TBL	17732	æ⁵³	æ ⁵³	STEDT/TBL	Lyuzu	Qiangic
17733	pron	I [first person singular]	1813	392769	I	a³³duo⁵³	Lyuzu	0928.18	TBL	17733	a³³duo⁵³	a ³³ ◦ d u o ⁵³	STEDT/TBL	Lyuzu	Qiangic
83501	pron	I [first person singular]	1850	392721	I	ŋe³⁵	Cuona_Menba	0928.06	TBL	83501	ŋe³⁵	ŋ e ³⁵	STEDT/TBL	Cuona Menba	Bodic
8513	pron	I [first person singular]	1808	392767	I	ŋɯ¹³	Queyu_Xinlong	0928.13	TBL	8513	ŋɯ¹³	ŋ ɯ ¹³	STEDT/TBL	Queyu (Xinlong)	Qiangic
51243	pron	I [first person singular]	1832	392750	I	ŋɑ³³	Yi_Xide	0928.35	TBL	51243	ŋɑ³³	ŋ ɑ ³³	STEDT/TBL	Yi (Xide)	Northern Loloish
67901	pron	I [first person singular]	1841	392758	I	ŋɑ³¹	Lahu_Lancang	0928.43	TBL	67901	ŋɑ³¹	ŋ ɑ ³¹	STEDT/TBL	Lahu (Lancang)	Central Loloish
19572	pron	I [first person singular]	1814	392734	I	ŋai³³	Jingpho	0928.19	TBL	19572	ŋai³³	ŋ a i ³³	STEDT/TBL	Jingpho	Jingpho
3015	pron	I [first person singular]	1805	392725	I	ie⁵⁵	Pumi_Jiulong	0928.10	TBL	3015	ie⁵⁵	i e ⁵⁵	STEDT/TBL	Pumi (Jiulong)	Qiangic
81944	pron	I [first person singular]	1849	392765	I	je³¹	Karen	0928.50	TBL	81944	je³¹	j e ³¹	STEDT/TBL	Karen	Karenic
31652	pron	I [first person singular]	1821	392740	I	ŋɑ³⁵	Yidu	0928.25	TBL	31652	ŋɑ³⁵	ŋ ɑ ³⁵	STEDT/TBL	Yidu	Deng
85337	pron	I [first person singular]	1851	392722	I	dʑaŋ	Motuo_Menba	0928.07	TBL	85337	dʑaŋ	dʑ a ŋ	STEDT/TBL	Motuo Menba	Bodic
71586	pron	I [first person singular]	1843	392760	I	ŋə²¹	Naxi	0928.45	TBL	71586	ŋə²¹	ŋ ə ²¹	STEDT/TBL	Naxi	Naxi
69730	pron	I [first person singular]	1842	392759	I	ŋɔ⁴²	Jinuo	0928.44	TBL	69730	ŋɔ⁴²	ŋ ɔ ⁴²	STEDT/TBL	Jinuo	Central Loloish
87042	pron	I [first person singular]	1852	392723	I	qɑ	Qiang_Mawo	0928.08	TBL	87042	qɑ	q ɑ	STEDT/TBL	Qiang (Mawo)	Qiangic
55092	pron	I [first person singular]	1834	392752	I	ŋo³³	Yi_Nanhua	0928.37	TBL	55092	ŋo³³	ŋ o ³³	STEDT/TBL	Yi (Nanhua)	Northern Loloish
6587	pron	I [first person singular]	1807	392727	I	ŋa	Daofu	0928.12	TBL	6587	ŋa	ŋ a	STEDT/TBL	Daofu	rGyalrongic
88967	pron	I [first person singular]	1853	392724	I	ɛ⁵⁵	Pumi_Lanping	0928.09	TBL	88967	ɛ⁵⁵	ɛ ⁵⁵	STEDT/TBL	Pumi (Lanping)	Qiangic
23577	pron	I [first person singular]	1816	392735	I	ŋɑ⁵³	Dulong	0928.20	TBL	23577	ŋɑ⁵³	ŋ ɑ ⁵³	STEDT/TBL	Dulong	Nungic
40339	pron	I [first person singular]	1826	392718	I	ŋa²³¹	Tibetan_Batang	0928.03	TBL	40339	ŋa²³¹	ŋ a ²³¹	STEDT/TBL	Tibetan (Batang)	Tibetan
56940	pron	I [first person singular]	1835	392753	I	ŋu¹¹	Yi_Wuding	0928.38	TBL	56940	ŋu¹¹	ŋ u ¹¹	STEDT/TBL	Yi (Wuding)	Northern Loloish
53199	pron	I [first person singular]	1833	392751	I	ŋɑ⁵⁵	Yi_Weishan	0928.36	TBL	53199	ŋɑ⁵⁵	ŋ ɑ ⁵⁵	STEDT/TBL	Yi (Weishan)	Northern Loloish
8512	pron	I [first person singular]	1808	392728	I	ŋa¹³	Queyu_Xinlong	0928.13	TBL	8512	ŋa¹³	ŋ a ¹³	STEDT/TBL	Queyu (Xinlong)	Qiangic
64290	pron	I [first person singular]	1839	392756	I	ŋa⁵⁵	Hani_Lüchun	0928.41	TBL	64290	ŋa⁵⁵	ŋ a ⁵⁵	STEDT/TBL	Hani (Lüchun)	Southern Loloish
25397	pron	I [first person singular]	1817	392736	I	ŋɑ⁵⁵	Nung	0928.21	TBL	25397	ŋɑ⁵⁵	ŋ ɑ ⁵⁵	STEDT/TBL	Nung	Nungic
75227	pron	I [first person singular]	1845	392762	I	ŋa³³	Gazhuo	0928.47	TBL	75227	ŋa³³	ŋ a ³³	STEDT/TBL	Gazhuo	Northern Loloish
58866	pron	I [first person singular]	1836	392754	I	ŋɒ³³	Yi_Sani	0928.39	TBL	58866	ŋɒ³³	ŋ ɒ ³³	STEDT/TBL	Yi (Sani)	Central Loloish
10353	pron	I [first person singular]	1809	392729	I	ŋa¹³	Zhaba_Daofu_County	0928.14	TBL	10353	ŋa¹³	ŋ a ¹³	STEDT/TBL	Zhaba (Daofu County)	Qiangic
76950	pron	I [first person singular]	1846	392763	I	ŋo²¹	Bai_Jianchuan	0928.48	TBL	76950	ŋo²¹	ŋ o ²¹	STEDT/TBL	Bai (Jianchuan)	Bai
