ID	DOCULECT	CONCEPT	RGEN	CONCEPTICON_ID	TBL_ID	GLOSS_IN_SOURCE	IPA	TOKENS
1	Ukhrul	I [first person singular]	526744	1209	928	1sg, I, me	ʔi	ʔ i
2	Ukhrul	above	525899	1741	731	over ?	kə-kan	k ə k a n
3	Ukhrul	big	526105	1202	964	large	kə-hak	k ə h a k
4	Ukhrul	big	526112	1202	964	big	kə-haka	k ə h a k a
5	Ukhrul	big	526851	1202	964	big	kə-hɐk-ɐ	k ə h ɐ k ɐ
6	Ukhrul	big	527954	1202	964	big (be v.)	kə-hɐk	k ə h ɐ k
7	Ukhrul	big	528157	1202	964	hit against the frame of the door (as one's head); to be big	kə-tsok	k ə ts o k
8	Ukhrul	black	525757	163	1005	black (be v.)	kə-tsik	k ə ts i k
9	Ukhrul	black	527926	163	1005	black (be v.)	kʰə-mə-haŋ	kʰ ə m ə h a ŋ
10	Ukhrul	cold (of temperature)	526925	1287	1063	cold	kʰə-mə-ku	kʰ ə m ə k u
11	Ukhrul	cold (of temperature)	528726	1287	1063	cold, cool; make cool (be v.)	kʰə-mə-kuj	kʰ ə m ə k u j
12	Ukhrul	cold (of temperature)	525758	1287	1063	cold, cool (of weather) (be v.)	kə-sik	k ə s i k
13	Ukhrul	dark	528360	706	1013	dark (due to cloud) (be v.)	kʰə-ŋə-mi	kʰ ə ŋ ə m i
14	Ukhrul	dirty	528747	1230	1086	dirty	kʰə-mə-kʰow	kʰ ə m ə kʰ o w
15	Ukhrul	dry	527235	1398	1028	dry (meat, vegetable, etc.)	kʰə-mə-kaw	kʰ ə m ə k a w
16	Ukhrul	dry	527236	1398	1028	dry, to make thin (v.t.)	kə-ci-kaw	k ə c i k a w
17	Ukhrul	dry	526022	1398	1028	dry (v.i.)	kə-tʰeŋ	k ə tʰ e ŋ
18	Ukhrul	dry	527411	1398	1028	dry	kʰə-mə-tʰen	kʰ ə m ə tʰ e n
