DOCULECT	CONCEPT	HANZI	IPA	NOTE
Rucheng	the ant	蚁子	[ŋɛi3 ʨi3]	
Rucheng	the armpit	□□下	[ka3 sa1 xo̞2 ]	
Rucheng	the bamboo	竹子	[iəu5 ʨi6]	
Rucheng	the body hair (hair or fur)	毛	[mau2] 	
Rucheng	dark	黑	[xɛ5]	
Rucheng	the daughter	女	[ɲy3]	
Rucheng	the dew	露水	[lu5 suɛi3]	
Rucheng	early	早	[ʦau3]	
Rucheng	the earthworm	□子	[ɕya3 ʨi3]/[sua3 ʨi3]	
Rucheng	firewood	柴	[ʦ'ai2]	
Rucheng	the flea	狗蚤	[kəu3 ʦau3]	
Rucheng	forget	忘记	[uaŋ2 ʨi5]	
Rucheng	the fox	狐狸	[u2 li1]	
Rucheng	the frog	蟆蛤	[ mo̞2 xo̞1]	
Rucheng	the frog	青蟆蛤	[ʨ'in mo̞2 xo̞1]	
Rucheng	the front (front side)	前面	[ʨ'ia2 mia6 ] 	
Rucheng	the frost	霜	[saŋ1]	
Rucheng	the goat	山羊	[sa1 iaŋ2]	
Rucheng	the hail	冰雹	[pin1 pau5]	
Rucheng	hard	难	[na2]	
Rucheng	high / tall	高	[kau1]	
Rucheng	the hoof	蹄	[ti2]	
Rucheng	the hoof	脚蹄	[ʨu5 ti2]	
Rucheng	horizontal	横	[xuən2]	
Rucheng	horizontal	平	[pin2]	
Rucheng	the horse	马	[ mo̞1]	
Rucheng	hot	热	[ɲiɛ1]	
Rucheng	inside	底面	[tɛi3 mia6]/[tɛi1 mia6]	
Rucheng	knead 	榨	[ʦo̞5]	
Rucheng	late	晏	[a5]	
Rucheng	late	迟	[ʨ'i2]	
Rucheng	learn	学	[xu6]	
Rucheng	light (of weight)	轻	[ʨ'in1]	
Rucheng	the lip (the lips)	唇皮	[suən2 pi6]	
Rucheng	the lung	肺	[fuɛi5]	
Rucheng	marry (a man marries a woman)	讨	[t'au3]	
Rucheng	middle	中间	[ʦuŋ1 ka1]	
Rucheng	morning	□晨	[iau1 sɛn6]	
Rucheng	morning	上□	[saŋ6 iəu6]	
Rucheng	the mud	泥	[nɛi2]	
Rucheng	the nit	虱□子	[sɛ3 ku3 ʨi2]	
Rucheng	noon	日中	[ɲiɛ3 ʦuŋ1]	
Rucheng	the otter	水猴子	[suɛi3 xəu2 ʨi3]	
Rucheng	outside	外面	[uai6 mia6]	
Rucheng	the pig	猪	[y1]	
Rucheng	the rainbow	东杠	[tuŋ1 kaŋ5]	
Rucheng	the rice plant	禾	[u2]	
Rucheng	run	跑	[p'au3]	
Rucheng	salty	咸	[xa2]	
Rucheng	the sheep	绵羊	[mia2 iaŋ2]	
Rucheng	the sickle	镰刀	[lia2 tau1]	
Rucheng	soft	□	[nuŋ5]	
Rucheng	soft	软	[ɲya1]	
Rucheng	the son	崽	[ʦɛi3]	
Rucheng	the sparrow	禾叫子	[u2 ʨiau5 ʨi6]	general term for small birds
Rucheng	the thigh	大腿板	[tai6 t'uɛi3 pa3]	
Rucheng	the tiger	老虎	[lau3 xu3]	
Rucheng	today	今日	[ʨin1 ɲiɛ3]	
Rucheng	tomorrow	明日	[min2 ɲiɛ3]  	
Rucheng	the wheat	小麦	[ɕiau3 mɛ6] 	
Rucheng	the wheat	麦子	[mɛ6 ʨi3]	
Rucheng	the wolf	狼	[laŋ5]	
Rucheng	yesterday	昨日	[ʦ'u6 ɲiɛ3 ]	
Rucheng	young	年轻	[ɲia2 ʨ'in1]	
