DOCULECT	CONCEPT	IPA	HANZI	NOTE
Caijia	the ant	ba³¹ pəw²⁴ = ba³¹ pu²⁴	□□	
Caijia	the armpit	ʝa²¹ ʝi³³ ti³³	□腋底	
Caijia	the bamboo	tṣɔ⁵⁵	竹	
Caijia	the body hair (hair or fur)	ka²¹ maw²⁴ = ka²¹ mɔ²⁴	寒毛	
Caijia	dark	mʝ̩²¹	暝	
Caijia	the daughter	ȵuɴ³³ sɿ³³	娘□	
Caijia	the dew	ʈɛ⁵⁵	露？	
Caijia	early	tɕiɴ²¹	□	
Caijia	the earthworm	ʝiɴ²⁴	蚓	
Caijia	firewood	ṣɔ⁵⁵ fɛ⁵⁵	樹火	
Caijia	the flea	ṣej⁵⁵	蝨	
Caijia	forget	pi³³	□	
Caijia	the fox	mɔ²¹ kʰui⁵⁵	毛犬	
Caijia	the frog	mɛ²⁴	黽 ?	
Caijia	the front (front side)	tɕiɴ²¹ miɴ³³	前面	
Caijia	the frost	pʰɔ²¹ ṣv̩³³	□雪	
Caijia	the goat	tṣɿ⁵⁵	□	Bradley proto-Loloish *(k)-citᴸ 'goat'
Caijia	the hail	bja³³ zɿ³³	雹雨	
Caijia	hard	ŋa²¹	硬	
Caijia	high / tall	kɔ³³	高	
Caijia	the hoof	kv̩⁵⁵	腳	
Caijia	horizontal	xwawɴ²¹	橫	
Caijia	the horse	mɛ³³	馬	
Caijia	hot	pej²¹	燔	
Caijia	inside	ʔɔ⁵⁵ ʝi³³	屋□	
Caijia	knead	nu²¹	揉	
Caijia	learn	kɔ³³	學	
Caijia	light (of weight)	tṣʰɿ³³	輕	Mandarin layer
Caijia	the lip (the lips)	pʝ̩²¹ pəw²¹ = pʝ̩²¹ pu²¹	□皮	#2096 PTB *(b/p)i MOUTH
Caijia	the lung	pʰəw²¹ = pʰu²¹	肺	
Caijia	marry (a man marries a woman)	two forms: ȵju³³a, ȵju²¹b	□	
Caijia	middle	ta³³ fa⁵⁵	□□	
Caijia	morning	ʈɔ³³ xəw⁵⁵	朝□	
Caijia	the mud	lɔ²¹ kʰa⁵⁵	□□	
Caijia	the nit	ṣej⁵⁵	蝨	
Caijia	noon	ʑv̩²¹ bej³³ kəw²¹	食飯刻	
Caijia	outside	ɦwa²¹ lɛ²¹	□□	
Caijia	the pig	ʎʝ̩²¹	豕	
Caijia	the rainbow	ɣuɴ²¹ ʔawɴ³³ sɿ⁵⁵	龍飲水	
Caijia	run	pjaw³³	儦	
Caijia	salty	tṣɪɴ²¹	□	
Caijia	the sheep	ʑv̩²¹	□	< Bradley proto-Loloish *ʒo¹ 'sheep'
Caijia	the sickle	lawɴ²¹	鎌	
Caijia	the son	tsɿ⁵⁵ sɿ³³	子□	
Caijia	the sparrow	tsɿ³³ tsɿ²⁴	隹隹	
Caijia	the thigh	la²¹ bi³³	大髀	
Caijia	the tiger	kʰv̩⁵⁵	虎	
Caijia	today	kʰɪɴ⁵⁵ kuɴ⁵⁵	今工	aspirated initial < analogy on 'tomorrow' ?
Caijia	tomorrow	tʰɪɴ³³ kuɴ⁵⁵	□工	
Caijia	the wheat	tsuɴ²¹	□	
Caijia	the wolf	ʝa³³ kʰui⁵⁵	野犬	
Caijia	yesterday	mɪɴ³³ kuɴ⁵⁵	□工	
