CONCEPT	HANZI	IPA	NOTE
above	□	naŋ6	
all	所有	su3 iəu3	
all	全部	ʨ'ya2 pu6	
all	个个	kɛi5 kɛi6	human being
and	和	xuɛ1	
and	搭	ta3	
and	跟	kɛn1	
the ashes	灰	xuɛi1	
the back	背	puɛi5	
bad	坏	xuai6	
to bark	叫	ʨiau5	
the bark	树皮	ɕy6 pi2	
to be alive	活	xuɛ1	
the belly	肚	t'u1	
below, under	下	xo̞1/ xo̞2 / xo̞6	depends on the tone of the preceding character
big	大	tai6	
the bird	禾□子	u2 ʨiau5 ʨi6	
to bite	咬	ŋau1	
black	黑	xɛ5	
the blood	血	ɕyɛ3	
to blow	发风	fuɛ3 fuŋ1	
blunt	□	ku1	
the bone	骨头	kuɛ3 təu6	
the branch	树枝	ɕy6 ʨi1	
the breast	□	ɲia2	
the breast	□□	nɛi1nɛi1	baby talk
to breathe	透气	t'əu3ʨ'i5	
to burn [transitive]	烧	sau1	
to buy	买	mai1	
to chew	嚼	ʨ'iau6	
the child (descendant)	细□子	sɛi5 lai3 ʨi6 /sɛi2 lai3 ʨi6 	
to choose	选	ɕya3	
to climb	爬	puɛ1	
the cloud	云	yn2	
cold (of temperature)	冷	lɛn1	
to come	来	lɛi2	
to cook	煮	ʨy3	
correct (right)	对	tuɛi5	
to count	数	su3	
to count	点	tia3	
to cry	哭	xu5	
to cut	切	ʨ'iɛ3	
to cut	割	kuɛ3	
to cut	剖	p'u5	
to cut	□	so̞5	fruits
the day (opposed to night)	日□	ɲiɛ3 təu6	
to die	死	sɿ3	
to dig	挖	uai1/uai3	
dirty	□□	la3 kua3	
dirty	□□	uɛ3 la3	
dirty	□□	p'ai5 lai6	
the dog	狗	kəu3	
the dream	发梦	fuɛ3 muŋ5	
the dream	梦梦	muŋ5 muŋ5	
to drink	饮	in3	
dry	干	kua1	
the dust	灰	xuɛi1	
the ear	耳朵	ɲi3 tu3	
the earth (soil)	泥	nɛi2	
to eat	食	sɿ6	
the egg	□子	ku3 ʨi3	
eight	八	pa3	
the eye	眼子	ŋa3 ʨi6	
to fall	跌	tiɛ3	
far	远	ya3	
the fat (grease)	膏	kau1	
the father	爸爸	pa1 pa1	address and reference
the father	爹	tiɛ5	address and reference
the father	爷	io̞2	reference
to fear (be afraid)	□	ɕyŋ3	
the feather	毛	mau2	
female	…婆	pu1/pu2	depends on the tone of the preceding character
few	点子	tia3 ʨi6	
few	点□子	tia3 ko̞1 ʨi6	
to fight	打交	to̞3 kau1	
the fire	火	xu3	
the fish	鱼子	ɲi2 ʨi1	
five	五	ŋ3	
to float	浮	pəu2	
to flow	流	liəu2	
the flower	花	xo̞1	
to fly (move through air)	飞	fuɛi1	
the fog	雾	u6	
the foot	脚	ʨu5	foot and leg
the forest	—	iɛ3	
four	四	sɿ5	
to freeze	结冻	ʨiɛ3 tuŋ5	
the fruit	水果	suɛi3 ku3	
full	满	mua3	
to give	□	no̞6	
good	好	xau3	
the grass	草	ʦ'au3	
green	绿	liəu6	
to grow	长	ʦaŋ3	
the hair	头发	təu2 fuɛ3	
the hand	手	səu3	
he or she [third person singular]	佢	ʨi1	
the head	脑壳	nau3 k'u6	
to hear	听	t'in5	
the heart	心	ɕin1	
heavy	重	t'yŋ1	
here	□子	ki2 ʨi1	
to hide (conceal)	□	ʨia3 	
to hit	打	to̞3	
to hit	敲	k'au2	
to hold	□	uɛi3	
the horn (keratinized skin)	角	ku5	
the house	屋	u5	
how	何子	xu2 ʨi3	
hundred	百	pɛ5/ po̞5	
to hunt	打猎	to̞3 liɛ3	
the husband	老公	lau3 kuŋ1	
I [first person singular]	□	ŋɛi1	
the ice	冰	pin1	
the intestines	肠子	tiaŋ2 ʨi1	
to kill	杀	sa3	
the knee	膝头□	ɕiɛ3 təu6 ku3	
to know	晓得	ɕiau3 tɛ6	
the lake	湖	xu2	
to laugh	笑	ɕiau5	
the leaf	叶子	iɛ1 ʨi6	
left	左	ʦu3	
the leg	腿	t'uɛi3	
to lick	舐	sɛi1	
to lie down	□	xuən5	
to lie, rest	休息	ɕiəu1 sɿ6	
the lightning	雷火	luɛi2 xu3	
the liver	肝(子)	kua1 (ʨi6)	
long	长	tiaŋ2	
the louse	虱婆	sɛ3 pu6	
male	…牯	ku3	
the man	男人	na2 ɲin1	
many	好多	xau3 tu1	
many	蛮多	ma2 tu1	
the meat	肉	ɲiəu5	
the moon	月□	ɲyɛ1 xau6	
the moon	月光	ɲyɛ1 kuaŋ1	
the mosquito	蚊虫	mua2 tyŋ1	
the mother	妈妈	ma1 ma1	address and reference
the mother	□	mai5	address and reference
the mother	娘	ɲiaŋ2	reference
the mountain	岭	lin1	
the mountain	山	sa1	
the mouse or rat	老鼠	lau3 ɕy3	
the mouth	嘴	ʦuɛi3	
the nail (fingernail or claw)	甲	ka3	
the name	名字	min2 ʨ'i6	
narrow	狭	xa1	
near	近	tɕyn1/ʦ'uən1	
the neck	颈项	ʨin3 saŋ1	
the needle (for sewing)	针	ʦɛn1	
new	新	ɕin1	
the night	夜□	io̞6 u6	
nine	九	ʨiəu3	
the nose	鼻头	pi6 təu6	
not	□	ŋ2	
old (of person)	老	lau3	
one	一	iɛ3	
to open	开	xuai1/k'ai1	
other	过...	ku5	
other	另外	lɛn6 uai6	
painful	痛	t'uŋ5	
the person	人	ɲin2	
to plant	栽	ʦuai1	
to plant	种	ʦuŋ5	
to play	搞	kau3	
to pull	拖	lai1	
to push	□	ʦ'uŋ3	
the rain	雨	y3	
red	红	xuŋ2	
to reside (live)	住	ty6	
right	右	iəu6	
the river	江	kaŋ1	
the river	河	xu2	
the road	路	lu6	
