acn 	Achang (Longchuan) 	Achang41 	6.1.1 - Burmish 	931 	p.2
adi 	Bokar Lhoba 	Bokar51 	1.1.1.1 - Western Tani 	827 	p.55
mya 	Burmese (Spoken Rangoon) 	BurmeseMod40 	6.1.1 - Burmish 	995 	
n/a 	Burmese (Written) 	WB39 	6.1.1 - Burmish 	995 	
mhu 	Darang [Taraon] 	Darang49 	1.1.2 - Deng 	971 	p.88
ero 	Ergong (Danba) 	Ergong14 	3.3 - rGyalrongic 	974 	p.99
ers 	Ersu 	Ersu18 	3.2 - Qiangic 	997 	p.101
mxj 	Kaman [Miju] 	Geman48 	1.1.2 - Deng 	962 	p.112
gqi 	Guiqiong 	Guiqiong17 	3.2 - Qiangic 	955 	p.114
jya 	rGyalrong 	rGyarong12 	3.3.1 - rGyalrong 	976 	p.123
hni 	Hani (Caiyuan) 	Hani.Caiyuan30 	6.1.2.3 - Southern Loloish 	934 	p.130
hni 	Hani (Dazhai) 	Hani.Dazhai31 	6.1.2.3 - Southern Loloish 	971 	p.125
hni 	Hani (Shuikui) 	Hani.Shuikui32 	6.1.2.3 - Southern Loloish 	1001 	p.129
clk 	Idu 	Idu50 	1.1.2 - Deng 	987 	p.140
kac 	Jingpho 	Jingpo47 	1.7.3.1 - Jingpho 	988 	
jiu 	Jinuo 	Jinuo34 	6.1.2.2 - Central Loloish 	985 	p.151
lhu 	Lahu (Black) 	Lahu33 	6.1.2.2 - Central Loloish 	999 	p.193
lis 	Lisu 	Lisu27 	6.1.2.2 - Central Loloish 	1004 	p.219
mvm 	Muya [Minyak] 	Muya15 	3.2 - Qiangic 	983 	p.269
mhx 	Maru [Langsu] 	Langsu43 	6.1.1 - Burmish 	964 	
tsj 	Tsangla (Motuo) 	Monpa.Motuo7 	2.1.2 - Bodic 	841 	p.69
twm 	Tshona (Mama) 	Monpa.Cuona6 	2.1.2 - Bodic 	992 	p.82
nmy 	Namuyi 	Namuyi19 	3.2 - Qiangic 	962 	p.273
nbf 	Naxi (Lijiang) 	Naxi.Lijiang28 	6.2 - Naxi 	1003 	p.278
nbf 	Naxi (Yongning) 	Naxi.Yongning29 	6.2 - Naxi 	957 	p.282
nun 	Anong 	Anong44 	4 - Nungic 	930 	p.306
nuf 	Nusu (Bijiang) 	Nusu45 	6.1.2.1 - Northern Loloish 	963 	p.309
pmj 	Pumi (Qinghua) 	Pumi.Qinghua11 	3.2 - Qiangic 	1004 	p.326
pmi 	Pumi (Taoba) 	Pumi.Taoba10 	3.2 - Qiangic 	1004 	p.328
cng 	Qiang (Mawo) 	Qiang.Mawo8 	3.2 - Qiangic 	980 	p.330
qxs 	Qiang (Taoping) 	Qiang.Taoping9 	3.2 - Qiangic 	993 	p.335
sxg 	Xumi 	Shixing20 	3.2 - Qiangic 	926 	p.351
suv 	Sulung [Puroik] 	Sulong52 	1.1 - “North Assam” 	783 	p.353
txg 	Tangut [Xixia] 	Tangut13 	3.1 - Tangut 	997 	
adx 	Tibetan (Amdo:Bla-brang) 	Tibetan.Amdo4 	2.1.2.1 - Tibetan 	998 	p.388
adx 	Tibetan (Amdo:Zeku) 	Tibetan.Amdo5 	2.1.2.1 - Tibetan 	990 	p.389
khg 	Tibetan (Khams:Dege) 	Tibetan.Khams3 	2.1.2.1 - Tibetan 	976 	p.399
bod 	Tibetan (Lhasa) 	Tibetan.Lhasa2 	2.1.2.1 - Tibetan 	930 	p.403
xct 	Tibetan (Written) 	WT1 	2.1.2.1 - Tibetan 	954 	
duu 	Trung [Dulong] 	Dulong46 	4 - Nungic 	974 	p.415
tji 	Tujia 	Tujia38 	5 - Tujia 	1004 	
yig 	Yi (Dafang) 	Yi.Dafang22 	6.1.2.1 - Northern Loloish 	910 	p.434
n/a 	Yi (Mile) 	Yi.Mile25 	6.1.2.1 - Northern Loloish 	1005 	p.435
nsd 	Yi (Mojiang) 	Yi.Mojiang26 	6.1.2.1 - Northern Loloish 	997 	p.437
ycl 	Yi (Nanhua) 	Yi.Nanhua24 	6.1.2.1 - Northern Loloish 	1002 	p.439
ywt 	Yi (Nanjian) 	Yi.Nanjian23 	6.1.2.1 - Northern Loloish 	965 	p.440
iii 	Yi (Xide) 	Yi.Xide21 	6.1.2.1 - Northern Loloish 	1003 	p.442
atb 	Atsi [Zaiwa] 	Zaiwa42 	6.1.1 - Burmish 	990 	p.446
qvy 	Queyu (Yajiang) [Zhaba] 	Queyu16 	3.2 - Qiangic 	1004 	p.453
bfc 	Bai (Bijiang) 	Bai.Bijiang37 	8 - Bai 	1000 	p.29
bfs 	Bai (Dali) 	Bai.Dali35 	8 - Bai 	1003 	p.33
bca 	Bai (Jianchuan) 	Bai.Jianchuan36 	8 - Bai 	1004 	p.35
