# Wordlist

# META
@modified:2015-01-20 10:39

# DATA
ID	DOCULECT	CONCEPT	IPA	TOKENS	ALIGNMENT	ENTRY_IN_SOURCE	GLOSS_IN_SOURCE	SOURCE	ID_IN_SOURCE	COGID	CHINESE_GLOSS	PST	POS
#
5599	Gongxing	(???, Chinese character has to be checked)	ɲyɛ₅₅	ɲ yɛ ₅₅	ɲ yɛ - ₅₅	ɲyɛ55	(???, Chinese character has to be checked)	Wang2006a	1746	430	?	CVT	?
5600	Enqi	(???, Chinese character has to be checked)	mia₂₄	m ia ₂₄	m ia - ₂₄	mia24	(???, Chinese character has to be checked)	Wang2006a	1746	430	?	CVT	?
5601	Ega	(???, Chinese character has to be checked)	ɲia₄₄	ɲ ia ₄₄	ɲ ia - ₄₄	ɲia44	(???, Chinese character has to be checked)	Wang2006a	1746	430	?	CVT	?
5602	Jinman	(???, Chinese character has to be checked)	ɲio₅₅	ɲ io ₅₅	ɲ io - ₅₅	ɲio55	(???, Chinese character has to be checked)	Wang2006a	1746	430	?	CVT	?
5603	Jinxing	(???, Chinese character has to be checked)	mian₅₅	m ia n ₅₅	m ia n ₅₅	mian55	(???, Chinese character has to be checked)	Wang2006a	1746	430	?	CVcT	?
#
5505	Tuoluo	(fruit) be ripe	ʐy₄₂	ʐ y ₄₂	ʐ y ₄₂ - - -	ʐy42	(fruit) be ripe	Wang2006a	1638	408	?	CVT	?
5506	Gongxing	(fruit) be ripe	d͡zao₂₁	d͡z ao ₂₁	d͡z ao ₂₁ - - -	dzao21	(fruit) be ripe	Wang2006a	1638	408	?	CVT	?
5507	Enqi	(fruit) be ripe	t͡ɕio₂₁	t͡ɕ io ₂₁	t͡ɕ io ₂₁ - - -	tɕio21	(fruit) be ripe	Wang2006a	1638	408	?	CVT	?
5508	Ega	(fruit) be ripe	t͡ɕiu₂₁	t͡ɕ iu ₂₁	t͡ɕ iu ₂₁ - - -	tɕiu21	(fruit) be ripe	Wang2006a	1638	408	?	CVT	?
5509	Jinman	(fruit) be ripe	t͡ɕio₂₁	t͡ɕ io ₂₁	t͡ɕ io ₂₁ - - -	tɕio21	(fruit) be ripe	Wang2006a	1638	408	?	CVT	?
5510	Jinxing	(fruit) be ripe	t͡sɤ̃₄₂tʰǝ₃₁	t͡s ɤ̃ ₄₂ tʰ ǝ ₃₁	t͡s ɤ̃ ₄₂ tʰ ǝ ₃₁	(tsṽ42tʰǝ31)	(fruit) be ripe	Wang2006a	1638	408	?	CVTCVT	?
5511	Dashi	(fruit) be ripe	tʰiɯ₄₂xa₅₅	tʰ iɯ ₄₂ x a ₅₅	tʰ iɯ ₄₂ x a ₅₅	(tʰiɯ42xa55)	(fruit) be ripe	Wang2006a	1638	408	?	CVTCVT	?
5512	Mazhelong	(fruit) be ripe	t͡sʰu₄₂	t͡sʰ u ₄₂	t͡sʰ u ₄₂ - - -	tsʰu42	(fruit) be ripe	Wang2006a	1638	408	?	CVT	?
#
5545	Tuoluo	(head) ache	sɤŋ₂₁	s ɤ ŋ ₂₁	s ɤ ŋ ₂₁	svŋ21	(head) ache	Wang2006a	1666	416	?	CVcT	?
5546	Gongxing	(head) ache	saŋ₄₂	s a ŋ ₄₂	s a ŋ ₄₂	saŋ42	(head) ache	Wang2006a	1666	416	?	CVcT	?
5547	Enqi	(head) ache	t͡sa₅₅	t͡s a ₅₅	t͡s a - ₅₅	(tsa55)	(head) ache	Wang2006a	1666	416	?	CVT	?
5548	Ega	(head) ache	t͡so₅₅	t͡s o ₅₅	t͡s o - ₅₅	(tso55)	(head) ache	Wang2006a	1666	416	?	CVT	?
5549	Jinman	(head) ache	t͡sa₅₅	t͡s a ₅₅	t͡s a - ₅₅	(tsa55)	(head) ache	Wang2006a	1666	416	?	CVT	?
5550	Jinxing	(head) ache	sɤŋ₃₁	s ɤ ŋ ₃₁	s ɤ ŋ ₃₁	svŋ31	(head) ache	Wang2006a	1666	416	?	CVcT	?
5551	Dashi	(head) ache	soŋ₃₁	s o ŋ ₃₁	s o ŋ ₃₁	soŋ31	(head) ache	Wang2006a	1666	416	?	CVcT	?
