ăi矮	348
ài艾	68
àn按	267
àn暗	361
āngzāng骯髒	371
bá拔	270
bă把	449
bàba爸爸	213
bāge八哥	40
báitiān白天	18
bān搬	266
bàn拌	304
bàng蚌	52
bàngwăn傍晚	21
bāo包	276
bāo剝	277
báo薄	352
bào抱	271
bāoz包子	96
bàoz豹子	33
bàoz鉋子	163
bēi揹	290
bèi被	450
bèiz被子	136
běnz本子	181
biàn遍	432
biăndan扁担	167
bié別	448
biéde别的	410
bìhŭ壁虎	62
bīng冰	5
bīngbáo冰雹	6
bīnggùnr冰棍儿	108
bīngqilín冰其淋	108
biqi荸薺	87
bíz鼻子	193
bófù伯父	214
bòji簸箕	155
bōli玻璃	171
bómŭ伯母	215
bóz脖子	195
bŏz跛子	208
bù不	447
búshi不是	343
búyao不耍	341
búyong不用	449
cā擦	262
cái裁	298
căi踩	285
cài菜（菜肴）	99
càidāo菜刀	140
cán蚕	55
cáng藏（收存）	305
cāngying蒼蝇	59
cèsuŏ厕所	122
chá茶	102
chà差	376
chán蝉	57
cháng嚐	258
cháng长	348
chángchang常常	438
chăojià吵架	311
chēng撑	268
chèng秤	157
chéngli城里	238
chènshān衬衫	111
chēzhàn車站	174
chī吃	253
chĭ尺	158
chìbăng翅膀	63
chítáng池塘	10
chóngyángjié重阳节	24
chóu稠	364
chŏu丑	391
chòu臭	382
chòuchong臭虫	60
chōuti抽屜	134
chuáng床	136
chuāngz窗子	126
chúfáng厨房	124
chūi吹	258
chuīniú吹牛	312
chuíz錘子	159
chúton锄头	166
chúxī除夕	24
cì次	433
cōng葱	81
cóng从	451
cóngqián从前	435
cū粗	349
cù醋	105
cuì脆	367
cuō搓	263
cuòdāo銼刀	162
dă打	280
dà大	346
dàbăiz大伯子	227
dàfang大方	394
dàgūz大姑子	228
dăhēqian打呵欠	326
dàhòutiān大后天	16
dài戴	292
dăjià打架_ 311
dàjia大家	407
dăkéshui打瞌睡	326
dălěi打雷	247
dăIěngjìn打冷噤	327
dàmĭ大米	70
dàmuzhĭ大姆指	198
dàn淡	384
dăng挡	268
dānshenhàn单身汉	209
dănz掸子	155
dào到	452
dàogŭ稻谷	69
dăoméi倒霉	401
dàoz稻子	69
dàqiántiān大前天	18
dăshăn打閃	247
dăsuàn打算	337
dàtuĭ大腿	200
dàyī大衣	113
dàyuē大約	446
dèngyăn瞪眼	251
děngz戥子	157
dèngz凳子	132
dī低	347
diăn点	302
diàntŏng电筒	151
diànyĭng电影	187
diào掉（掉下来）	250
dìdì弟弟	224
dié叠(堆叠）	278
dīngz釘子	165
dĭngzhēnr頂針儿	147
dōnggua冬瓜	78
dōngxi东西	239
dōu都	442
dŏu陡	359
duān端	265
duăn短	349
duănkù短褲	114
duānwŭjié端午节	23
dūn蹲	287
dùn顿	434
duŏ躱	289
duò剁	299
duōjiŭ多久	419
duōme多么	418
duōshao多少	419
duōsuo哆嗦	327
é鹅	49
è餓	384
ěrduo耳朵	193
érz儿子	229
făn反	356
fāng方	354
fángliáng房梁	125
fànguăn饭館	173
fángz房子	122
fánnăo煩恼	400
fānqié番茄	80
fănzheng反正	446
fāpíqi发脾气	310
fāshāo发烧	332
fāshì发誓	313
féi肥	388
féizào肥皂	153
fén坟	244
fěn粉	240
fēng风	2
fēng封	273
fēngjĭng风景	11
fēngmì峰蜜	106
fēngz疯子	209
fēngzhēng风筝	189
fěntiáor粉条儿	103
fú扶	270
fŭrŭ腐乳	103
fŭtou斧头	159
fūz麩子	73
gài盖	274
gān干	363
gāng钢	27
gāng缸	142
gāngbĭ鋼笔	183
gāngcái剛才	435
gànhuór干活儿	315
gānjing干淨	370
gănkuài赶快	439
gănlăn橄揽	87
gānshŭ甘薯	76
gāo糕	肋
gāo髙	347
gāoliang高粱	74
gāoxing髙兴	399
gāzhiwō夹肢窝	195
gé割	299
gébì隔壁	238
gēbo胳膊	196
gēge哥哥	223
gēn跟	291
gèng更	440
gēz鸽子	39
gōnggong公公	221
gōnggŏu公狗	44
gōngjī公鸡	47
gōngmă公馬	42
gōngniú公牛	41
gōngzhū公猪	43
gōuz鈎子	164
guāfēng刮风	246
guăfu寡妇	210
guāi乖	396
guài怪	334
guăizhàng拐杖	151
guān關	272
guāncai棺材	245
guànz罐子	143
gūfù姑父	216
guì贵	378
guìhuā桂花	67
guìyuán桂园	90
guìz柜子	133
gūmŭ姑母	217
guō鍋	139
guōchăn鍋鏟	140
guŏpí果皮	92
gùshi故事	186
gŭz谷子	72
hăi海	9
hàipà害怕	402
hàixiū害羞	403
bán含	257
hăn喊	308
hànshān汗衫	111
hăo好	375
hăokàn好看	390
hē喝	253
hé和	453
héhuā荷花	67
hēi黑	361
hěn很	440
hèn恨	335
héng横	357
hétao核桃	89
héyì合意	400
héz盒子	134
hòu厚	351
hòuhuĭ后悔	335
hòumian后面	234
hòumŭ后母	214
bòunián后年	13
bòutiān后天	16
hóuz猴子	34
hú湖	10
huài坏	376
huáiyí怀疑	338
huánggua黃瓜	79
huánghuayú黃花魚	51
huāshēng花生	75
huàxuě化雪	248
huàdié蝴蝶	56
huīchen灰尘	31
huīzhāng徽章	186
hún渾	373
hūncài葷菜	99
húntun馄饨	97
huó活	318
huŏchái火柴	162
huŏlú火炉	145
húr核儿	91
jĭ挤	289
jì繫	276
jiá'ăo夹祆	112
jiāju傢俱	131
jiăn剪	297
jiàng虹	7
jiànghu浆糊	148
jiàngyóu酱油	105
jiănz剪子	158
jiāo浇	301
jiāo敎	321
jiáo嚼	255
jiào叫	307
jiāo，ào骄傲	395
jiăohuá狡猾	393
jiăohuo搅和	303
jiăoluò角落	242
jiăoz饺子	98
jīdàn鸡蛋102
jiě解	277
jiēba結巴	206
jiēbīng結冰	248
jiēdào街道	178
jiěfau姐夫	225
jiēhūn結婚（指男方）	319
jiēhūn結婚（指女方）	319
jiějie姐姐	225
jiēshi結实	368
jiēwěn接吻	344
jĭng井	130
jīnnián今年	12
