SUBGROUP	DOCULECT
Bai	Dashi
Bai	Zhaozhuang
Bai	Ega
Bai	Enqi
Bai	Eryuan
Bai	Gongxing
Bai	Heqi
Bai	Jianchuan
Bai	Jinman
Bai	Jinxing
Bai	Luobenzhuo
Bai	Mazhelong
Bai	Qiliqiao
Bai	Xiangyun
Bai	Yunlong
Bai	Zhoucheng
Bodic	Cone_Tibetan
Bodic	Lhasa_Tibetan
Bodic	Old_Tibetan
Burmish	Achang_Lianghe
Burmish	Achang_Longchuan
Burmish	Achang_Luxi
Burmish	Atsi
Burmish	Bola
Burmish	Burmese
Burmish	Hpun
Burmish	Lashi
Burmish	Maru
Burmish	Old_Burmese
Burmish	Xiandau
Kiranti	Dumi
Kiranti	Khaling
Kiranti	Limbu
Kiranti	Wambule
Kiranti	Yakkha
Kiranti	Yamphu
Nungish	Dulong
SAL	Jingpo
Sinitic	Beijing
Sinitic	Caijia
Sinitic	Changsha
Sinitic	Ganzhou
Sinitic	Guangzhou
Sinitic	Meixian
Sinitic	Old_Chinese
Sinitic	Xiamen
rGyalrongic	Guiqiong
rGyalrongic	Japhug
rGyalrongic	Khroskyabs_Wobzi
rGyalrongic	Muya
rGyalrongic	Stau
rGyalrongic	Tangut
rGyalrongic	Zbu
