ID	CONCEPT	OMEGAWIKI	CHINESE	POS	WOLD	ABVD	IELEX	SWADESH_1952	SWADESH_1955	TOWEROFBABEL	SUBGROUP	DOCULECT	ENTRY_IN_SOURCE	IPA	TOKENS	ALIGNMENT	NOTE	GLOSS_IN_SOURCE	HANZI	COGID	SOURCE	SCAID
1	above	7064	-	Function word	12081	above (175)	-	-	-	-	Bai	Dashi	-	-	-	-	-	-	-	0	-	0
2	above	7064	-	Function word	12081	above (175)	-	-	-	-	Bai	Zhaozhuang	-	-	-	-	-	-	-	0	-	0
3	above	7064	-	Function word	12081	above (175)	-	-	-	-	Bai	Ega	-	-	-	-	-	-	-	0	-	0
4	above	7064	-	Function word	12081	above (175)	-	-	-	-	Bai	Enqi	-	-	-	-	-	-	-	0	-	0
5	above	7064	-	Function word	12081	above (175)	-	-	-	-	Bai	Eryuan	-	-	-	-	-	-	-	0	-	0
6	above	7064	-	Function word	12081	above (175)	-	-	-	-	Bai	Gongxing	-	-	-	-	-	-	-	0	-	0
7	above	7064	-	Function word	12081	above (175)	-	-	-	-	Bai	Heqi	-	-	-	-	-	-	-	0	-	0
8	above	7064	-	Function word	12081	above (175)	-	-	-	-	Bai	Jianchuan	-	-	-	-	-	-	-	0	-	0
9	above	7064	-	Function word	12081	above (175)	-	-	-	-	Bai	Jinman	-	-	-	-	-	-	-	0	-	0
10	above	7064	-	Function word	12081	above (175)	-	-	-	-	Bai	Jinxing	-	-	-	-	-	-	-	0	-	0
11	above	7064	-	Function word	12081	above (175)	-	-	-	-	Bai	Luobenzhuo	-	-	-	-	-	-	-	0	-	0
12	above	7064	-	Function word	12081	above (175)	-	-	-	-	Bai	Mazhelong	-	-	-	-	-	-	-	0	-	0
13	above	7064	-	Function word	12081	above (175)	-	-	-	-	Bai	Qiliqiao	-	-	-	-	-	-	-	0	-	0
14	above	7064	-	Function word	12081	above (175)	-	-	-	-	Bai	Xiangyun	-	-	-	-	-	-	-	0	-	0
15	above	7064	-	Function word	12081	above (175)	-	-	-	-	Bai	Yunlong	-	-	-	-	-	-	-	0	-	0
16	above	7064	-	Function word	12081	above (175)	-	-	-	-	Bai	Zhoucheng	-	-	-	-	-	-	-	0	-	0
17	above	7064	-	Function word	12081	above (175)	-	-	-	-	Bodic	Cone_Tibetan	-	-	-	-	-	-	-	0	-	0
