# Wordlist

# DATA
ID	IPA	SOURCE	TOWEROFBABEL	SUBGROUP	WOLD	CONCEPT	ENTRY_IN_SOURCE	CHINESE	SWADESH_1952	POS	NOTE	SCAID	SWADESH_1955	HANZI	DOCULECT	BORROWING	ALIGNMENT	IELEX	ABVD	OMEGAWIKI	GLOSS_IN_SOURCE	COGID	TOKENS
#
5036	ŋõ₃₁	Wang2006a, 928	I(3)	Bai	2.91	I [first person singular]	ŋõ31	我	I(78)	Function word	-	512	I(42)	-	Dashi		ŋ õ ₃₁	I (1)	I (182)	5450	I	1	ŋ õ ₃₁
5037	-	-	I(3)	Bai	2.91	I [first person singular]	-	我	I(78)	Function word	-	0	I(42)	-	Zhaozhuang		-	I (1)	I (182)	5450	-	0	-
5038	ŋo₄₂	Wang2006a, 928	I(3)	Bai	2.91	I [first person singular]	ŋo42	我	I(78)	Function word	-	512	I(42)	-	Ega		ŋ o ₄₂	I (1)	I (182)	5450	I	1	ŋ o ₄₂
5039	ɴo₄₃	Wang2006a, 928	I(3)	Bai	2.91	I [first person singular]	ɴo43	我	I(78)	Function word	-	512	I(42)	-	Enqi		ɴ o ₄₃	I (1)	I (182)	5450	I	1	ɴ o ₄₃
5040	ŋɔ₃₁	Allen2007, 474	I(3)	Bai	2.91	I [first person singular]	ŋɔ31	我	I(78)	Function word	-	512	I(42)	-	Eryuan		ŋ ɔ ₃₁	I (1)	I (182)	5450	I(1 p.s.) / 我	1	ŋ ɔ ₃₁
5041	ŋa₄₂	Wang2006a, 928	I(3)	Bai	2.91	I [first person singular]	ŋa42	我	I(78)	Function word	-	512	I(42)	-	Gongxing		ŋ a ₄₂	I (1)	I (182)	5450	I	1	ŋ a ₄₂
5042	ŋɔ₃₁	Allen2007, 474	I(3)	Bai	2.91	I [first person singular]	ŋɔ31	我	I(78)	Function word	-	512	I(42)	-	Heqi		ŋ ɔ ₃₁	I (1)	I (182)	5450	I(1 p.s.) / 我	1	ŋ ɔ ₃₁
5043	ŋo₃₁	Allen2007, 474	I(3)	Bai	2.91	I [first person singular]	ŋo31	我	I(78)	Function word	-	512	I(42)	-	Jianchuan		ŋ o ₃₁	I (1)	I (182)	5450	I(1 p.s.) / 我	1	ŋ o ₃₁
5044	õ₄₂	Wang2006a, 928	I(3)	Bai	2.91	I [first person singular]	õ42	我	I(78)	Function word	-	519	I(42)	-	Jinman		õ ₄₂	I (1)	I (182)	5450	I	1	õ ₄₂
5045	uõ₃₁	Wang2006a, 928	I(3)	Bai	2.91	I [first person singular]	uõ31	我	I(78)	Function word	-	520	I(42)	-	Jinxing		u õ ₃₁	I (1)	I (182)	5450	I	1	u õ ₃₁
5046	ɴɔ₄₂	Allen2007, 474	I(3)	Bai	2.91	I [first person singular]	ɴɔ42	我	I(78)	Function word	-	512	I(42)	-	Luobenzhuo		ɴ ɔ ₄₂	I (1)	I (182)	5450	I(1 p.s.) / 我	1	ɴ ɔ ₄₂
5047	nen₄₂	Wang2006a, 928	I(3)	Bai	2.91	I [first person singular]	nen42	我	I(78)	Function word	-	523	I(42)	-	Mazhelong		n e n ₄₂	I (1)	I (182)	5450	I	1	n e n ₄₂
5048	ŋɔ₃₁	Allen2007, 474	I(3)	Bai	2.91	I [first person singular]	ŋɔ31	我	I(78)	Function word	-	512	I(42)	-	Qiliqiao		ŋ ɔ ₃₁	I (1)	I (182)	5450	I(1 p.s.) / 我	1	ŋ ɔ ₃₁
5049	ŋɔ₃₁	Allen2007, 474	I(3)	Bai	2.91	I [first person singular]	ŋɔ31	我	I(78)	Function word	-	512	I(42)	-	Xiangyun		ŋ ɔ ₃₁	I (1)	I (182)	5450	I(1 p.s.) / 我	1	ŋ ɔ ₃₁
5050	ŋɔ₃₁	Allen2007, 474	I(3)	Bai	2.91	I [first person singular]	ŋɔ31	我	I(78)	Function word	-	512	I(42)	-	Yunlong		ŋ ɔ ₃₁	I (1)	I (182)	5450	I(1 p.s.) / 我	1	ŋ ɔ ₃₁
5051	ŋo₃₁	Wang2006a, 928	I(3)	Bai	2.91	I [first person singular]	ŋo31	我	I(78)	Function word	-	512	I(42)	-	Zhoucheng		ŋ o ₃₁	I (1)	I (182)	5450	I	1	ŋ o ₃₁
5052	-	-	I(3)	Bodic	2.91	I [first person singular]	-	我	I(78)	Function word	-	0	I(42)	-	Cone_Tibetan		-	I (1)	I (182)	5450	-	0	-
5053	-	-	I(3)	Bodic	2.91	I [first person singular]	-	我	I(78)	Function word	-	0	I(42)	-	Lhasa_Tibetan		-	I (1)	I (182)	5450	-	0	-
5054	ŋa	-	I(3)	Bodic	2.91	I [first person singular]	ŋa	我	I(78)	Function word	-	0	I(42)	吾	Old_Tibetan		-	I (1)	I (182)	5450	I	2	ŋ a
5055	-	-	I(3)	Burmish	2.91	I [first person singular]	-	我	I(78)	Function word	-	0	I(42)	-	Achang_Lianghe		-	I (1)	I (182)	5450	-	0	-
