OMEGAWIKI	GLOSS_IN_SOURCE	IPA	COGID	HANZI
6053	stand	rap	2	立
6052	fly	pyam	1	飛
6003	see	mraŋ	3	睹
6005	lie	lay²	2	臥
6054	walk	hlyok	2	行
6031	yellow	wa	2	黃
6059	give	pe²	1	畀
6032	green	ɲui	1	青
6004	know	si³	1	知
6023	kill	sat	1	殺
6056	come	la	2	來
6075	say	pyaw²	3	曰
400	bird	hŋak	2	鳥
6022	sit	ne	2	坐
6050	swim	re ku²	2	泳
6041	star	kray	1	星
6040	full	praɲ³	3	滿
411	blood	swe²	1	血
2124	leaf	rwak	1	葉
1149393	that	tʰo.ho	3	彼
1173416	all	a²lum²	2	凡
3100	person	lu	4	人
4165	woman	min²ma³	1	女
4118	water	re	3	水
3269	root	mrac	3	根
623	cloud	tim	1	雲
6248	two	hnac	1	二
1299599	burn	tok	3	焚
6245	die	se	1	死
828575	claw	saɲ²	2	爪
6244	one	tac	2	一
3258	path	lam²	3	路
2300	flesh	sa²	2	肌
1333710	red	ni	1	赤
6397	man	yok kya²	3	男
3361	seed	ce³	3	種
332000	mouth	hnut	1	口
3305	sand	say²	2	沙
1341728	black	nak	1	黑
5437	big	kri²	3	大
5491	what	ba	2	何
1460	fish	ŋa²	2	魚
1446	fire	mi²	1	火
3451	smoke	mi²kui²	1	煙
5458	this	i.di	3	是
5471	nose	hnac	1	鼻
5439	bark	khok	2	-
5423	many	mya²	3	多
340828	egg	ʔu³	3	卵
5459	you	naŋ	1	汝
5440	tongue	hlya	2	舌
5450	I	ŋa	1	吾
5486	night	rak	3	夜
5476	liver	asaɲ	1	肝
5481	earth	mre	2	土
446278	hair	cham paŋ	2	毛
5484	new	sac	1	新
443659	good	koŋ²	3	好
5490	who	bay.su	1	孰
5495	not	ma³	1	無
5455	we	dui³	3	我
5475	heart	hnac lum²	1	心
5485	hot	pu	3	熱
5468	tail	mri²	1	尾
5438	long	hraɲ	1	長
5436	feather	mwe²	1	羽
3430	skin	re	1	皮
2421	mountain	toŋ	2	山
5511	eye	myak	1	目
5509	small	ŋay	2	小
5516	belly	wam²	3	肚
6519	sleep	ip	1	寢
5527	head	ʔu²kʰoŋ²	2	首
5510	ear	na²	1	耳
5523	rain	rwa	3	雨
264	ash	pra	3	灰
5616	hand	lak	1	手
5639	cold	e²	2	寒
966	dog	kʰwe²	1	犬
5624	grease	cʰi	1	脂
5672	foot	kʰre	2	足
3633	stone	kyok	3	石
5729	moon	la³	1	月
3854	tree	sac pan	1	木
5850	sun	ne	2	日
5825	white	pʰru	2	白
5823	neck	laɲ	2	頸
5827	eat	ca²	1	食
5946	tooth	swa²	1	牙
5980	louse	san²	2	蝨
5993	bite	kuik	3	噬
5989	dry	swe³	2	乾
5983	bone	rui²	1	骨
5981	horn	kʰrui	1	角
5991	drink	sok	2	飲
5992	breasts	nui³	1	乳
5995	name	maɲ	1	名
5918	knee	du²	3	膝
5984	round	wan²	3	圓
5999	hear	kra²	3	聞
