OMEGAWIKI	GLOSS_IN_SOURCE	IPA	COGID	HANZI
6053	stand	rep	2	立
6052	fly	bher-	2	飛
6003	see	thɵ-	0	睹
6005	lie	0	0	臥
6054	walk	lɛm-thi-	7	行
6031	yellow	ʔɵʔɵ̂m	7	黃
6059	give	bi-	1	畀
6032	green	gigîm	4	青
6004	know	tsikt-	5	知
6023	kill	sɛt-	1	殺
6056	come	pi-	1	來
6075	say	lut-	8	曰
400	bird	sʌ̄lpu	6	鳥
6022	sit	ŋɛn-	5	坐
6050	swim	0	0	泳
6041	star	sāŋgʌr	3	星
6040	full	sop-	8	滿
411	blood	hi	3	血
2124	leaf	sāːphʌm	5	葉
1149393	that	mɛ	8	彼
1173416	all	kʰøle	8	凡
3100	person	ɦʌs	5	人
4165	woman	melsêm	5	女
4118	water	ku	7	水
3269	root	sɛ̄m	1	根
623	cloud	kɵ̂m	3	雲
6248	two	sakpu	2	二
1299599	burn	ɦut-	7	焚
6245	die	mit-	2	死
828575	claw	sēndʉ	2	爪
6244	one	tûːbʌ	1	一
3258	path	lɛ̄m	3	路
2300	flesh	sɵ̂ː	2	肌
1333710	red	ɦalalâm	5	赤
6397	man	lɛsbɛ	8	男
3361	seed	rāːru	4	種
332000	mouth	koɔ̄m	7	口
3305	sand	sekhre	4	沙
1341728	black	kekêm	3	黑
5437	big	ghoɔ̄lpɛ	6	大
5491	what	ma^ŋ	6	何
1460	fish	ŋɵ	2	魚
1446	fire	mi	1	火
3451	smoke	mikmɵ	4	煙
5458	this	tɛ	2	是
5471	nose	nɵ	1	鼻
5439	bark	kâː	5	-
5423	many	ghoɔle	8	多
340828	egg	ti	5	卵
5459	you	ʔīn	1	汝
5440	tongue	lēm	2	舌
5450	I	ʔu^ŋ	1	吾
5486	night	ʔusene	5	夜
5476	liver	lūm	2	肝
5481	earth	pɵk	6	土
446278	hair	dhōːsʌm	2	毛
5484	new	nʌjʌ	0	新
443659	good	nʉ-	5	好
5490	who	sʉ	1	孰
5495	not	mu-	1	無
5455	we	ʔik	7	我
5475	heart	ʦɵ̂ː	4	心
5485	hot	ɦakpɛ	5	熱
5468	tail	mêr	1	尾
5438	long	sōŋpɛ	4	長
5436	feather	phʌsʌlʌm	4	羽
3430	skin	sʌkʌ	5	皮
2421	mountain	ʣhes	6	山
5511	eye	mʌs	1	目
5509	small	jakki	7	小
5516	belly	mupu	6	肚
6519	sleep	ʔip-si-	2	寢
5527	head	dhōŋ	5	首
5510	ear	ŋeʦo	2	耳
5523	rain	wɵ	3	雨
264	ash	pʉjʉ	6	灰
5616	hand	khʌ̄r	4	手
5639	cold	tshʌkpɛ	4	寒
966	dog	khlêːp	3	犬
5624	grease	ʦhodobɛ	6	脂
5672	foot	sɛ̂l	6	足
3633	stone	lūŋ	2	石
5729	moon	lɵ	1	月
3854	tree	sʌ̄ŋ	1	木
5850	sun	noɔ̄m	3	日
5825	white	bubûm	6	白
5823	neck	takʦhu	5	頸
5827	eat	ʣɵ-	1	食
5946	tooth	ŋʌlu	4	牙
5980	louse	sēr	2	蝨
5993	bite	kɛt-	6	噬
5989	dry	dhoŋ	7	乾
5983	bone	solo	3	骨
5981	horn	ghrʌ̄ŋ	3	角
5991	drink	tuŋ-	3	飲
5992	breasts	nʉs	1	乳
5995	name	nʌ̄ŋ	1	名
5918	knee	tʌ̄mʦu	8	膝
5984	round	khʌkhʌrmîm	6	圓
5999	hear	ŋi-	8	聞
