OMEGAWIKI	IPA	TOKENS	SCAID	SOURCE	GLOSS_IN_SOURCE	ENTRY_IN_SOURCE	ALIGNMENT
5466	qɔ₅₅t͡ɕɤ₃₁	q ɔ ₅₅ t͡ɕ ɤ ₃₁	231	Allen2007, 81	earthworm / 蚯蚓	qɔ55tɕɤ31	q ɔ ₅₅ t͡ɕ ɤ ₃₁
7027	pʰãõ₅₅t͡ɕĩ₄₂	pʰ ã õ ₅₅ t͡ɕ ĩ ₄₂	1384	Allen2007, 18	wet / 水田	pʰãõ55tɕĩ42	pʰ ã õ ₅₅ t͡ɕ ĩ ₄₂
7027	xã₅₅	x ã ₅₅	1383	Allen2007, 420	wet / 湿	xã55	x ã ₅₅
5980	ɕi₄₄	ɕ i ₄₄	645	Allen2007, 78	louse / 虱子	ɕi44	ɕ i ₄₄
5599	t͡sũɛ̃₅₅	t͡s ũ ɛ̃ ₅₅	970	Allen2007, 200	salt / 盐	tsũɛ̃55	t͡s ũ ɛ̃ - ₅₅
5482	kɤ₃₃	k ɤ ₃₃	798	Allen2007, 415	old / 老	kɤ33	k ɤ ₃₃
5429	ɲõ₄₄nɛ₃₁	ɲ õ ₄₄ n ɛ ₃₁	1423	Allen2007, 164	wife / 妻子	ɲõ44nɛ31	ɲ õ ₄₄ n ɛ ₃₁
336072	diɛ₄₂	d i ɛ ₄₂	1139	Allen2007, 343	steal / 偷	diɛ42	d i ɛ ₄₂
3269	bo₅₅mɛ₄₄	b o ₅₅ m ɛ ₄₄	955	Allen2007, 115	root / 根	bo55mɛ44	b o ₅₅ m ɛ ₄₄
5485	wẽ₅₅	w ẽ ₅₅	1357	Allen2007, 435	warm / 暖和	wẽ55	w ẽ ₅₅ - -
496633	sõ₃₁	s õ ₃₁	836	Allen2007, 445	painful / 痛	sõ31	s õ ₃₁
5463	a₅₅mɔ₃₃	a ₅₅ m ɔ ₃₃	719	Allen2007, 163	mother / 母亲	a55mɔ33	a ₅₅ m ɔ ₃₃
7039	xẽ₅₅	x ẽ ₅₅	1038	Allen2007, 1	sky / 天	xẽ55	x ẽ ₅₅
2421	ʂɛ̃₅₅	ʂ ɛ̃ ₅₅	728	Allen2007, 22	mountain / 山	ʂɛ̃55	ʂ ɛ̃ ₅₅
522875	bo₅₅ni₃₁	b o ₅₅ n i ₃₁	1016	Allen2007, 117	shoot,sprout / 芽	bo55ni31	b o ₅₅ n i ₃₁
400	t͡suɔ₅₅	t͡s u ɔ ₅₅	53	Allen2007, 61	bird / 鸟	tsuɔ55	t͡s u ɔ ₅₅
6280	bo₅₅qʰao₃₃	b o ₅₅ qʰ a o ₃₃	369	Allen2007, 119	fruit / 果	bo55qʰao33	b o ₅₅ qʰ a o ₃₃
6025	ci₅₅	c i ₅₅	305	Allen2007, 347	fear / 怕	ci55	c i ₅₅
966	qʰõ₃₃	qʰ õ ₃₃	166	Allen2007, 50	dog / 狗	qʰõ33	qʰ õ ₃₃
5528	lao₃₁ji₄₂	l a o ₃₁ j i ₄₂	1439	Allen2007, 85	wing(bird) / 翅膀	lao31ji42	l a o ₃₁ j i ₄₂
3388	t͡ɕʰɛ̃₃₃	t͡ɕʰ ɛ̃ ₃₃	1067	Allen2007, 70	snake / 蛇	tɕʰɛ̃33	t͡ɕʰ ɛ̃ ₃₃
154737	dao₄₂	d a o ₄₂	404	Allen2007, 377	grow(of people) / 长（长大）	dao42	d a o ₄₂
5492	a₅₅mã₅₅	a ₅₅ m ã ₅₅	1405	Allen2007, 490	where / 哪里	a55mã55	a ₅₅ m ã ₅₅
4160	t͡ɕỹ₃₃	t͡ɕ ỹ ₃₃	1434	Allen2007, 6	wind / 风	tɕỹ33	t͡ɕ ỹ ₃₃
7709	qʰo₅₅	qʰ o ₅₅	148	Allen2007, 349	cry / 哭	qʰo55	qʰ o ₅₅
3455	suɛ₅₅	s u ɛ ₅₅	1077	Allen2007, 11	snow / 雪	suɛ55	s u ɛ ₅₅
443659	xɯ̃₃₃	x ɯ̃ ₃₃	382	Allen2007, 416	good / 好	xɯ̃33/ɴ̣33	x ɯ̃ ₃₃
5650	ʈʰɯ₃₃	ʈʰ ɯ ₃₃	27	Allen2007, 417	bad / 坏	ʈʰɯ33	ʈʰ ɯ ₃₃
1675	ʧʰʊ₄₄	ʧʰ ʊ ₄₄	396	Allen2007, 112	grass / 草	ʧʰʊ44	ʧʰ ʊ ₄₄
446278	te₃₁me₅₅	t e ₃₁ m e ₅₅	420	Allen2007, 125	hair / 头发	te31me55	t - e ₃₁ m e ₅₅
5439	ʧua₄₄	ʧ u a ₄₄	29	Allen2007, 382	bark(of dog) / 吠	ʧua44	ʧ u a ₄₄
3361	bo₅₅t͡ɕɔ̃₃₁	b o ₅₅ t͡ɕ ɔ̃ ₃₁	994	Allen2007, 114	seed / 种子	bo55tɕɔ̃31	b o ₅₅ t͡ɕ ɔ̃ ₃₁
7800	sõ₃₁	s õ ₃₁	534	Allen2007, 378	be sick,ill / 病	sõ31	s õ ₃₁
6068	pʰa₅₅	pʰ a ₅₅	890	Allen2007, 276	push / 推	pʰa55	pʰ a ₅₅
509787	xẽ₅₅mã₃₁	x ẽ ₅₅ m ã ₃₁	1277	Allen2007, 9	thunder(vb) / 打雷	xẽ55mã31	x ẽ - ₅₅ m ã - ₃₁
6032	pa₄₄t͡ɕʰã₃₁	p a ₄₄ t͡ɕʰ ã ₃₁	401	Allen2007, 411	green / 绿	pa44tɕʰã31	p a ₄₄ t͡ɕʰ ã ₃₁
1446	fi₃₃	f i ₃₃	317	Allen2007, 24	fire / 火	fi33	f i ₃₃
5995	ɲõ₅₅	ɲ õ ₅₅	753	Allen2007, 242	name / 名字	ɲõ55	ɲ õ ₅₅
6312	t͡ʂæ₄₂	t͡ʂ æ ₄₂	1199	Allen2007, 459	ten / 十	tʂæ42	t͡ʂ æ ₄₂
6069	ɕy₃₃	ɕ y ₃₃	1370	Allen2007, 320	wash / 洗	ɕy33	ɕ y ₃₃
6041	ɕã₃₃t͡ɕi₃₁	ɕ ã ₃₃ t͡ɕ i ₃₁	1134	Allen2007, 4	star / 星星	ɕã33tɕi31	ɕ ã ₃₃ t͡ɕ i ₃₁
156096	sæ̃₅₅	s æ̃ ₅₅	1272	Allen2007, 452	three / 三	sæ̃55	s æ̃ ₅₅
