OMEGAWIKI	GLOSS_IN_SOURCE	IPA	COGID	HANZI
6053	stand	rjɑp	2	立
6052	fly	bjɑm	1	飛
6003	see	mto	1	睹
6005	lie	rmɑ	0	臥
6054	walk	ptʂiɛ	6	行
6031	yellow	ŋi	1	黃
6059	give	wə	1	畀
6032	green	wurɲi	1	青
6004	know	ɕi	1	知
6023	kill	sɑt	1	殺
6056	come	po	1	來
6075	say	tsəs	1	曰
400	bird	pɑtsɑ	1	鳥
6022	sit	ɲi	2	坐
6050	swim	dʑɑk	1	泳
6041	star	tsuri	1	星
6040	full	mɲot	7	滿
411	blood	tɑɕi	1	血
2124	leaf	tɑjwɑk	1	葉
1149393	that	wu tə	7	彼
1173416	all	kə tɕiɛt	7	凡
3100	person	tərmi	1	人
4165	woman	təmi	1	女
4118	water	tətɕi	1	水
3269	root	tɑsrɑm	1	根
623	cloud	zdiɛm	1	雲
6248	two	kəniɛs	1	二
1299599	burn	tɕop	1	焚
6245	die	ɕi	1	死
828575	claw	tɑndzru	1	爪
6244	one	kətiɛk	2	一
3258	path	tʂəlɑ	1	路
333730				
2300	flesh	tɑmthɑm	1	肌
1333710	red	wurɲiɛ	1	赤
6397	man	tətsɑ	7	男
3361	seed	tərpi	1	種
332000	mouth	təɕnos	1	口
3305	sand	kəwiɛk	1	沙
1341728	black	nɑk	0	黑
5437	big	ktiɛ	1	大
5491	what	thiɛ	1	何
1460	fish	tɕiwjo	1	魚
1446	fire	təmtɕək	3	火
3451	smoke	takʰə	1	煙
5458	this	ɕi tə	2	是
5471	nose	təɕnɑ	1	鼻
5439	bark		0	-
5423	many	mtɕɑ	7	多
340828	egg	tɑgɑm	1	卵
5459	you	no	1	汝
5440	tongue	təɕmiɛ	3	舌
5450	I	ŋa	1	吾
5486	night	swɑr	1	夜
5476	liver	təphɕiɛ	1	肝
5481	earth	təpkiɛ	5	土
446278	hair	tɑrɲiɛ	1	毛
5484	new	ɕək	1	新
443659	good	snɑ	1	好
5490	who	su	1	孰
5495	not	ma-	1	無
5455	we	jo	1	我
5475	heart	təɕniɛ	1	心
5485	hot	stsiɛ	2	熱
5468	tail	tɑjmi	1	尾
5438	long	skrən	1	長
5436	feather	tɑmŋi	1	羽
3430	skin	təndʐi	1	皮
2421	mountain	tɑwɑt	5	山
5511	eye	təmɲɑk	1	目
5509	small	ktsi	1	小
5516	belly	təkto	1	肚
6519	sleep	rmɑ	4	寢
5527	head	tɑko	1	首
5510	ear	tərnɑ	1	耳
5523	rain	təmu	1	雨
264	ash	təpkiɛ	1	灰
5616	hand	tajɑk	1	手
5639	cold	məɕtak	1	寒
966	dog	kʰənɑ	1	犬
5624	grease		0	脂
5672	foot	tɑmiɛ	1	足
3633	stone	ndʑələk	6	石
5729	moon	tsəlɑ	1	月
3854	tree	ɕəkphu	1	木
5850	sun	kəjɑm	4	日
5825	white	prɑm	1	白
5823	neck	təmki	1	頸
5827	eat	zɑ	1	食
5946	tooth	təswɑ	1	牙
5980	louse	sor	2	蝨
5993	bite	khɑmtɕək	1	噬
5989	dry	ram	1	乾
5983	bone	ɕɑrə	1	骨
5981	horn	təru	1	角
5991	drink	mot	5	飲
5992	breasts	tənu	1	乳
5995	name	tərmiɛ	1	名
5918	knee	təmŋɑ	2	膝
5984	round	kɑporlor	6	圓
5999	hear	msɑm	1	聞
