OMEGAWIKI	IPA	TOKENS	SCAID	SOURCE	GLOSS_IN_SOURCE	ENTRY_IN_SOURCE	ALIGNMENT
5466	t͡ɕi₃₁kɛ₃₅t͡ɕao₂₁	t͡ɕ i ₃₁ k ɛ ₃₅ t͡ɕ a o ₂₁	224	Allen2007, 81	earthworm / 蚯蚓	tɕi31kɛ35tɕao21	t͡ɕ i ₃₁ k ɛ ₃₅ t͡ɕ a o ₂₁
7027	ɕy₃₃t͡ɕi₃₁	ɕ y ₃₃ t͡ɕ i ₃₁	1380	Allen2007, 18	wet / 水田	ɕy33tɕi31	ɕ y ₃₃ t͡ɕ i ₃₁
7027	pʰɛ₅₅	pʰ ɛ ₅₅	1388	Allen2007, 420	wet / 湿	pʰɛ55	pʰ ɛ ₅₅
5980	ɕi₄₄	ɕ i ₄₄	645	Allen2007, 78	louse / 虱子	ɕi44	ɕ i ₄₄
5599	pi₃₅	p i ₃₅	972	Allen2007, 200	salt / 盐	pi35	p i ₃₅
5482	ku₃₃	k u ₃₃	798	Allen2007, 415	old / 老	ku33	k u ₃₃
5429	vɤ₃₃ɲi₂₁	v ɤ ₃₃ ɲ i ₂₁	1419	Allen2007, 164	wife / 妻子	vɤ33ɲi21	v ɤ ₃₃ ɲ i ₂₁
336072	ta₃₁	t a ₃₁	1135	Allen2007, 343	steal / 偷	ta31	t a ₃₁
3269	dɛ₃₃	d ɛ ₃₃	945	Allen2007, 115	root / 根	dɛ33	d ɛ ₃₃
5485	wɛ₄₄na₃₁	w ɛ ₄₄ n a ₃₁	1369	Allen2007, 435	warm / 暖和	wɛ44na31	w ɛ ₄₄ n a ₃₁
496633	sɿ₃₁	s ɿ ₃₁	836	Allen2007, 445	painful / 痛	sɿ31	s ɿ ₃₁
5463	a₅₅mɔ₃₃	a ₅₅ m ɔ ₃₃	719	Allen2007, 163	mother / 母亲	a55mɔ33	a ₅₅ m ɔ ₃₃
7039	xe₅₅	x e ₅₅	1038	Allen2007, 1	sky / 天	xe55	x e ₅₅
2421	ʃɤ₄₂	ʃ ɤ ₄₂	728	Allen2007, 22	mountain / 山	ʃɤ42	ʃ ɤ ₄₂
522875	ŋɛ₂₁	ŋ ɛ ₂₁	1012	Allen2007, 117	shoot,sprout / 芽	ŋɛ21	ŋ ɛ ₂₁
400	t͡su₄₄	t͡s u ₄₄	54	Allen2007, 61	bird / 鸟	tsu44	t͡s u ₄₄
6280	kʰao₃₃	kʰ a o ₃₃	366	Allen2007, 119	fruit / 果	kʰao33	kʰ a o ₃₃
6025	kɛ₃₅	k ɛ ₃₅	301	Allen2007, 347	fear / 怕	kɛ35	k ɛ ₃₅
966	kʰua₃₃	kʰ u a ₃₃	163	Allen2007, 50	dog / 狗	kʰua33	kʰ u a - ₃₃
5528	lao₂₁ji₂₁	l a o ₂₁ j i ₂₁	1439	Allen2007, 85	wing(bird) / 翅膀	lao21ji21	l a o ₂₁ j i ₂₁
3388	kʰɤ₃₃	kʰ ɤ ₃₃	1065	Allen2007, 70	snake / 蛇	kʰɤ33	kʰ ɤ ₃₃
154737	kɔ₃₅dao₃₁	k ɔ ₃₅ d a o ₃₁	410	Allen2007, 377	grow(of people) / 长（长大）	kɔ35dao31	k ɔ ₃₅ d a o ₃₁
5492	a₅₅na₄₄	a ₅₅ n a ₄₄	1402	Allen2007, 490	where / 哪里	a55na44	a ₅₅ n a ₄₄
4160	pi₃₅ɕi₅₅	p i ₃₅ ɕ i ₅₅	1427	Allen2007, 6	wind / 风	pi35ɕi55	p i ₃₅ ɕ i ₅₅
7709	kʰu₄₄	kʰ u ₄₄	148	Allen2007, 349	cry / 哭	kʰu44	kʰ u ₄₄
3455	ɕyɛ₄₄	ɕ y ɛ ₄₄	1077	Allen2007, 11	snow / 雪	ɕyɛ44	ɕ y ɛ ₄₄
443659	xu₃₃	x u ₃₃	382	Allen2007, 416	good / 好	xu33	x u ₃₃
5650	xɛ₃₃	x ɛ ₃₃	20	Allen2007, 417	bad / 坏	xɛ33	x ɛ ₃₃
1675	t͡sʰu₃₃	t͡sʰ u ₃₃	396	Allen2007, 112	grass / 草	tsʰu33	t͡sʰ u ₃₃
446278	dɯ₂₁ma₃₅	d ɯ ₂₁ m a ₃₅	420	Allen2007, 125	hair / 头发	dɯ21ma35	d ɯ - ₂₁ m a ₃₅
5439	pia₄₂	p i a ₄₂	28	Allen2007, 382	bark(of dog) / 吠	pia42	p i a ₄₂
3361	d͡zɯ₃₃	d͡z ɯ ₃₃	985	Allen2007, 114	seed / 种子	dzɯ33	d͡z ɯ ₃₃
7800	pɛ₃₁	p ɛ ₃₁	533	Allen2007, 378	be sick,ill / 病	pɛ31	p ɛ ₃₁
6068	ma₃₅	m a ₃₅	886	Allen2007, 276	push / 推	ma35	m a ₃₅
509787	xe₅₅mɛ₂₁	x e ₅₅ m ɛ ₂₁	1277	Allen2007, 9	thunder(vb) / 打雷	xe55mɛ21	x e - ₅₅ m ɛ - ₂₁
6032	lɤ₃₃	l ɤ ₃₃	397	Allen2007, 411	green / 绿	lɤ33	l ɤ ₃₃
1446	xue₃₃	x u e ₃₃	316	Allen2007, 24	fire / 火	xue33	x u e ₃₃
5995	miɛ₃₅	m i ɛ ₃₅	746	Allen2007, 242	name / 名字	miɛ35	m i ɛ ₃₅
6312	t͡sɿ₄₂	t͡s ɿ ₄₂	1199	Allen2007, 459	ten / 十	tsɿ42	t͡s ɿ ₄₂
6069	se₃₃	s e ₃₃	1370	Allen2007, 320	wash / 洗	se33	s e ₃₃
