NUMBER	OWID	GLOSS	POS	ABVD	IELEX	WOLD
1	7064	above	Function word	above (175)		http://wold.clld.org/meaning/12081
2	1173416	all	Function word	all (191)	all (2)	http://wold.clld.org/meaning/13-14
3	6464	and	Function word	and (192)	and (3)	http://wold.clld.org/meaning/17-51
4	264	the ashes	Noun	ashes (146)	ashes (5)	http://wold.clld.org/meaning/1-84
5	5648	the back	Noun	back (13)	back (7)	http://wold.clld.org/meaning/4-19
6	5650	bad	Adjective	bad, evil (165)	bad (8)	http://wold.clld.org/meaning/16-72
7	5439	to bark	Noun		bark (9)	http://wold.clld.org/meaning/8-75
8	5439	the bark	Noun		bark (9)	http://wold.clld.org/meaning/8-75
9	6028	to be alive	Verb	to live, be alive (76)	live (95)	http://wold.clld.org/meaning/4-74
10	5516	the belly	Noun	belly (14)	belly (11)	http://wold.clld.org/meaning/4431
11	6199	below, under	Function word	below (176)		http://wold.clld.org/meaning/12-07
12	5437	big	Adjective	big (153)	big (12)	http://wold.clld.org/meaning/12-55
13	400	the bird	Noun	bird (97)	bird (13)	http://wold.clld.org/meaning/3581
14	5993	to bite	Verb	to bite (41)	bite (14)	http://wold.clld.org/meaning/4-58
15	1341728	black	Adjective	black (147)	black (15)	http://wold.clld.org/meaning/15-65
16	411	the blood	Noun	blood (23)	blood (16)	http://wold.clld.org/meaning/4-15
17	1375415	to blow	Verb	to blow (137)	blow (17)	http://wold.clld.org/meaning/10-38
18	1511061	blunt	Adjective	dull, blunt (82)	dull (35)	http://wold.clld.org/meaning/15-79
19	5983	the bone	Noun	bone (15)	bone (18)	http://wold.clld.org/meaning/4-16
20	6343	the branch	Noun	branch (113)		http://wold.clld.org/meaning/8-55
21	5992	the breast	Noun	breast (18)	breast (19)	http://wold.clld.org/meaning/4-41
22	5998	to breathe	Verb	to breathe (28)	breathe (20)	http://wold.clld.org/meaning/4-51
23	1299599	to burn [transitive]	Verb	to burn (144)	burn (21)	http://wold.clld.org/meaning/1851
24	8061	to buy	Verb	to buy (91)		http://wold.clld.org/meaning/11-81
25	1510493	to chew	Verb	to chew (38)		http://wold.clld.org/meaning/5-18
26	7413	the child (descendant)	Noun	child (56)	child (22)	http://wold.clld.org/meaning/2-43
27	7084	to choose	Verb	to choose (85)		http://wold.clld.org/meaning/16622
28	479387	to climb	Verb	to climb (172)		http://wold.clld.org/meaning/10472
29	623	the cloud	Noun	cloud (131)	cloud (23)	http://wold.clld.org/meaning/1-73
30	5639	cold (of temperature)	Adjective	cold (139)	cold (24)	http://wold.clld.org/meaning/15-86
31	6056	to come	Verb	to come (7)	come (25)	http://wold.clld.org/meaning/10-48
32	479132	to cook	Verb	to cook (39)		http://wold.clld.org/meaning/5-21
33	7026	correct (right)	Adjective	right // correct, true (3 // 166)	right (123)	http://wold.clld.org/meaning/16-73
34	6026	to count	Verb	to count (196)	count (26)	http://wold.clld.org/meaning/13107
35	7709	to cry	Verb	to cry (34)		http://wold.clld.org/meaning/16-37
36	6043	to cut	Verb	to cut, hack (78)	cut (27)	http://wold.clld.org/meaning/9-22
