# EDICTOR
@modified: 2015-02-02 16:0
#
ID	IPA	SOURCE	WOLD	TOWEROFBABEL	SCAID	NOTE	CONCEPT	ENTRY_IN_SOURCE	CHINESE	SWADESH_1952	COGID	SWADESH_1955	HANZI	DOCULECT	BORROWING	ALIGNMENT	TOKENS	ABVD	OMEGAWIKI	GLOSS_IN_SOURCE	POS	IELEX	SUBGROUP	MORPHEME_STRUCTURE	PARADIGM_1	PARADIGM_3	PARADIGM_4	PARADIGM_2	DUPLICATES
#
1			12081		0		above				0			Dashi				above (175)	7064		Function word		Bai						
2			12081		0		above				0			Zhaozhuang				above (175)	7064		Function word		Bai						
3			12081		0		above				0			Ega				above (175)	7064		Function word		Bai						
4			12081		0		above				0			Enqi				above (175)	7064		Function word		Bai						
5			12081		0		above				0			Eryuan				above (175)	7064		Function word		Bai						
6			12081		0		above				0			Gongxing				above (175)	7064		Function word		Bai						
7			12081		0		above				0			Heqi				above (175)	7064		Function word		Bai						
8			12081		0		above				0			Jianchuan				above (175)	7064		Function word		Bai						
9			12081		0		above				0			Jinman				above (175)	7064		Function word		Bai						
10			12081		0		above				0			Jinxing				above (175)	7064		Function word		Bai						
11			12081		0		above				0			Luobenzhuo				above (175)	7064		Function word		Bai						
12			12081		0		above				0			Mazhelong				above (175)	7064		Function word		Bai						
13			12081		0		above				0			Qiliqiao				above (175)	7064		Function word		Bai						
14			12081		0		above				0			Xiangyun				above (175)	7064		Function word		Bai						
15			12081		0		above				0			Yunlong				above (175)	7064		Function word		Bai						
16			12081		0		above				0			Zhoucheng				above (175)	7064		Function word		Bai						
17			12081		0		above				0			Cone_Tibetan				above (175)	7064		Function word		Bodic						
18			12081		0		above				0			Lhasa_Tibetan				above (175)	7064		Function word		Bodic						
19	steŋ		12081		0		above				0			Old_Tibetan				above (175)	7064		Function word		Bodic						
20			12081		0		above				0			Achang_Lianghe				above (175)	7064		Function word		Burmish						
21			12081		0		above				0			Achang_Longchuan				above (175)	7064		Function word		Burmish						
22			12081		0		above				0			Achang_Luxi				above (175)	7064		Function word		Burmish						
23			12081		0		above				0			Atsi				above (175)	7064		Function word		Burmish						
24			12081		0		above				0			Bola				above (175)	7064		Function word		Burmish						
25			12081		0		above				0			Burmese				above (175)	7064		Function word		Burmish						
26			12081		0		above				0			Hpun				above (175)	7064		Function word		Burmish						
27			12081		0		above				0			Lashi				above (175)	7064		Function word		Burmish						
28			12081		0		above				0			Maru				above (175)	7064		Function word		Burmish						
29			12081		0		above				0			Old_Burmese				above (175)	7064		Function word		Burmish						
30			12081		0		above				0			Xiandau				above (175)	7064		Function word		Burmish						
31			12081		0		above				0			Dumi				above (175)	7064		Function word		Kiranti						
32			12081		0		above				0			Khaling				above (175)	7064		Function word		Kiranti						
33			12081		0		above				0			Limbu				above (175)	7064		Function word		Kiranti						
34			12081		0		above				0			Wambule				above (175)	7064		Function word		Kiranti						
35			12081		0		above				0			Yakkha				above (175)	7064		Function word		Kiranti						
36			12081		0		above				0			Yamphu				above (175)	7064		Function word		Kiranti						
37			12081		0		above				0			Dulong				above (175)	7064		Function word		Nungish						
38			12081		0		above				0			Jingpo				above (175)	7064		Function word		SAL						
39			12081		0		above				0			Beijing				above (175)	7064		Function word		Sinitic						
40			12081		0		above				0			Caijia				above (175)	7064		Function word		Sinitic						
41			12081		0		above				0			Changsha				above (175)	7064		Function word		Sinitic						
42			12081		0		above				0			Ganzhou				above (175)	7064		Function word		Sinitic						
43			12081		0		above				0			Guangzhou				above (175)	7064		Function word		Sinitic						
44			12081		0		above				0			Meixian				above (175)	7064		Function word		Sinitic						
45	*[d]aŋʔ-s		12081		0		above	*[d]aŋʔ-s			5		上	Old_Chinese			d a ŋ ʔ ◦ s	above (175)	7064	above	Function word		Sinitic						
46			12081		0		above				0			Xiamen				above (175)	7064		Function word		Sinitic						
47			12081		0		above				0			Guiqiong				above (175)	7064		Function word		rGyalrongic						
48	ɯ-taʁ		12081		0		above	ɯ-taʁ			4			Japhug			ɯ ◦ t a ʁ	above (175)	7064		Function word		rGyalrongic						
49			12081		0		above				0			Khroskyabs_Wobzi				above (175)	7064		Function word		rGyalrongic						
50			12081		0		above				0			Muya				above (175)	7064		Function word		rGyalrongic						
51			12081		0		above				0			Stau				above (175)	7064		Function word		rGyalrongic						
52			12081		0		above				0			Tangut				above (175)	7064		Function word		rGyalrongic						
53			12081		0		above				0			Zbu				above (175)	7064		Function word		rGyalrongic						
#
54			13.14	all(84)	0		all		全部	all (of a number)(1)	0	all(1)		Dashi				all (191)	1173416		Function word	all (2)	Bai						
55			13.14	all(84)	0		all		全部	all (of a number)(1)	0	all(1)		Zhaozhuang				all (191)	1173416		Function word	all (2)	Bai						
56			13.14	all(84)	0		all		全部	all (of a number)(1)	0	all(1)		Ega				all (191)	1173416		Function word	all (2)	Bai						
57			13.14	all(84)	0		all		全部	all (of a number)(1)	0	all(1)		Enqi				all (191)	1173416		Function word	all (2)	Bai						
58	t͡ɕʰɔ₅₅ku₅₅	Allen2007, 499	13.14	all(84)	3		all	tɕʰɔ55ku55	全部	all (of a number)(1)	2	all(1)		Eryuan		t͡ɕʰ ɔ ⁵⁵ k u ⁵⁵	t͡ɕʰ ɔ ⁵⁵ k u ⁵⁵	all (191)	1173416	all / 都	Function word	all (2)	Bai						
