rn	reflex	gloss	gfn	srcabbr	lgid	language	srcid
316948	ə	demonstrative, indicative of proximity		Bhat-Boro	350	Bodo	
316949	əzəŋ	this way / here		Bhat-Boro	350	Bodo	
316950	ərəy	this way / in this way		Bhat-Boro	350	Bodo	
316951	ərəy tərəy	this and that		Bhat-Boro	350	Bodo	
316952	ə	present indicative suffix		Bhat-Boro	350	Bodo	
316953	zayə́	eats		Bhat-Boro	350	Bodo	
316954	tabayə	walks		Bhat-Boro	350	Bodo	
316955	ətraw	eighteen		Bhat-Boro	350	Bodo	
316956	əntay	then		Bhat-Boro	350	Bodo	
316957	ənbla	then		Bhat-Boro	350	Bodo	
316958	əmbla	then		Bhat-Boro	350	Bodo	
316959	əy	there		Bhat-Boro	350	Bodo	
316960	əy	as / like		Bhat-Boro	350	Bodo	
316961	əy	instructive case suffix		Bhat-Boro	350	Bodo	
316962	ə́y	that one (away)		Bhat-Boro	350	Bodo	
316965	əynay	injustice		Bhat-Boro	350	Bodo	
316966	ələ́	soundly (sleep); slowly		Bhat-Boro	350	Bodo	
316967	ələŋgi	bending		Bhat-Boro	350	Bodo	
316968	ələŋgi káŋ	dancing of dewda		Bhat-Boro	350	Bodo	
316969	ələ gələ	tramp / jobless wanderer		Bhat-Boro	350	Bodo	
316970	əlab	thatch	v	Bhat-Boro	350	Bodo	
316971	a	prefix, indicative of possesion (I person)		Bhat-Boro	350	Bodo	
316972	agəy	younger brother / sister (my)		Bhat-Boro	350	Bodo	
316973	abo	elder sister (my)		Bhat-Boro	350	Bodo	
316974	amay	mother's brother (my)		Bhat-Boro	350	Bodo	
316975	a	prefix occurring before terms indicating body part		Bhat-Boro	350	Bodo	
316976	akánti	arm (upper part)		Bhat-Boro	350	Bodo	
316978	akób	paw		Bhat-Boro	350	Bodo	
316981	adə́y	calf of leg		Bhat-Boro	350	Bodo	
316982	apá	palm		Bhat-Boro	350	Bodo	
316985	ahar	milk (breast)		Bhat-Boro	350	Bodo	
316986	a	formative prefix		Bhat-Boro	350	Bodo	
316990	aruŋ	belt / girdle		Bhat-Boro	350	Bodo	
316991	a	nominative suffix (emphatic)		Bhat-Boro	350	Bodo	
316992	a	negative suffix		Bhat-Boro	350	Bodo	
316993	zayá	does not eat		Bhat-Boro	350	Bodo	
316994	pobá	does not bury		Bhat-Boro	350	Bodo	
316995	pana	does not sell		Bhat-Boro	350	Bodo	
316996	aka paka	expert / extraordinary person		Bhat-Boro	350	Bodo	
316997	aka maka	suddenly		Bhat-Boro	350	Bodo	
316998	akám	rice (cooked) / food		Bhat-Boro	350	Bodo	
316999	akám pərəm	rice, pieces of, scattered on the floor		Bhat-Boro	350	Bodo	
317000	akám gumá	grasshopper (kind of)		Bhat-Boro	350	Bodo	
317001	akám tayzú	mango (kind of)		Bhat-Boro	350	Bodo	
317003	akay	rice (fried)		Bhat-Boro	350	Bodo	
317004	a◦káy	arm / hand		Bhat-Boro	350	Bodo	
317005	akay goray	arm		Bhat-Boro	350	Bodo	
317007	akáy asíra	thievish person		Bhat-Boro	350	Bodo	
317008	akáy kələ́y	stop	v	Bhat-Boro	350	Bodo	
317009	akáy gallaw	rich man		Bhat-Boro	350	Bodo	
317010	akáy guzu	fellow (lazy)		Bhat-Boro	350	Bodo	
317011	akáy nagar	give up hopes	v	Bhat-Boro	350	Bodo	
317012	akáy paykóŋ	hint at	v	Bhat-Boro	350	Bodo	
317013	akáy bəyta	oar (small)	n	Bhat-Boro	350	Bodo	
317014	akáyzo	helpless, become	v	Bhat-Boro	350	Bodo	
317015	akáyhə	begin some work	v	Bhat-Boro	350	Bodo	
