rn	reflex	gloss	gfn	srcabbr	lgid	language	srcid
73537	sirnɨ	bathe (with -ram 'body')		SVD-Dum	547	Dumi	
72835	kiː	tuber / radish / potato		SVD-Dum	547	Dumi	
73857	waːl	anus / rectum		SVD-Dum	547	Dumi	
72799	kaʔrimbhu	ash (tree)		SVD-Dum	547	Dumi	
73362	phiːtnɨ	ask / request sthg from smn		SVD-Dum	547	Dumi	
73594	sunɨ	functor: dimittive aspectiviz		SVD-Dum	547	Dumi	
73219	nono	aunt: mother's younger sister		SVD-Dum	547	Dumi	
73479	saːgoːyu	body / corporeal frame.		SVD-Dum	547	Dumi	
73032	lɨʔɨ	corpse / dead body		SVD-Dum	547	Dumi	
73765	tsep◦saːlu	fibula ("calf-bone")		SVD-Dum	547	Dumi	
72798	kaʔoːkhɨ	bridge (of bamboo over river)		SVD-Dum	547	Dumi	
73807	tsɨ'rɨmbhu	camelsfoot(Bauhinia variegata		SVD-Dum	547	Dumi	
73640	tɨktɨrɨ	cane / walking stick / staff.		SVD-Dum	547	Dumi	
73385	phu◦pum	cock / rooster		SVD-Dum	547	Dumi	
73384	phupu	cock / rooster		SVD-Dum	547	Dumi	
73280	pawœmmu	hen		SVD-Dum	547	Dumi	
73393	raːpnɨ	fence off		SVD-Dum	547	Dumi	
72865	kopnɨ	thatch	v	SVD-Dum	547	Dumi	
72716	həlnɨ	ruin, wreck, spoil <demolish>		SVD-Dum	547	Dumi	
73112	mɨlinɨ	go about one's business <do		SVD-Dum	547	Dumi	
73460	sambɨ-khiː◦bɨ	Tibetan mastiff, <dog>		SVD-Dum	547	Dumi	
73036	lɨdzəm	millet (Eleusine)		SVD-Dum	547	Dumi	
73035	lɨdzə	millet (Eleusine)		SVD-Dum	547	Dumi	
73180	naːm◦grim	sunset <evening,night>		SVD-Dum	547	Dumi	
73011	lənnɨ	come out, emerge <exit>		SVD-Dum	547	Dumi	
72910	khil	shit, faeces <feces,excrement>		SVD-Dum	547	Dumi	
73854	waysibhu	tree <fig>		SVD-Dum	547	Dumi	
73218	noktibhu	tree Ficus nemoralis <fig>		SVD-Dum	547	Dumi	
73154	munambhu	banyan tree <fig>		SVD-Dum	547	Dumi	
72944	khoktarɨ	tree <fig>		SVD-Dum	547	Dumi	
