ID	DOCULECT	GLOSS_IN_SOURCE	ENTRY_IN_SOURCE	OMEGAWIKI	CONCEPT	IPA	TOKENS
12778	Ganzhou	all (1)	tshyn2 pu4	1173416	all	ʦʰyn³pu⁵	ʦʰ y n ³ p u ⁵
12779	Ganzhou	and (2)	hə2, thə̃2	6464	and	hə³	h ə ³
12780	Ganzhou	and (2)	hə2, thə̃2	6464	and	tʰə̃³	tʰ ə̃ ∼ ³
12781	Ganzhou	animal (3)	tə̃4 wũ5	194	the animal	tə̃⁵wũ⁶	t ə̃ ∼ ⁵ w ũ ∼ ⁶
12782	Ganzhou	ashes (4)	hwəj1	264	the ashes	hwəj²	h w ə j ²
12783	Ganzhou	at (5)	tsæ4	6078	at	tsæ⁵	t s æ ⁵
12784	Ganzhou	back [nn] (6)	pəj4	5648	the back	pəj⁵	p ə j ⁵
12785	Ganzhou	bad (7)	pu/5 hɔ3, hwæ4	5650	bad	pu/⁶hɔ⁴	p u / ⁶ h ɔ ⁴
12786	Ganzhou	bad (7)	pu/5 hɔ3, hwæ4	5650	bad	hwæ⁵	h w æ ⁵
12787	Ganzhou	bark [of tree] (8)	sy4 phi2	5439	to bark/the bark	sy⁵pʰi³	s y ⁵ pʰ i ³
12788	Ganzhou	because (9)	in1 wəj4	514093	because	in²wəj⁵	i n ² w ə j ⁵
12789	Ganzhou	belly (10)	tu4 tsə3	5516	the belly	tu⁵tsə⁴	t u ⁵ t s ə ⁴
12790	Ganzhou	big (11)	ta4	5437	big	ta⁵	t a ⁵
12791	Ganzhou	bird (12)	njɔ3	400	the bird	njɔ⁴	n j ɔ ⁴
12792	Ganzhou	bite (13)	jɔ3	5993	to bite	jɔ⁴	j ɔ ⁴
12793	Ganzhou	black (14)	həj1	1341728	black	həj²	h ə j ²
12794	Ganzhou	blood (15)	syʔ5	411	the blood	syʔ⁶	s y ʔ ⁶
12795	Ganzhou	blow [vb] (16)	tshwəj1	1375415	to blow	ʦʰwəj²	ʦʰ w ə j ²
12796	Ganzhou	bone (17)	kuʔ5 thəw2	5983	the bone	kuʔ⁶tʰəw³	k u ʔ ⁶ tʰ ə w ³
12797	Ganzhou	breast(s) (18)	sjũ1	5992	the breast	sjũ²	s j ũ ∼ ²
12798	Ganzhou	breathe (19)	siʔ5 tshi4, thəw3 tshi4	5998	to breathe	siʔ⁶ʦʰi⁵	s i ʔ ⁶ ʦʰ i ⁵
12799	Ganzhou	breathe (19)	siʔ5 tshi4, thəw3 tshi4	5998	to breathe	tʰəw⁴ʦʰi⁵	tʰ ə w ⁴ ʦʰ i ⁵
12800	Ganzhou	burn [intr] (20)	sɔ1	6039	to burn (intransitive)	sɔ²	s ɔ ²
12801	Ganzhou	child (21)	sjæ3 hæ2, a2 tsə3	568	the child (young human	sjæ⁴hæ³	s j æ ⁴ h æ ³
12802	Ganzhou	child (21)	sjæ3 hæ2, a2 tsə3	568	the child (young human	a³tsə⁴	a ³ t s ə ⁴
12803	Ganzhou	child (21)	sjæ3 hæ2, a2 tsə3	7413	the child (descendant)	sjæ⁴hæ³	s j æ ⁴ h æ ³
12804	Ganzhou	child (21)	sjæ3 hæ2, a2 tsə3	7413	the child (descendant)	a³tsə⁴	a ³ t s ə ⁴
12805	Ganzhou	claw (22)	tsɔ3	828398	the claw	tsɔ⁴	t s ɔ ⁴
12806	Ganzhou	cloud (23)	yn2	623	the cloud	yn³	y n ³
12807	Ganzhou	cold (24)	lə̃3	5639	cold (of temperature)	lə̃⁴	l ə̃ ∼ ⁴
12808	Ganzhou	come (25)	læ2	6056	to come	læ³	l æ ³
12809	Ganzhou	count (26)	sũ4	6026	to count	sũ⁵	s ũ ∼ ⁵
12810	Ganzhou	cut (27)	tshjəʔ5	6043	to cut	ʦʰjəʔ⁶	ʦʰ j ə ʔ ⁶
12811	Ganzhou	day (28)	pəʔ5 thĩ1	5477	the day (opposed to night)	pəʔ⁶tʰĩ²	p ə ʔ ⁶ tʰ ĩ ∼ ²
12812	Ganzhou	die (29)	sə3	6245	to die	sə⁴	s ə ⁴
12813	Ganzhou	dig (30)	kwæ1	6024	to dig	kwæ²	k w æ ²
12814	Ganzhou	dirty (31)	laʔ5 səʔ5	5483	dirty	laʔ⁶səʔ⁶	l a ʔ ⁶ s ə ʔ ⁶
12815	Ganzhou	dog (32)	kəw3	966	the dog	kəw⁴	k ə w ⁴
12816	Ganzhou	drink (33)	tshĩ5	5991	to drink	ʦʰĩ⁶	ʦʰ ĩ ∼ ⁶
12817	Ganzhou	dry (34)	kã1	5989	dry	kã²	k ã ∼ ²
12818	Ganzhou	dull (35)	puʔ5 li4	5988	dull	puʔ⁶li⁵	p u ʔ ⁶ l i ⁵
12819	Ganzhou	dust (36)	hwəj1 tshin2	1009	the dust	hwəj²ʦʰin³	h w ə j ² ʦʰ i n ³
12820	Ganzhou	ear (37)	a3 to3	5510	the ear	a⁴to⁴	a ⁴ t o ⁴
12821	Ganzhou	earth (38)	thu3	5481	the earth (soil)	tʰu⁴	tʰ u ⁴
12822	Ganzhou	eat (39)	tshĩ5	5827	to eat	ʦʰĩ⁶	ʦʰ ĩ ∼ ⁶
12823	Ganzhou	egg (40)	tã4	340828	the egg	tã⁵	t ã ∼ ⁵
12824	Ganzhou	eye (41)	ĩ3 tsin1	5511	the eye	ĩ⁴tsin²	ĩ ∼ ⁴ t s i n ²
12825	Ganzhou	fall (42)	tiʔ5 tɔ3	5622	to fall	tiʔ⁶tɔ⁴	t i ʔ ⁶ t ɔ ⁴
12826	Ganzhou	far (43)	ɥĩ3	5997	far	ɥĩ⁴	ɥ ĩ ∼ ⁴
12827	Ganzhou	fat [nn] (44)	phã4, fəj2	5619	fat (obese)	pʰã⁵	pʰ ã ∼ ⁵
12828	Ganzhou	fat [nn] (44)	phã4, fəj2	5619	fat (obese)	fəj³	f ə j ³
12829	Ganzhou	father (45)	fu4 tshin1,pa4 pa4	5464	the father	fu⁵ʦʰin²	f u ⁵ ʦʰ i n ²
12830	Ganzhou	father (45)	fu4 tshin1,pa4 pa4	5464	the father	pa⁵pa⁵	p a ⁵ p a ⁵
12831	Ganzhou	feather (46)	mɔ2	5436	the feather	mɔ³	m ɔ ³
12832	Ganzhou	few (47)	sɔ3	5500	few	sɔ⁴	s ɔ ⁴
12833	Ganzhou	fight (48)	təw4 lɔ4	6030	to fight	təw⁵lɔ⁵	t ə w ⁵ l ɔ ⁵
12834	Ganzhou	fire (49)	ho3	1446	the fire	ho⁴	h o ⁴
12835	Ganzhou	fish (50)	y2	1460	the fish	y³	y ³
12836	Ganzhou	five (51)	wu3	156104	five	wu⁴	w u ⁴
12837	Ganzhou	flesh (52)	jo1	2300	the meat	jo²	j o ²
12838	Ganzhou	flow (53)	lju2	961244	to flow	lju³	l j u ³
12839	Ganzhou	flower (54)	hwa2	1487	the flower	hwa³	h w a ³
12840	Ganzhou	fly [vb] (55)	fəj1	6052	to fly (move through air)	fəj²	f ə j ²
12841	Ganzhou	fog (56)	ĩ1	1502	the fog	ĩ²	ĩ ∼ ²
12842	Ganzhou	foot (57)	tsjɔʔ5	5672	the foot	tsjɔʔ⁶	t s j ɔ ʔ ⁶
12843	Ganzhou	four (58)	sə4	6253	four	sə⁵	s ə ⁵
