# EDICTOR
@modified: 2015-02-10 12:26
#
ID	IPA	CONCEPT	CHINESE	COGID	DOCULECT	TOKENS	OMEGAWIKI
#
1		above		0	Dashi		7064
2		above		0	Zhaozhuang		7064
3		above		0	Ega		7064
4		above		0	Enqi		7064
5		above		0	Eryuan		7064
6		above		0	Gongxing		7064
7		above		0	Heqi		7064
8		above		0	Jianchuan		7064
9		above		0	Jinman		7064
10		above		0	Jinxing		7064
11		above		0	Luobenzhuo		7064
12		above		0	Mazhelong		7064
13		above		0	Qiliqiao		7064
14		above		0	Xiangyun		7064
15		above		0	Yunlong		7064
16		above		0	Zhoucheng		7064
17		above		0	Cone_Tibetan		7064
18		above		0	Lhasa_Tibetan		7064
19	steŋ	above		0	Old_Tibetan		7064
20		above		0	Achang_Lianghe		7064
21		above		0	Achang_Longchuan		7064
22		above		0	Achang_Luxi		7064
23		above		0	Atsi		7064
24		above		0	Bola		7064
25		above		0	Burmese		7064
26		above		0	Hpun		7064
27		above		0	Lashi		7064
28		above		0	Maru		7064
29		above		0	Old_Burmese		7064
30		above		0	Xiandau		7064
31		above		0	Dumi		7064
32		above		0	Khaling		7064
33		above		0	Limbu		7064
34		above		0	Wambule		7064
35		above		0	Yakkha		7064
36		above		0	Yamphu		7064
37		above		0	Dulong		7064
38		above		0	Jingpo		7064
39		above		0	Beijing		7064
40		above		0	Caijia		7064
41		above		0	Changsha		7064
42		above		0	Ganzhou		7064
43		above		0	Guangzhou		7064
44		above		0	Meixian		7064
45	*[d]aŋʔ-s	above		5	Old_Chinese	d a ŋ ʔ ◦ s	7064
46		above		0	Xiamen		7064
47		above		0	Guiqiong		7064
48	ɯ-taʁ	above		4	Japhug	ɯ ◦ t a ʁ	7064
49		above		0	Khroskyabs_Wobzi		7064
50		above		0	Muya		7064
51		above		0	Stau		7064
52		above		0	Tangut		7064
53		above		0	Zbu		7064
#
54		all	全部	0	Dashi		1173416
55		all	全部	0	Zhaozhuang		1173416
56		all	全部	0	Ega		1173416
57		all	全部	0	Enqi		1173416
58	t͡ɕʰɔ₅₅ku₅₅	all	全部	2	Eryuan	t͡ɕʰ ɔ ⁵⁵ k u ⁵⁵	1173416
59		all	全部	0	Gongxing		1173416
60	t͡sa₃₅ɕɯ₅₅	all	全部	5	Heqi	t͡s a ³⁵ ɕ ɯ ⁵⁵	1173416
61	t͡sa₃₅	all	全部	5	Jianchuan	t͡s a ³⁵	1173416
62		all	全部	0	Jinman		1173416
63		all	全部	0	Jinxing		1173416
64	da₅₅t͡ɕã₃₁	all	全部	3	Luobenzhuo	d a ⁵⁵ t͡ɕ ã ∼ ³¹	1173416
65		all	全部	0	Mazhelong		1173416
66	ji₃₅so₃₁	all	全部	4	Qiliqiao	j i ³⁵ s o ³¹	1173416
67	t͡ɕʰuɛ₅₅	all	全部	6	Xiangyun	t͡ɕʰ u ɛ ⁵⁵	1173416
68	t͡sa₅₅t͡ɕʰi₃₁	all	全部	5	Yunlong	t͡s a ⁵⁵ t͡ɕʰ i ³¹	1173416
69		all	全部	0	Zhoucheng		1173416
70		all	全部	0	Cone_Tibetan		1173416
71		all	全部	0	Lhasa_Tibetan		1173416
72	tʰams.tɕad	all	全部	10	Old_Tibetan	tʰ a ms tɕ a d	1173416
73		all	全部	0	Achang_Lianghe		1173416
74		all	全部	0	Achang_Longchuan		1173416
75		all	全部	0	Achang_Luxi		1173416
76		all	全部	0	Atsi		1173416
77		all	全部	0	Bola		1173416
78	a²lum²	all	全部	9	Burmese	a ² l u m ²	1173416
79		all	全部	0	Hpun		1173416
80		all	全部	0	Lashi		1173416
81		all	全部	0	Maru		1173416
82		all	全部	0	Old_Burmese		1173416
83		all	全部	0	Xiandau		1173416
84		all	全部	0	Dumi		1173416
85	kʰøle	all	全部	12	Khaling	kʰ ø l e	1173416
86	kak	all	全部	11	Limbu	k a k	1173416
87		all	全部	0	Wambule		1173416
88		all	全部	0	Yakkha		1173416
89		all	全部	0	Yamphu		1173416
90		all	全部	0	Dulong		1173416
91		all	全部	0	Jingpo		1173416
92		all	全部	0	Beijing		1173416
93		all	全部	0	Caijia		1173416
94		all	全部	0	Changsha		1173416
95		all	全部	0	Ganzhou		1173416
