NUMBER	ENGLISH	CONCEPTICON_ID	TBL_ID	SRCID	SRCGLOSS
29	I [first person singular]	1209	928	543912	I (1sg pronoun)
1	above	1741	731	543638	above
2	all	98	962	543670	all
3	bad	1292	1053	544574	bad
4	below, under	1485	732	544220	behind, below
5	big	1202	964	544247	big, large
6	black	163	1005		
7	cold (of temperature)	1287	1063	544409	cold
8	correct (right)	1725	1045		
9	dark	706	1013	543873	dark
10	dirty	1230	1086	544570	dirty
11	dry	1398	1028	544540	dry
12	early	672	1018		
13	eight	1705	804		
14	far	1406	974	543882	far
15	firewood	10	534	544403	fire-wood
16	five	493	801		
17	four	1500	800		
18	full	1429	984	544518	full
19	good	1035	1052	543802	good
20	green	1425	1009	544446	green
21	hard	1884	1034	544364	hard
22	he or she [third person singular]	262	934	544194	
23	heavy	1210	1014	544043	heavy
24	here	136	944	544180	here
25	high / tall	1265	968	543649	high
26	horizontal	2376	1001		
27	hot	1286	1062	544057	hot
28	hundred	1634	824		
30	inside	1606	715	543683	inside
31	knife	1352	549		
32	late	477	1019		
33	left	244	710	543964	
34	light (of weight)	1052	1052	544156	light (in weight)
35	long	1203	972	543684	long, tall
36	many	1198	987	543743	many
37	middle	1093	708	543845	
38	morning	1339	749	544148	morning
39	narrow	1267	977	543939	narrow
40	near	1942	975	544489	near
40	near	1942	975	544154	near
41	new	1231	1050	544174	new
42	nine	1483	805		
43	noon	12	750	543695	noon
44	old (of person)	2112	1058	544563	old
45	one	1493	797		
46	outside	762	714		
47	red	156	1007	544126	red
48	right	1019	711		543719
49	round	1395	990	543860	round
50	salty	1091	1076		
51	seven	1704	803		
52	sharp	1396	1020	544526	sharp
53	short	1645	973	544213	short
54	shy	487	1365	544328	
55	six	1703	802		
56	small	1246	965	544089	small
57	smooth	1234	1037	544120	smooth
58	soft	1856	1035	544144	soft
59	straight	1404	1003	544471	straight
60	ten	1515	806		
61	that	78	947	544551	that
62	the ant	587	365	544104	ant
63	the armpit	1886	92	543754	armpit
64	the bamboo	1927	389	543666	bamboo
65	the barley (tibetan or highland)	932	411	543906	barley
66	the belly	1251	96	543811	belly
67	the bird	937	326	544250	bird
68	the blood	946	129	544392	blood
69	the body hair (hair or fur)	189	266		
70	the bone	1394	133	544302	bone
71	the branch	1531	374	543784	branch
72	the breast (female)	1402	94	544401	breast
73	the child (young human)	1304	169	544390	child
74	the cloud	1489	7	544099	cloud
75	the daughter	1357	222	544522	daughter; brother's daughter
76	the dew	1977	15	543679	dew
77	the dog	2009	289	544005	dog
78	the dream	2374	699		
79	the dust	2	45		
80	the ear	1247	81	544320	ear
81	the earth (soil)	1228	40	544331	earth
82	the earthworm	2350	363		
83	the egg	744	450	544219	egg
84	the eye	1248	79	544082	eye
85	the father	1217	218	543656	father
86	the feather	1201	299	544323	feather (wing)
87	the fire	221	18	544138	fire
88	the fish	227	351	544177	fish
