rn	reflex	gloss	gfn	srcabbr	lgid	language	srcid
544586	yərto, yɛrto	on, in		SK-TBLUP	2110	Darma	950
544585	yən-mo	hear	v.	SK-TBLUP	2110	Darma	949
544584	yəm-ja-mo	take (an oath)	v.	SK-TBLUP	2110	Darma	948
544583	yəkəm	yoke		SK-TBLUP	2110	Darma	947
544582	yəb-mo	sow	v.	SK-TBLUP	2110	Darma	946
544581	yohe-nu	curd		SK-TBLUP	2110	Darma	945
544580	yo, tho	downward		SK-TBLUP	2110	Darma	944
544579	yi-mo	grate, grind	v.	SK-TBLUP	2110	Darma	943
544578	yɛr-mo	shout	v.	SK-TBLUP	2110	Darma	942
544577	yaŋti-thəm-thəmte	bank (of river)		SK-TBLUP	2110	Darma	941
544576	yaŋa-mo	curse	v.	SK-TBLUP	2110	Darma	940
544575	yana-basu	bad smell		SK-TBLUP	2110	Darma	939
544574	yana	bad		SK-TBLUP	2110	Darma	938
544573	yaŋ-ti	river		SK-TBLUP	2110	Darma	937
544572	yaŋ-ɕi-mo	prepare	v.	SK-TBLUP	2110	Darma	936
544571	yak-khər-ma	then		SK-TBLUP	2110	Darma	935
544570	ya-nu, khi-nu	dirty		SK-TBLUP	2110	Darma	934
544569	ya-mo	sleep	v.	SK-TBLUP	2110	Darma	933
544568	wəm-mo	spring out	v.	SK-TBLUP	2110	Darma	932
544567	wəlcu	lock		SK-TBLUP	2110	Darma	931
544566	wor-mo	scrub	v.	SK-TBLUP	2110	Darma	930
544565	wɔmna-mirci	pepper		SK-TBLUP	2110	Darma	929
544564	wɔm	bear		SK-TBLUP	2110	Darma	928
544563	wiru	old		SK-TBLUP	2110	Darma	927
544562	wi-mo	invite	v.	SK-TBLUP	2110	Darma	926
544561	wi-mo	call	v.	SK-TBLUP	2110	Darma	925
544560	wami	face		SK-TBLUP	2110	Darma	924
544559	wa-co pundo	bind (thread, join)	v.	SK-TBLUP	2110	Darma	923
544558	wa	lion		SK-TBLUP	2110	Darma	922
544557	vɔ-sɔŋ-ɕi-mo	fast (to)	v.	SK-TBLUP	2110	Darma	921
544556	uwi-nogəl, wi-nogəl	ice		SK-TBLUP	2110	Darma	920
544555	uwaŋ	blue		SK-TBLUP	2110	Darma	919
544554	usi-nimi	they (dual)		SK-TBLUP	2110	Darma	918
544553	usi-go, uigo	their		SK-TBLUP	2110	Darma	917
544552	usi-birmi, uibɛr	they (pl.)		SK-TBLUP	2110	Darma	916
544551	uo	that		SK-TBLUP	2110	Darma	915
544550	uŋ-mo, so-mo	look after	v.	SK-TBLUP	2110	Darma	914
544549	uma-wəna-su	till what time		SK-TBLUP	2110	Darma	913
544548	uləŋ	nearly		SK-TBLUP	2110	Darma	912
544547	ui-bɛrna	those		SK-TBLUP	2110	Darma	911
544546	udiri-mini	nowhere		SK-TBLUP	2110	Darma	910
544545	udɛ-wudɛ	where		SK-TBLUP	2110	Darma	909
544544	u-we	mountain		SK-TBLUP	2110	Darma	908
544543	tshɯr	waist		SK-TBLUP	2110	Darma	907
544542	tshɯm-ba	scissors		SK-TBLUP	2110	Darma	906
544541	tshɯm	hair		SK-TBLUP	2110	Darma	905
544540	tshər-nu	dry		SK-TBLUP	2110	Darma	904
544539	tshər-mo	spread (seed)	v.	SK-TBLUP	2110	Darma	903
544538	tshər-mo	dry	vt.	SK-TBLUP	2110	Darma	902
544537	tshɔka-ga-mo	feel	v.	SK-TBLUP	2110	Darma	901
544536	tshir-mo	milk	v.	SK-TBLUP	2110	Darma	900
544535	tshi	joint		SK-TBLUP	2110	Darma	899
544534	tshe-əŋ	wife' younger brother		SK-TBLUP	2110	Darma	898
544533	tshɛ-tso	wife' elder brother		SK-TBLUP	2110	Darma	897
544532	tshe-ɕi-mo	swing	v.	SK-TBLUP	2110	Darma	896
544531	tshɛ	fat (grease)		SK-TBLUP	2110	Darma	895
544530	tsɯr-ro	back-bone		SK-TBLUP	2110	Darma	894
544529	tsɯkuŋ-la	finger (little)		SK-TBLUP	2110	Darma	893
544528	tsɯ-mo	catch	v.	SK-TBLUP	2110	Darma	892
544527	tsər-pya	cock		SK-TBLUP	2110	Darma	891
544526	tsər-nu	sharp		SK-TBLUP	2110	Darma	890
544525	tsəŋ-mo	throw	v.	SK-TBLUP	2110	Darma	889
544524	tsəmɛ̃	husband's elder sister		SK-TBLUP	2110	Darma	888
544523	tsəmɛ̃	girl		SK-TBLUP	2110	Darma	887
544522	tsəmɛ̃	daughter; brother's daughter		SK-TBLUP	2110	Darma	886
544521	tsu-mu	post (pillar)		SK-TBLUP	2110	Darma	885
544520	tsu-mo	spread (tent)	v.	SK-TBLUP	2110	Darma	884
544519	tsok-ɕi-mo	attack	v.	SK-TBLUP	2110	Darma	883
544518	tsobuŋ-nu	full		SK-TBLUP	2110	Darma	882
544517	tsir, tsirr	loin		SK-TBLUP	2110	Darma	881
544516	tsi-ramo	memory		SK-TBLUP	2110	Darma	880
544515	tsi	grass		SK-TBLUP	2110	Darma	879
544514	tsɛr-bu, nunu	wife's younger sister's husband		SK-TBLUP	2110	Darma	878
544513	tsɛb-mo	suck	v.	SK-TBLUP	2110	Darma	877
544512	tsɛ-tso	husband's brother; son's wife's father; daughter's husband's father		SK-TBLUP	2110	Darma	876
544511	tse-mo	understand	v.	SK-TBLUP	2110	Darma	875
544510	tse-mo	ripe	v.	SK-TBLUP	2110	Darma	874
544509	tse-mo	bite (snake)	v.	SK-TBLUP	2110	Darma	873
544507	tsa-mo	play	v.	SK-TBLUP	2110	Darma	871
