ID	DOCULECT	CONCEPT	CONCEPTID	CONCEPTICON_ID	TBL_ID	GLOSS_IN_SOURCE	RGEN	TOKENS	IPA
1	Darma	I [first person singular]	29	1209	928	I (1sg pronoun)	543912	j i	ji, je
2	Darma	above	1	1741	731	above	543638	ə h i n d	əhind
3	Darma	all	2	98	962	all	543670	b i r _ m i	bir mi
4	Darma	bad	3	1292	1053	bad	544574	y a n a	yana
5	Darma	below, under	4	1485	732	behind, below	544220	p i ch a ŋ	pichaŋ
6	Darma	big	5	1202	964	big, large	544247	p u n u	punu, ɕən
7	Darma	cold (of temperature)	7	1287	1063	cold	544409	ɕ i n i	ɕini
8	Darma	dark	9	706	1013	dark	543873	h o m ə ŋ	ho-məŋ
9	Darma	dirty	10	1230	1086	dirty	544570	y a n u	ya-nu, khi-nu
10	Darma	dry	11	1398	1028	dry	544540	tsh ə r n u	tshər-nu
11	Darma	far	14	1406	974	far	543882	h w a n ə m	hwa-nəm
12	Darma	firewood	15	10	534	fire-wood	544403	ɕ i ŋ	ɕiŋ
13	Darma	full	18	1429	984	full	544518	ts o b u ŋ n u	tsobuŋ-nu
14	Darma	good	19	1035	1052	good	543802	dz ɛ n u	dzɛ-nu
15	Darma	green	20	1425	1009	green	544446	t i ŋ n u	tiŋ-nu
16	Darma	hard	21	1884	1034	hard	544364	s a r o	saro
17	Darma	he or she [third person singular]	22	262	934	he, she	544194	o	o, uo, wo
18	Darma	heavy	23	1210	1014	heavy	544043	l i n u	li-nu
19	Darma	here	24	136	944	here	544180	n ə d o	nədo, dɔkhuŋ
20	Darma	high / tall	25	1265	968	high	543649	a h e n u	ahe-nu
21	Darma	hot	27	1286	1062	hot	544057	l o ŋ n i	loŋ-ni
22	Darma	inside	30	1606	715	inside	543683	b u d r u	budru
23	Darma	left	33	244	710	side (left)	543964	k u ə n c ɛ n d u	kuən-cɛndu
24	Darma	light (of weight)	34	1052	1052	light (in weight)	544156	n ɛ ŋ n u	nɛŋ-nu
25	Darma	long	35	1203	972	long, tall	543684	b u ŋ n u	buŋ-nu
26	Darma	many	36	1198	987	many	543743	c u ŋ n a	cuŋ-na
27	Darma	middle	37	1093	708	middle size, in the middle, in between	543845	g u n d a	gunda
28	Darma	morning	38	1339	749	morning	544148	n a m ch ə ŋ n i	nam-chəŋ-ni
29	Darma	narrow	39	1267	977	narrow	543939	j ə r n u	jər-nu, ga-nu
30	Darma	near	40	1942	975	near	544489	th ɔ	thɔ, dɔ
31	Darma	near	40	1942	975	near	544154	n e n ə m	ne-nəm
32	Darma	new	41	1231	1050	new	544174	n u n u	nu-nu
33	Darma	noon	43	12	750	noon	543695	b ə n m u k c a	bən-muk-ca
34	Darma	old (of person)	44	2112	1058	old	544563	w i r u	wiru
35	Darma	red	47	156	1007	red	544126	m ə ŋ n u	məŋ-nu
36	Darma	round	49	1395	990	round	543860	g ə n d u	gəndu
37	Darma	sharp	52	1396	1020	sharp	544526	ts ə r n u	tsər-nu
38	Darma	short	53	1645	973	short	544213	p ɛ n u	pɛ-nu
39	Darma	shy	54	487	1365	ashamed of	544328	h r a m o	hra-mo
40	Darma	small	56	1246	965	small	544089	m i n u	mi-nu
41	Darma	smooth	57	1234	1037	smooth	544120	m ə t i r p e n u	mə-tir-penu
42	Darma	soft	58	1856	1035	soft	544144	n a n u	na-nu
43	Darma	straight	59	1404	1003	straight	544471	t ə ŋ l a n	təŋ-lan
44	Darma	that	61	78	947	that	544551	u o	uo
45	Darma	the ant	62	587	365	ant	544104	m ɔ k ɔ r o	mɔ-kɔro
46	Darma	the armpit	63	1886	92	armpit	543754	c ə p a	cəpa
47	Darma	the bamboo	64	1927	389	bamboo	543666	b e l a ɕ i ŋ	bela-ɕiŋ
48	Darma	the barley (tibetan or highland)	65	932	411	barley	543906	j ɛ	jɛ, tsəmã
49	Darma	the belly	66	1251	96	belly	543811	d ɯ n	dɯn, tshɯr
50	Darma	the bird	67	937	326	bird	544250	p y a	pya
51	Darma	the blood	68	946	129	blood	544392	ɕ i	ɕi
52	Darma	the bone	70	1394	133	bone	544302	r o	ro
