rn	reflex	gloss	gfn	srcabbr	lgid	language	srcid
121050	phãːdzyam	beside, next to	pp v.	BM-Hay	641	Hayu	84.86
121051	phat	be able (to do sth.), be well; cure	vr, vtt	BM-Hay	641	Hayu	84.86
121052	phan	knock down	vtt	BM-Hay	641	Hayu	84.38, 84.
121053	phap	dump, spill	vt, vtt	BM-Hay	641	Hayu	84.99, 84.
121054	phapu	bamboo mat, tied in a cylinder to store grain	n df.	BM-Hay	641	Hayu	84.99, 84.
121055	phaphari	vomit	n	BM-Hay	641	Hayu	84.99, 84.
121057	phamdaraŋ	drying-rack (for clothes)	n	BM-Hay	641	Hayu	84.99, 84.
121058	phar-ha	manner of carrying on the shoulder	adv	BM-Hay	641	Hayu	84.99, 84.
121059	phaːra	lightning, thunder	n	BM-Hay	641	Hayu	84.99, 84.
121060	phaʔlip	manner of carrying under the arm	adv	BM-Hay	641	Hayu	84.229
121061	phaxka	shoulder	n	BM-Hay	641	Hayu	84.229
121062	phi	crush, press down on	vtt	BM-Hay	641	Hayu	73.1.3
121063	phi(t)	come (on the same level)	vi	BM-Hay	641	Hayu	73.1.3
121064	phitiŋ	manner of expanding suddenly	adv	BM-Hay	641	Hayu	73.1.3
121065	phididiphit	manner of swelling up	adv	BM-Hay	641	Hayu	84.56
121066	phin	long, lengthen, stretch	vi, vr, vtt	BM-Hay	641	Hayu	84.99
121067	phip	squash, flatten, press down on	vt, vtt	BM-Hay	641	Hayu	84.99
121068	phɩ	rub, rub in, apply (oil)	vt, vtt	BM-Hay	641	Hayu	84.16, 84.
121069	phɩp	insert (esp. in one's belt), gird on	vt, vtt	BM-Hay	641	Hayu	84.228
121070	phuk	break, chip	vt, vtt	BM-Hay	641	Hayu	84.10, 84.
121071	phuka	ash	n	BM-Hay	641	Hayu	84.10, 84.
121072	phuŋ-ha	manner of swelling up	adv	BM-Hay	641	Hayu	84.10, 84.
121073	phut	rot (of grain)	be v.	BM-Hay	641	Hayu	84.10, 84.
121074	phup	press together, push in (a stopper), stitch or tie on a cover	vtt	BM-Hay	641	Hayu	84.10, 84.
121075	phum	tree, foot of a tree beginning	n	BM-Hay	641	Hayu	84.10, 84.
121076	phumda	stump (of a tree), shrub	n	BM-Hay	641	Hayu	84.189
121078	phuʔluŋ	fireplace	n	BM-Hay	641	Hayu	84.31
121079	phʊk	pop, smack; roast grains	vt	BM-Hay	641	Hayu	84.31
121080	phʊ(t)	fell (a tree)	vt, vtt	BM-Hay	641	Hayu	84.31
121081	phek	cause to enter, to take so. in	vtt	BM-Hay	641	Hayu	84.31
121082	phektsho	an inedible frog	n	BM-Hay	641	Hayu	84.31
121083	phekteŋ	thigh	n	BM-Hay	641	Hayu	84.31
121084	pheŋ	pay	vt, vtt	BM-Hay	641	Hayu	84.31
121086	phet	divide up / serve to all present [cs. of suffice]	vtt	BM-Hay	641	Hayu	84.78
121087	phen	if, then [counterfactual]	part	BM-Hay	641	Hayu	84.78
121088	phemphep	manner of eating, copiously	adv	BM-Hay	641	Hayu	84.78
121090	phok	scratch	vt, vr	BM-Hay	641	Hayu	84.78
121091	phok	give birth to, lay (an egg)	vt, vr	BM-Hay	641	Hayu	84.101
121092	phoku	cave	n	BM-Hay	641	Hayu	84.101
121093	phoku	plant	n df.	BM-Hay	641	Hayu	84.101
121094	phoxtu	land leech	n df.	BM-Hay	641	Hayu	84.101
121095	phon	cause to fly, to blow away	vtt	BM-Hay	641	Hayu	84.8
121096	pholo	bamboo	n	BM-Hay	641	Hayu	84.246
121097	phloŋŋa	pow!, manner of striking or chopping	adv	BM-Hay	641	Hayu	84.246
121099	ba/bo	fetch, bring	vt, vtt	BM-Hay	641	Hayu	84.246
121100	baŋ	tie (e.g. bundles of grass)	v	BM-Hay	641	Hayu	84.246
121101	baŋmi	young woman	n	BM-Hay	641	Hayu	84.246
121102	baŋtso	young man	n	BM-Hay	641	Hayu	84.246
121103	baŋ◦dza-ha	stupid	adj (?)	BM-Hay	641	Hayu	84.66
121104	bagalextso	clan name	pn	BM-Hay	641	Hayu	84.66
121105	badzan	earthen pot for roasting	n	BM-Hay	641	Hayu	84.189
121106	bat	appear	vi	BM-Hay	641	Hayu	84.189
121107	ban	fall over, tumble down	vi	BM-Hay	641	Hayu	84.189
121108	ban	mix	vtt	BM-Hay	641	Hayu	84.189
121109	bap	spill, turn over (of a container or boat)	be v.	BM-Hay	641	Hayu	84.72, 84.
