NUMBER	ENGLISH	CONCEPTICON_ID	TBL_ID	SRCID	SRCGLOSS
#<<<
29	I [first person singular]	1209	928	121975	I (pron)
29	I [first person singular]	1209	928	122277	firefly (an, i)
#>>>
1	above	1741	731	122881	above, up (adv)
2	all	98	962		???
3	bad	1292	1053		???
#<<<
4	below, under	1485	732	122278	under, below (n, pp)
4	below, under	1485	732	122879	below (adv)
#>>>
5	big	1202	964	122043	big (adj)
6	black	163	1005	121786	black (adj)
7	cold (of temperature)	1287	1063	122157	cold (n)
8	correct (right)	1725	1045	122159	right (side) (adj)
9	dark	706	1013	122222	at night (adv)
10	dirty	1230	1086	122077	infested, dirty (be v.)
#<<<
11	dry	1398	1028	122280	dry (vi)
11	dry	1398	1028	122840	dry (vi)
11	dry	1398	1028	122887	dry, spread to dry (vt)
#>>>
12	early	672	1018		???
13	eight	1705	804	121723	eight (num)
14	far	1406	974	121948	uphill, upstairs, far (adv)
15	firewood	10	534		???
16	five	493	801	122041	five (num)
17	four	1500	800	122703	four (num)
18	full	1429	984		???
#<<<
19	good	1035	1052	122642	well, thoroughly (adv)
19	good	1035	1052	122641	good-looking, good (be v.)
#>>>
20	green	1425	1009	121945	green (adj)
21	hard	1884	1034		???
#<<<
22	he or she [third person singular]	262	934	121700	he, she (pron v.)
22	he or she [third person singular]	262	934	121687	this, he, she (demon)
22	he or she [third person singular]	262	934	121703	he [ERGATIVE] (pron)
#>>>
23	heavy	1210	1014		???
#<<<
24	here	136	944	121685	this way, here (adv)
24	here	136	944	121691	here, towards here (adv)
24	here	136	944	121679	here (adv)
#>>>
25	high / tall	1265	968		???
26	horizontal	2376	1001		???
#<<<
27	hot	1286	1062	122484	heat (n)
27	hot	1286	1062	122141	hot, warm (feeling) (be v.)
27	hot	1286	1062	122116	warm, cosy (adj)
#>>>
28	hundred	1634	824		???
30	inside	1606	715	122015	inside (n)
31	knife	1352	549	122472	knife (n)
32	late	477	1019		???
#<<<
33	left	244	710	121985	hand (n)
33	left	244	710	122371	left-hand
#>>>
34	light (of weight)	1052	1052		???
35	long	1203	972	122173	long (be v.)
36	many	1198	987		???
#<<<
37	middle	1093	708	122736	middle, between (n loc)
37	middle	1093	708	122750	midst, middle (n loc)
#>>>
38	morning	1339	749		???
#<<<
39	narrow	1267	977	121922	close, lock up (vt)
39	narrow	1267	977	122762	lock / close (door or window) (v)
39	narrow	1267	977	122103	close (vt)
#>>>
#<<<
40	near	1942	975	121922	close, lock up (vt)
40	near	1942	975	122410	next to, near (n, pp)
40	near	1942	975	122762	lock / close (door or window) (v)
40	near	1942	975	122103	close (vt)
#>>>
41	new	1231	1050	122314	new (adj)
42	nine	1483	805	122017	nine (num)
43	noon	12	750		???
#<<<
44	old (of person)	2112	1058	122030	elder (e.g. a-ŋaːtsa hopo 'my elder/eldest brother' (n)
44	old (of person)	2112	1058	122582	old, old age (adj)
44	old (of person)	2112	1058	121748	brother, elder; elder sibling (n)
#>>>
45	one	1493	797	121810	one (num)
#<<<
46	outside	762	714	121766	outside (adv)
46	outside	762	714	122213	outside (n, pp)
#>>>
47	red	156	1007	122722	red (adj)
#<<<
48	right	1019	711	121985	hand (n)
48	right	1019	711	122159	right (side) (adj)
#>>>
49	round	1395	990		???
50	salty	1091	1076	121737	salt (n)
51	seven	1704	803	122082	seven (num)
52	sharp	1396	1020	122867	sharp (of a blade) (be v.)
53	short	1645	973		???
54	shy	487	1365		???
55	six	1703	802	122680	six (num)
#<<<
