RANK	CONCEPT	Mikir
1	four	phli, phili[...]	286
2	three	
3	the dream	mang[...]	259
4	the name	men[...]	347
5	the louse	
6	the fish	(lang a-) ok	280
7	the smoke	
8	two	
9	the liver	
10	the moon	
11	the dog	methan	258
12	the ear	
13	the fire	me	280
14	the sun	
15	the tail	
16	the water	
17	to kill	
18	heavy	ardi, ardik	301
19	one	
20	the meat	
21	the snake	
22	to cry (weep)	(=weep) cheru, kin[...]	242
23	to stand	
24	the nail (fingernail or claw)	[...](finger--,toe--) chimi[...]	347
25	the father	po	276
26	light (of weight)	
27	the mother	
28	the tongue	
29	the tooth (front)	
30	the heart	ingthin, vibong, ingsi, ning, ne	301
31	the fruit	athe, ale, mu	287
32	to give	
33	the rope	
34	the sky	
35	to sleep	
36	the shoulder	
37	black	ik(-kui, -sip, -vu); [...]	207
38	the head	phu, akethe, kilit[...]	300
39	the star	
40	white	
41	to dig	dug, petuk, rok	252
42	the bird	vo; (-- -cage) voum; -- -net) phamsek.	206
43	to come	vang(phli)[...]	230
44	high / tall	ingtui, kiding, chongding	302
45	the frog	chongho(loso)[...]	287
46	the stone (a piece of)	
47	the flower	mir, kangthu, angphar	282
48	the leaf	
49	the seed	
50	the son	
51	the wind	
52	sharp	kere(kon)	405
53	the cloud	inghun, niop	227
54	the mouse or rat	
55	to buy	nam	216
56	who	
57	long	
58	the ant	
59	big	
60	wet	
61	left	
62	the foot	keng, kengri[...]	283
63	the tiger	
64	cold (of temperature)	kechung, kangsam; (-- wheather) ningkreng, chungjing[...]	229
65	soft	kangduk	413
66	to see	
67	right	
68	far	helo (-ving, -kon)[...]	276
69	the hair (of the head)	chu, jeng, chujeng[...]	297
70	the mountain	
71	hard	ingtang	299
72	the lip (the lips)	
73	to think (reflect)	
74	the daughter	sopi[...]	245
75	the root	
76	good	
77	to walk	
78	morning	
79	small	so, bihek, akebi, binci, adiso, ajengso, asapnat, thethe	412
80	to scratch	
81	dry	kreng(hak)[...]	261
82	hot	so(dak), phangok(sui), soluk	305
83	tomorrow	
84	yesterday	
85	today	
86	to sing	
87	five	phongo, phono, pho	280
88	I [first person singular]	
89	the pig	
90	thou [second person singular]	
91	the salt	ingti	398
92	to steal	inghu	420
93	new	akemi	349
94	the house	hem, don	305
95	the lung	
96	the rain	
97	the road	
98	the year	
99	the bamboo	kepho [...]	199
100	to shoot (an arrow)	
101	to vomit	
102	the knee	
103	red	
104	the earth (soil)	
105	yellow	
106	green	
107	the hail	herei	297
108	inside	
109	near	tebook(het), adung, along, pang[...]	348
110	the dew	are [...]	252
111	the grass	
112	the fog	inghun, hunmelan	283
113	the skin	
114	to wipe	
115	the river	
116	to count	lakha	238
117	old (of person)	
118	to reside (live)	
119	straight	kekeng, kengdet	423
120	to hear	ju, arju(thek)	301
121	late	
122	many	
123	the woman	
124	to hunt	o kung, sikar puri	306
125	to hide (conceal)	tu, patu	302
126	to spit	
127	to throw	
128	bad	
129	the spider	
130	the mud	
131	to die	thi(-det, -lot, -tang)	252
132	the body hair (hair or fur)	[fur] angmi	288
133	the needle (for sewing)	ingprim	348
134	the tree	
135	the sand	
136	the flea	chikli	281
137	to fly (move through air)	ingjar(veng), patelang	283
138	the wing	
139	ten	
140	the thunder	
141	to be alive	
142	outside	
143	short	thihek[...]	407
144	to chew	heje, om[...]	224
145	round	
146	the front (front side)	aphrang, angno, panu, thengno, hong[...]	287
147	to pull	
148	the man (male human)	
149	to burn [intransitive]	(v.) me kecho, me phrin, me kekei; (-- up) phrindut; (--dead) phlong. 	215
150	to push	
151	the stick	
152	to fight	kachechok, ron kachepi, ron, chervo, kachethu	279
153	to play	
154	six	throk	410
155	nine	sirkep	349
156	the nose	nokan	350
157	to eat	
158	to laugh	
159	to lick	
160	to drink	jun[...]	260
161	full	pleng(set), teng[...]	287
162	the feather	arveng	277
163	the armpit	
164	thick	
