rn	reflex	gloss	gfn	srcabbr	lgid	language	srcid
499523	ak◦kr̂aŋ	shoulder	n	RR-Yamphu	1873	Yamphu	524.07
499524	ak◦khan-lok◦ma	lump of earth	n	RR-Yamphu	1873	Yamphu	524.09
499525	ak◦khra◦bhu	tree (Pilea wightii)	n	RR-Yamphu	1873	Yamphu	524.11
499526	ak◦khu◦ma	earth, soil, ground	n	RR-Yamphu	1873	Yamphu	524.12
499527	ak◦ma	pig	n	RR-Yamphu	1873	Yamphu	524.13
499528	ak◦ma	weave with straw or thread	v	RR-Yamphu	1873	Yamphu	524.15
499529	ak◦ma◦sa	pork	n	RR-Yamphu	1873	Yamphu	524.16
499530	ak◦pa◦sa	piglet, small pig	n	RR-Yamphu	1873	Yamphu	524.18
499531	ak◦yaʔ◦wa	buttocks	n	RR-Yamphu	1873	Yamphu	525.03
499532	am◦li	finger	n	RR-Yamphu	1873	Yamphu	525.06
499533	a◦ŋa	father's younger brother	n	RR-Yamphu	1873	Yamphu	525.11
499534	aŋ◦ga◦lup◦ma	reddish species of grasshopper (...)	n	RR-Yamphu	1873	Yamphu	525.13
499535	aŋ◦gem◦ba	species of bird	n	RR-Yamphu	1873	Yamphu	525.14
499536	aŋ◦grok◦ca	fruit of Mucuna monosperma or Mucuna macrocarpa	n	RR-Yamphu	1873	Yamphu	525.15
499537	aŋ◦ghu	kind of chestnut (...)	n	RR-Yamphu	1873	Yamphu	525.16
499538	aŋ◦ghu	ankle, knee, or elbow joints	n	RR-Yamphu	1873	Yamphu	525.17
499539	aŋ◦ji	eight (OBSOLETE)	num	RR-Yamphu	1873	Yamphu	525.18
499540	aŋ◦ma	chop up, break/cut to pieces; to dissolve sth.	v	RR-Yamphu	1873	Yamphu	525.19
499541	ap◦ma	embroider; to fasten buttons, to button	v	RR-Yamphu	1873	Yamphu	526.02
499542	ap◦ma	shoot (e.g. arrows, bullets)	v	RR-Yamphu	1873	Yamphu	526.03
499543	a◦raʔ◦wa	crow, raven	n	RR-Yamphu	1873	Yamphu	526.04
499544	a◦ʔi◦dum◦ba	species of insect which multiplies itself in dung	n	RR-Yamphu	1873	Yamphu	526.11
499545	aʔ◦wa	leaf of a plant	n	RR-Yamphu	1873	Yamphu	526.12
499546	a•◦bhu	bamboo (or shaft/patch of bamboo)	n	RR-Yamphu	1873	Yamphu	526.13
499547	a•◦mi	young bamboo shoots	n	RR-Yamphu	1873	Yamphu	526.16
499548	æ◦dæp◦pa	small	adj	RR-Yamphu	1873	Yamphu	526.19
499549	æk◦ma	blossom, to flower	v	RR-Yamphu	1873	Yamphu	527.01
