rn	reflex	gloss	gfn	srcabbr	lgid	language	srcid
150005	lhi◦thena	seventy		GEM-CNL	252	Angami (Khonoma)	116
164961	phi◦mhi	ankle		GEM-CNL	252	Angami (Khonoma)	
164989	bu	arm		GEM-CNL	252	Angami (Khonoma)	
165021	che	back (body)		GEM-CNL	252	Angami (Khonoma)	
165057	tama	beard		GEM-CNL	252	Angami (Khonoma)	
165080	va	belly		GEM-CNL	252	Angami (Khonoma)	
165117	ze	bladder		GEM-CNL	252	Angami (Khonoma)	
165133	teza	blood		GEM-CNL	252	Angami (Khonoma)	
165170	mo	body		GEM-CNL	252	Angami (Khonoma)	
165206	ru	bone		GEM-CNL	252	Angami (Khonoma)	
165241	khru	brain		GEM-CNL	252	Angami (Khonoma)	
165260	nu	breast		GEM-CNL	252	Angami (Khonoma)	
165291	phi◦tsa	calf (of leg)		GEM-CNL	252	Angami (Khonoma)	
165317	dze	cheek		GEM-CNL	252	Angami (Khonoma)	
165350	ka	chest		GEM-CNL	252	Angami (Khonoma)	
165381	makwü	chin		GEM-CNL	252	Angami (Khonoma)	
165405	nie	ear		GEM-CNL	252	Angami (Khonoma)	
165443	bu◦thu	elbow		GEM-CNL	252	Angami (Khonoma)	
165469	mhi	eye		GEM-CNL	252	Angami (Khonoma)	
165507	ze	face		GEM-CNL	252	Angami (Khonoma)	
165559	parama	feather		GEM-CNL	252	Angami (Khonoma)	
165588	bicheno	finger		GEM-CNL	252	Angami (Khonoma)	
165655	phi◦zhe	foot		GEM-CNL	252	Angami (Khonoma)	
165693	tikha	forehead		GEM-CNL	252	Angami (Khonoma)	
165713	tha	hair (of head)		GEM-CNL	252	Angami (Khonoma)	
165751	ma	hair (of body)		GEM-CNL	252	Angami (Khonoma)	
165775	dze	hand		GEM-CNL	252	Angami (Khonoma)	
165813	tsu	head		GEM-CNL	252	Angami (Khonoma)	
165851	melu	heart		GEM-CNL	252	Angami (Khonoma)	
165902	li◦ge	hip		GEM-CNL	252	Angami (Khonoma)	
165925	mu	hoof		GEM-CNL	252	Angami (Khonoma)	
165946	ka	horn		GEM-CNL	252	Angami (Khonoma)	
165975	ra	intestines		GEM-CNL	252	Angami (Khonoma)	
166016	me◦che	jaw		GEM-CNL	252	Angami (Khonoma)	
166034	meche	kidney		GEM-CNL	252	Angami (Khonoma)	
166050	khu◦dza	knee		GEM-CNL	252	Angami (Khonoma)	
166120	phi	leg		GEM-CNL	252	Angami (Khonoma)	
166157	sho	lip		GEM-CNL	252	Angami (Khonoma)	
166184	se	liver		GEM-CNL	252	Angami (Khonoma)	
166201	phe	lungs		GEM-CNL	252	Angami (Khonoma)	
166241	u◦me	mouth		GEM-CNL	252	Angami (Khonoma)	
166277	lo	navel		GEM-CNL	252	Angami (Khonoma)	
166303	vo	neck		GEM-CNL	252	Angami (Khonoma)	
166340	nhi◦cha	nose		GEM-CNL	252	Angami (Khonoma)	
