rn	reflex	gloss	gfn	srcabbr	lgid	language	srcid
80928	sṽ̩³¹ tsʰv̩³¹	abscess / ulcer / open wound		ZYS-Bai	309	Bai (Jianchuan)	12.6
80815	tsæ̱̃⁴² tsɿ³³	age spot / liver spot		ZYS-Bai	309	Bai (Jianchuan)	8.2.3.6
80603	?	alae nasi (nose flaps)		ZYS-Bai	309	Bai (Jianchuan)	3.5.3
80547	kv̱ˌ⁴²	alive / be living		ZYS-Bai	309	Bai (Jianchuan)	1.12
80546	tsɯ³³	alive / be living		ZYS-Bai	309	Bai (Jianchuan)	1.12
80545	xæ̃⁵⁵	alive / be living		ZYS-Bai	309	Bai (Jianchuan)	1.12
80898	?	amniotic fluid		ZYS-Bai	309	Bai (Jianchuan)	10.4.10
80897	?	amniotic sac / bag of waters		ZYS-Bai	309	Bai (Jianchuan)	10.4.9
80756	ko̱⁴⁴ tse̱⁴⁴ tsɿ³³	ankle		ZYS-Bai	309	Bai (Jianchuan)	6.2.5
80757	ko̱⁴⁴ tse̱⁴⁴ tsɿ³³ kʰo³³	ankle bone		ZYS-Bai	309	Bai (Jianchuan)	6.2.5.1
80574	kv̱ˌ⁴⁴	antler		ZYS-Bai	309	Bai (Jianchuan)	2.11
80870	kʰæ⁵⁵ fv̩³³ ti⁵⁵ ʔuĩ³³	anus / rectum		ZYS-Bai	309	Bai (Jianchuan)	9.12
80869	ma̱⁴² tsʰã̱⁴²	appendix		ZYS-Bai	309	Bai (Jianchuan)	9.11.3
80761	ko̱⁴⁴ to̱⁴² pe̱⁴²	arch		ZYS-Bai	309	Bai (Jianchuan)	6.2.6.3
80728	sɯ³³ kua̱⁴⁴ tsɿ³³	arm		ZYS-Bai	309	Bai (Jianchuan)	6.1
80732	sɯ³³ pã³¹ tsɿ³³ kæ̱²¹	arm muscles / biceps		ZYS-Bai	309	Bai (Jianchuan)	6.1.3
80560	ɕæ̃⁵⁵ ɕæ̃⁵⁵	awake / be awake		ZYS-Bai	309	Bai (Jianchuan)	1.17
80559	ɕæ̃⁵⁵	awake / be awake		ZYS-Bai	309	Bai (Jianchuan)	1.17
80663	ɯ̃³³ pa̱⁴² tsɿ³³ pa̱⁴⁴	baby tooth		ZYS-Bai	309	Bai (Jianchuan)	3.10.5
80706	to̱⁴² ko̱⁴² tɕi⁵⁵	back		ZYS-Bai	309	Bai (Jianchuan)	5.5
80740	sɯ³³ to̱⁴² pe̱⁴²	back of hand		ZYS-Bai	309	Bai (Jianchuan)	6.1.7.2
80762	ko̱⁴⁴ tse̱⁴⁴ tsɿ³³	ball of the foot		ZYS-Bai	309	Bai (Jianchuan)	6.2.6.4
80655	tɕui³³ kæ⁵⁵ kʰo³³	beak / bill		ZYS-Bai	309	Bai (Jianchuan)	3.9.3
80795	ɣu̱²¹	beard		ZYS-Bai	309	Bai (Jianchuan)	8.1.2.1
80715	jõ̱²¹ fv̱ˌ⁴⁴ te̱⁴⁴	navel		ZYS-Bai	309	Bai (Jianchuan)	5.7.1
80714	fv̱ˌ⁴⁴ kʰo³³	belly / abdomen (external bulge)		ZYS-Bai	309	Bai (Jianchuan)	5.7
80779	ko̱⁴⁴ sɯ³³ tɯ̱²¹ mo³³	big toe		ZYS-Bai	309	Bai (Jianchuan)	7.2.1
80856	tã³³ ɕui³³	bile		ZYS-Bai	309	Bai (Jianchuan)	9.5.1
80666	kʰã⁵⁵	bite	v.	ZYS-Bai	309	Bai (Jianchuan)	3.10.7
80665	ʔã̱⁴⁴	bite	v.	ZYS-Bai	309	Bai (Jianchuan)	3.10.7
80837	kɯ̱²¹ sua̱⁴⁴	bleed	v.	ZYS-Bai	309	Bai (Jianchuan)	8.7.2
80809	xɯ̱⁴⁴ tĩ³³ tsɿ³³	blemish on skin		ZYS-Bai	309	Bai (Jianchuan)	8.2.3
80599	ŋuĩ³³ tæ⁵⁵	blind		ZYS-Bai	309	Bai (Jianchuan)	3.4.10
80598	tæ⁵⁵	blind		ZYS-Bai	309	Bai (Jianchuan)	3.4.10
80590	tsua̱⁴⁴ ŋuĩ³³	blink	v.	ZYS-Bai	309	Bai (Jianchuan)	3.4.5
80589	tsua̱⁴⁴	blink	v.	ZYS-Bai	309	Bai (Jianchuan)	3.4.5
80835	sua̱⁴⁴	blood		ZYS-Bai	309	Bai (Jianchuan)	8.7
80836	sua̱⁴⁴ mæ̱⁴⁴	blood vessel / vein / artery		ZYS-Bai	309	Bai (Jianchuan)	8.7.1
80848	pʰɯ⁵⁵	blow (mouth)		ZYS-Bai	309	Bai (Jianchuan)	9.2.3
80609	xɯ̃³³ «pi̱²¹ ɕĩ̱²¹»	blow nose	v.	ZYS-Bai	309	Bai (Jianchuan)	3.5.8
80531	tsʰæ̃⁵⁵ kɯ³¹ «ne̱²¹»	body		ZYS-Bai	309	Bai (Jianchuan)	1.1
80530	tsʰæ̃⁵⁵ kɯ³¹	body (general)		ZYS-Bai	309	Bai (Jianchuan)	1.0
80798	kʰuã³³ ma̱²¹ tsɿ³³	body hair		ZYS-Bai	309	Bai (Jianchuan)	8.1.3
80828	kua̱⁴⁴ tɯ̱²¹	bone		ZYS-Bai	309	Bai (Jianchuan)	8.4
80842	nõ³³ kʰv̩³¹	brain		ZYS-Bai	309	Bai (Jianchuan)	9.1
80568	nõ³³ «kʰv̩³¹»	brain		ZYS-Bai	309	Bai (Jianchuan)	2.5
80696	pa̱⁴² tɕi̱⁴⁴	breast		ZYS-Bai	309	Bai (Jianchuan)	5.4
80846	tsʰṽ̩³¹ tɕʰi̱⁴⁴	breathe	v.	ZYS-Bai	309	Bai (Jianchuan)	9.2.1
80914	se̱⁴⁴ ɯ⁵⁵ tɯ⁵⁵	burp / belch		ZYS-Bai	309	Bai (Jianchuan)	11.6
80723	kʰæ⁵⁵ fv̩³³	buttocks		ZYS-Bai	309	Bai (Jianchuan)	5.10.1
80755	tɕo̱²¹ pa̱⁴² tsɿ³³	calf		ZYS-Bai	309	Bai (Jianchuan)	6.2.4
80555	ɕi³³ kʰuã³³ ɕi³³ ʔã⁵⁵n˜	carcass / dead animal		ZYS-Bai	309	Bai (Jianchuan)	1.15
80553	ɕi³³ lo̱²¹ɕi³³ pã̱⁴²	carcass / dead animal		ZYS-Bai	309	Bai (Jianchuan)	1.15
80552	ɕi³³ ŋɯ̱̃²¹ ɕi³³ mæ³³	carcass / dead animal		ZYS-Bai	309	Bai (Jianchuan)	1.15
80832	tsʰui⁵⁵ ku35 tsɿ³³	cartilage / grist		ZYS-Bai	309	Bai (Jianchuan)	8.4.4
80886	sæ̱̃⁴⁴	castrate	v.	ZYS-Bai	309	Bai (Jianchuan)	10.3.9
80903	ji⁵⁵ pao⁵⁵	caul		ZYS-Bai	309	Bai (Jianchuan)	10.4.13
80902	ɯ̃³³ kʰo³³	caul		ZYS-Bai	309	Bai (Jianchuan)	10.4.13
80668	tɕui³³ pa̱⁴² «fv̩³³»	cheek		ZYS-Bai	309	Bai (Jianchuan)	3.11
80669	mĩ̱⁴² tɯ̃⁵⁵ kʰui⁵⁵	cheekbone		ZYS-Bai	309	Bai (Jianchuan)	3.11.1
80688	ɕĩ⁵⁵ ko⁵⁵ tɕi³³	chest		ZYS-Bai	309	Bai (Jianchuan)	5.1
80800	kʰuã³³ ma̱²¹ tsɿ³³	body hair		ZYS-Bai	309	Bai (Jianchuan)	8.1.3.2
80667	tso̱⁴²	chew	v.	ZYS-Bai	309	Bai (Jianchuan)	3.10.8
80788	tsua³¹ tsɿ³³	claw		ZYS-Bai	309	Bai (Jianchuan)	7.4.3
80916	ka̱⁴⁴ kʰo⁵⁵ tɕʰi̱⁴⁴	clear throat		ZYS-Bai	309	Bai (Jianchuan)	11.8
80891	pi̱⁴⁴ ɕĩ⁵⁵ tɯ̱²¹	clitoris		ZYS-Bai	309	Bai (Jianchuan)	10.4.4
80692	ʔõ̱²¹ kɯ⁵⁵ ne̱²¹	collar bone / clavicle		ZYS-Bai	309	Bai (Jianchuan)	5.2
80701	ɕĩ⁵⁵ pa̱⁴² tsæ̱⁴⁴	colostrum		ZYS-Bai	309	Bai (Jianchuan)	5.4.4
80572	piɯ̱²¹ «ne̱²¹»	comb (of rooster)		ZYS-Bai	309	Bai (Jianchuan)	2.9
80875	jæ̱̃⁴⁴	copulate	v.	ZYS-Bai	309	Bai (Jianchuan)	10.2
80550	jĩ̱²¹ tsʰɔ̃⁵⁵	corpse / dead body		ZYS-Bai	309	Bai (Jianchuan)	1.14
80909	kʰo⁵⁵ sɯ̱̃⁴²	cough		ZYS-Bai	309	Bai (Jianchuan)	11.1
80793	tɯ̱²¹ ma⁵⁵ kʰv̩³¹	cowlick		ZYS-Bai	309	Bai (Jianchuan)	8.1.1.1
80768	kʰe̱⁴⁴ ko̱⁴⁴	crippled / lame		ZYS-Bai	309	Bai (Jianchuan)	6.2.7
80720	kʰuæ³¹ kã̱⁴²	crotch / fork of legs		ZYS-Bai	309	Bai (Jianchuan)	5.9
80595	kʰo̱⁴⁴	cry / weep	v.	ZYS-Bai	309	Bai (Jianchuan)	3.4.8
80594	kv̩⁵⁵	cry / weep	v.	ZYS-Bai	309	Bai (Jianchuan)	3.4.8
80932	a³¹ tɕa̱⁴²	cubit (elbow to fingers)		ZYS-Bai	309	Bai (Jianchuan)	13.3
80931	tɕa̱⁴²	cubit (elbow to fingers)		ZYS-Bai	309	Bai (Jianchuan)	13.3
80814	tʰɯ³¹ kʰo³³	cyst		ZYS-Bai	309	Bai (Jianchuan)	8.2.3.5
80620	kṽ̩⁵⁵	deaf		ZYS-Bai	309	Bai (Jianchuan)	3.6.8
80873	tʰṽ̩⁵⁵ fv̱ˌ⁴⁴	defecate	v.	ZYS-Bai	309	Bai (Jianchuan)	9.12.3
80549	ɕi³³ la̱⁴²	die / be dead		ZYS-Bai	309	Bai (Jianchuan)	1.13
80548	ɕi³³	die / be dead		ZYS-Bai	309	Bai (Jianchuan)	1.13
80770	sɯ³³ tɯ̱²¹ ko̱⁴⁴ tɯ̱²¹	digit		ZYS-Bai	309	Bai (Jianchuan)	7.0
80562	tsu⁵⁵ mɯ̃³¹ ŋṽ̱ˌ⁴²	dream	v.	ZYS-Bai	309	Bai (Jianchuan)	1.18
80561	mɯ̃³¹	dream	v.	ZYS-Bai	309	Bai (Jianchuan)	1.18
80630	ʔɯ̃³³	drink	v.	ZYS-Bai	309	Bai (Jianchuan)	3.7.7
