NUMBER	GLOSS
0001	sky (noun)
0002	sun (noun)
0003	light (noun)
0004	moon (noun)
0005	star (noun)
0006	weather (noun)
0007	cloud (noun)
0008	thunder (noun)
0009	wind (noun)
0010	rain (noun)
0011	rainbow (noun)
0012	snow (noun)
0013	hail (noun)
0014	frost (noun)
0015	dew (noun)
0016	fog (noun)
0017	ice (noun)
0018	fire (noun)
0019	smoke (noun)
0020	air; breath (noun)
0021	steam (noun)
0022	earth / ground (noun)
0023	hill / mountain (noun)
0024	hillside / mountain slope (noun)
0025	valley (noun)
0026	cliff (noun)
0027	rock (noun)
0028	cave (mountain) (noun)
0029	cave / hole (noun)
0030	river (noun)
0031	lake (noun)
0032	sea (noun)
0033	pond (noun)
0034	ditch / gully (noun)
0035	well (noun)
0036	pit (noun)
0037	dike / embankment (noun)
0038	road (noun)
0039	flatland (noun)
0040	soil / earth (noun)
0041	fields (wheat etc.) (noun)
0042	paddy fields (noun)
0043	stone (noun)
0044	sand (noun)
0045	dust (noun)
0046	mud (noun)
0047	water (noun)
0048	wave (noun)
0049	spring (water) (noun)
0050	forest (noun)
0051	gold (noun)
0052	silver (noun)
0053	copper (noun)
0054	iron (noun)
0055	tin (noun)
0056	rust (noun)
0057	aluminum (noun)
0058	coal (noun)
0059	charcoal (noun)
0060	sulphur (noun)
0061	salt (noun)
0062	alkali / soda (noun)
0063	plant ash (noun)
0064	place (noun)
0065	street (noun)
0066	village (noun)
0067	household (noun)
0068	prison (noun)
0069	temple (noun)
0070	bridge (noun)
0071	tomb (noun)
0072	tower / pagoda (noun)
0073	body (noun)
0074	head (noun)
0075	hair (noun)
0076	braid / plait (noun)
0077	forehead (noun)
0078	eyebrow (noun)
0079	eye (noun)
0080	nose (noun)
0081	ear (noun)
0082	face (noun)
0083	cheek (noun)
0084	mouth (noun)
0085	lip (noun)
0086	beard / moustache / goatee (noun)
0087	beard (noun)
0088	chin (noun)
0089	neck (noun)
0090	shoulder (noun)
0091	back (noun)
0092	armpit (noun)
0093	chest (noun)
0094	breast (noun)
0095	milk (noun)
0096	belly (noun)
0097	navel (noun)
0098	waist (noun)
0099	buttocks (noun)
0100	thigh (noun)
0101	knee (noun)
0102	calf (noun)
0103	foot (noun)
0104	ankle (noun)
0105	arm (noun)
0106	elbow (noun)
0107	hand (noun)
0108	wrist (noun)
0109	finger (noun)
0110	thumb (noun)
0111	finger (middle) (noun)
0112	finger (little) (noun)
0113	nail (noun)
0114	fist (noun)
0115	anus (noun)
0116	genitals (male) (noun)
0117	testicle (noun)
0118	genitals (female) (noun)
0119	placenta (noun)
0120	skin (noun)
0121	wrinkle (noun)
0122	mole (noun)
0123	sore / boil (noun)
0124	wound (noun)
0125	scar (noun)
0126	measles (noun)
0127	tinea (noun)
0128	flesh / muscle (noun)
0129	blood (noun)
0130	tendon / sinew (noun)
0131	pulse (wrist) (noun)
0132	brains (noun)
0133	bone (noun)
0134	spine / backbone (noun)
0135	rib (noun)
0136	joint (noun)
0137	tooth (noun)
0138	gum (noun)
0139	tongue (noun)
0140	uvula (noun)
0141	throat (noun)
0142	Adam's apple (noun)
0143	lung (noun)
0144	heart (noun)
0145	liver (noun)
0146	kidney (noun)
0147	gall bladder (noun)
0148	stomach (noun)
0149	intestine (noun)
0150	bladder (noun)
0151	excrement (noun)
0152	urine (noun)
0153	fart (noun)
0154	sweat (noun)
0155	sputum (noun)
0156	saliva (noun)
0157	mucus (nasal) (noun)
0158	tears (noun)
0159	pus (noun)
0160	dirt / filth (noun)
0161	sound (noun)
0162	corpse (noun)
0163	life (noun)
0164	life span (noun)
0165	Chinese (Han) (noun)
0166	Tibetan
0167	human being (noun)
0168	adult (noun)
0169	child (noun)
0170	baby (noun)
0171	old man (noun)
0172	old lady (noun)
0173	man (noun)
0174	woman (noun)
0175	lad / chap (young) (noun)
0176	girl (noun)
0177	common people (noun)
0178	peasant (noun)
0179	soldier (noun)
0180	merchant (noun)
0181	doctor (noun)
0182	leader in a (stockaded) village (noun)
0183	servant (noun)
0184	shepherd boy (noun)
0185	carpenter (noun)
0186	blacksmith (noun)
0187	boatman (noun)
0188	hunter (noun)
0189	monk (noun)
0190	nun (Buddhist) (noun)
0191	wizard / sorcerer (noun)
0192	witch / sorceress (noun)
0193	beggar (noun)
0194	thief (noun)
0195	robber (noun)
0196	patient (noun)
0197	enemy (personal) / antagonizer (noun)
0198	emperor (noun)
0199	official (government) (noun)
0200	king (noun)
0201	friend (noun)
0202	blind person (noun)
0203	lame person (noun)
0204	deaf person (noun)
