NUMBER	ENGLISH	CONCEPTICON_ID	TBL_ID	SRCID	SRCGLOSS
29	I [first person singular]	1209	928	541874	1sg, I, me (pro.)
1	above	1741	731	542635	above (adv.)
2	all	98	962	541979	all (adv.)
3	bad	1292	1053	542623	bad (adj.)
4	below, under	1485	732	542651	below, down (adv.)
5	big	1202	964	542222	big (adj.)
6	black	163	1005	542607	black (adj.)
7	cold (of temperature)	1287	1063	541948	cold (adj.)
8	correct (right)	1725	1045		
9	dark	706	1013		
10	dirty	1230	1086	541952	dirty (adj.)
11	dry	1398	1028	542265	dry (from the state of being wet) (adj.)
12	early	672	1018		
13	eight	1705	804	541872	eight (num.)
14	far	1406	974	542613	longer path, far away (adv.)
15	firewood	10	534		
16	five	493	801	542159	five (num.)
17	four	1500	800	542220	four (num.)
18	full	1429	984	542569	full (adj.)
19	good	1035	1052	541728	beautiful (adj.)
20	green	1425	1009	542466	green (literally green grass) (adj.)
21	hard	1884	1034	541904	hard (adj.)
22	he or she [third person singular]	262	934		542615
23	heavy	1210	1014	542039	heavy (adj.)
24	here	136	944	541531	here (adv.)
24	here	136	944	541520	here (adv.)
25	high / tall	1265	968	542504	height, high (adj.)
26	horizontal	2376	1001		
27	hot	1286	1062	542020	hot, heat (adj.)
28	hundred	1634	824	542353	hundred (num.)
28	hundred	1634	824	542284	hundred (num.)
30	inside	1606	715	541615	inside (adv.)
31	knife	1352	549		
32	late	477	1019	542653	late (adv.)
33	left	244	710	542431	
34	light (of weight)	1052	1052	542141	light (in weight) (adj.)
35	long	1203	972	541584	tall, long (adj.)
36	many	1198	987	542061	many (adv.)
37	middle	1093	708	541801	
38	morning	1339	749	541563	morning (adv.)
39	narrow	1267	977	541877	narrow (adj.)
40	near	1942	975	542142	near (adv.)
41	new	1231	1050	542137	new (adj.)
42	nine	1483	805	541792	nine (num.)
43	noon	12	750	542180	noon (adv.)
44	old (of person)	2112	1058	542390	old (person) (adj.)
45	one	1493	797	542461	one (num.)
46	outside	762	714	542200	outside (adv.)
47	red	156	1007	542048	red (adj.)
48	right	1019	711	542441	
49	round	1395	990		
50	salty	1091	1076	541738	
51	seven	1704	803	542132	seven (num.)
52	sharp	1396	1020	542568	sharp (instrument) (adj.)
53	short	1645	973	542546	short (adj.)
54	shy	487	1365	542323	
55	six	1703	802	542540	six (num.)
56	small	1246	965	542064	small (adj.)
57	smooth	1234	1037	541737	smooth (adj.)
58	soft	1856	1035	542106	soft (adj.)
59	straight	1404	1003	542027	straight (adj.)
60	ten	1515	806	541624	ten (num.)
61	that	78	947	541541	
62	the ant	587	365	542136	ant (n.)
63	the armpit	1886	92	541631	armpit (n.)
64	the bamboo	1927	389	542642	bamboo (n.)
65	the barley (tibetan or highland)	932	411		
66	the belly	1251	96	541695	belly (n.)
67	the bird	937	326	541618	bird (n.)
68	the blood	946	129	542398	blood (n.)
69	the body hair (hair or fur)	189	266	541892	
70	the bone	1394	133	542300	bone (n.)
71	the branch	1531	374	541720	
72	the breast (female)	1402	94	542402	breast (n.)
73	the child (young human)	1304	169	542394	child (n.)
74	the cloud	1489	7	541910	cloud (n.)
75	the daughter	1357	222	542565	girl, daughter (n.)
76	the dew	1977	15	542400	
77	the dog	2009	289	542176	dog (n.)
78	the dream	2374	699	542052	dream (n.)
79	the dust	2	45	542359	dust (n.)
80	the ear	1247	81	542324	ear (n.)
81	the earth (soil)	1228	40	542346	soil (n.)
82	the earthworm	2350	363		
83	the egg	744	450	542436	egg (n.)
84	the eye	1248	79	542091	eye (n.)
85	the father	1217	218	541568	father (term of reference) (n.)
86	the feather	1201	299	542295	feather (n.)
87	the fire	221	18	542066	fire (n.)
88	the fish	227	351	542182	fish (n.)
89	the flea	232	355	542095	flea (n.)
90	the flower	239	377	541613	flower (n.)
91	the fog	249	16	541823	fog (n.)
92	the foot	1301	103	542006	foot (n.)
93	the forest	420	50	542365	forest (n.)
94	the fox	1312	325	541786	fox (n.)
95	the frog	503	349	542196	frog (n.)
96	the front (front side)	2194	712	542329	in front, before (adv.)
97	the frost	2034	14	542100	frost (n.)
98	the fruit	1507	378	542004	fruit (n.)
99	the goat	1502	276	542043	sheep or goat (generic term) (n.)
100	the grass	606	436	542571	grass (n.)
101	the hail	609	13	542360	
102	the hair (of the head)	1040	75	542242	
103	the hand	1277	107	541975	hand (n.)
104	the head	1256	74	542241	head (n.)
105	the heart	1223	144	542416	heart (n.)
106	the hoof	152	264		
107	the horn (keratinized skin)	1393	263	542319	corner (inside the house); horn (n.)
108	the horse	615	268	542327	horse (n.)
108	the horse	615	268	542263	horse (n.)
109	the house	1252	494		
110	the husband	1200	247	542340	husband (n.)
111	the ice	617	17	542463	ice (n.)
112	the knee	1371	101	542237	knee (n.)
113	the lake	624	31	541677	lake (n.)
114	the leaf	628	376	542193	leaf (n.)
115	the lip (the lips)	478	85	541527	lips (n.)
116	the liver	1224	145	541671	liver (n.)
117	the louse	1392	356	542074	louse (n.)
118	the lung	688	143	542019	lungs (n.)
119	the man (male human)	2106	173		
120	the meat	634	443	542425	
121	the moon	1313	4	542037	
122	the mosquito	1509	360		
123	the mother	1216	219	542174	mother (n.)
124	the mountain	639	23	542647	mountain,  a type of flour (n.)
125	the mouse or rat	2139	320	541706	rat (n.)
125	the mouse or rat	2139	320	542131	mouse (n.)
