rn	reflex	gloss	gfn	srcabbr	lgid	language	srcid
546395	bhu:j	birch tree	n.	SRS-TBLUP	2113	Rongpo	179
546394	bhũk-, bhũg-	bark	vi.	SRS-TBLUP	2113	Rongpo	178
546393	bhɔw	ebullition, boiling	n.	SRS-TBLUP	2113	Rongpo	177
546392	bhɔR	hero one who leads	n.	SRS-TBLUP	2113	Rongpo	176
546391	bhori	clan name	n.	SRS-TBLUP	2113	Rongpo	175
546389	bhɔ rha-	get boiling	vi.	SRS-TBLUP	2113	Rongpo	173
546390	bhɔ̃	eye brow	n.	SRS-TBLUP	2113	Rongpo	174
546388	bhiti	wall	n.	SRS-TBLUP	2113	Rongpo	172
546387	bhija:-	make wet	vt.	SRS-TBLUP	2113	Rongpo	171
546386	bhi:j-	get wet	vi.	SRS-TBLUP	2113	Rongpo	170
546385	bhɛN	puzzle, shaft	n.	SRS-TBLUP	2113	Rongpo	169
546384	bhej-,	send	vt.	SRS-TBLUP	2113	Rongpo	168
546383	bhed	secret	n.	SRS-TBLUP	2113	Rongpo	167
546382	bhɛ̃sɔ	buffalo bull	n.	SRS-TBLUP	2113	Rongpo	166
546381	bhaT	Garhwali brahmin clan name		SRS-TBLUP	2113	Rongpo	165
546380	bhalaŋ	generic term used for cows, bulls.	n.	SRS-TBLUP	2113	Rongpo	164
546379	bha:ri	heavy	adj.	SRS-TBLUP	2113	Rongpo	163
546377	bha:N	hemp	n.	SRS-TBLUP	2113	Rongpo	161
546378	bha:p	steam	n.	SRS-TBLUP	2113	Rongpo	162
546376	bha:Nji	sister's daughter	n.	SRS-TBLUP	2113	Rongpo	160
546375	bha:Nja	sister's son	n.	SRS-TBLUP	2113	Rongpo	159
546374	bha:j-	run, go away	vi.	SRS-TBLUP	2113	Rongpo	158
546373	bha:i	brother	n.	SRS-TBLUP	2113	Rongpo	157
546372	bhəTya:-	call (near the speaker)	vi.	SRS-TBLUP	2113	Rongpo	156
546371	bhətiji	niece	n.	SRS-TBLUP	2113	Rongpo	155
546370	bhətija	nephew	n.	SRS-TBLUP	2113	Rongpo	154
546369	bhəs	type of grain out of which a loaf is made which is considered sacred	n.	SRS-TBLUP	2113	Rongpo	153
546368	bhəst	buckwheat	n.	SRS-TBLUP	2113	Rongpo	152
546367	bhəla:dim	good person	n.	SRS-TBLUP	2113	Rongpo	151
546366	bhəgwa:n	God	n.	SRS-TBLUP	2113	Rongpo	150
546365	bhəga:-	drive away, elope	vt.	SRS-TBLUP	2113	Rongpo	149
546364	bhəddɔ	ugly	adj.	SRS-TBLUP	2113	Rongpo	148
546363	bhəbəRya:-	roast	vt.	SRS-TBLUP	2113	Rongpo	147
546362	bhəbəR-,	roast	vi.	SRS-TBLUP	2113	Rongpo	146
546361	byəse	brothers (pl.)	n.	SRS-TBLUP	2113	Rongpo	145
