1	above	1741	731		???
2	all	98	962		???
3	bad	1292	1053		???
4	below, under	1485	732		???
5	big	1202	964		???
6	black	163	1005		???
7	cold (of temperature)	1287	1063		???
8	correct (right)	1725	1045		???
9	dark	706	1013		???
10	dirty	1230	1086		???
11	dry	1398	1028		???
12	early	672	1018		???
13	eight	1705	804		???
14	far	1406	974		???
15	firewood	10	534		???
16	five	493	801		???
17	four	1500	800		???
18	full	1429	984		???
19	good	1035	1052		???
20	green	1425	1009		???
21	hard	1884	1034		???
22	he or she [third person singular]	262	934		???
23	heavy	1210	1014		???
24	here	136	944		???
25	high / tall	1265	968		???
26	horizontal	2376	1001		???
27	hot	1286	1062		???
28	hundred	1634	824		???
29	I [first person singular]	1209	928		???
30	inside	1606	715		???
31	knife	1352	549		???
32	late	477	1019		???
33	left	244	710		???
34	light (of weight)	1052	1052		???
35	long	1203	972		???
36	many	1198	987		???
37	middle	1093	708		???
38	morning	1339	749		???
39	narrow	1267	977		???
40	near	1942	975		???
41	new	1231	1050		???
42	nine	1483	805		???
43	noon	12	750		???
44	old (of person)	2112	1058		???
45	one	1493	797		???
46	outside	762	714		???
47	red	156	1007		???
48	right	1019	711		???
49	round	1395	990		???
50	salty	1091	1076		???
51	seven	1704	803		???
52	sharp	1396	1020		???
53	short	1645	973		???
54	shy	487	1365		???
55	six	1703	802		???
56	small	1246	965		???
57	smooth	1234	1037		???
58	soft	1856	1035		???
59	straight	1404	1003		???
60	ten	1515	806		???
61	that	78	947		???
62	the ant	587	365		???
63	the armpit	1886	92		???
64	the bamboo	1927	389		???
65	the barley (tibetan or highland)	932	411		???
66	the belly	1251	96		???
67	the bird	937	326		???
68	the blood	946	129		???
69	the body hair (hair or fur)	189	266		???
70	the bone	1394	133		???
71	the branch	1531	374		???
72	the breast (female)	1402	94		???
73	the child (young human)	1304	169		???
74	the cloud	1489	7		???
75	the daughter	1357	222		???
76	the dew	1977	15		???
77	the dog	2009	289		???
78	the dream	2374	699		???
79	the dust	2	45		???
80	the ear	1247	81		???
81	the earth (soil)	1228	40		???
82	the earthworm	2350	363		???
83	the egg	744	450		???
84	the eye	1248	79		???
85	the father	1217	218		???
86	the feather	1201	299		???
87	the fire	221	18		???
88	the fish	227	351		???
89	the flea	232	355		???
90	the flower	239	377		???
91	the fog	249	16		???
92	the foot	1301	103		???
93	the forest	420	50		???
94	the fox	1312	325		???
95	the frog	503	349		???
96	the front (front side)	2194	712		???
97	the frost	2034	14		???
98	the fruit	1507	378		???
99	the goat	1502	276		???
100	the grass	606	436		???
101	the hail	609	13		???
102	the hair (of the head)	1040	75		???
103	the hand	1277	107		???
104	the head	1256	74		???
105	the heart	1223	144		???
106	the hoof	152	264		???
107	the horn (keratinized skin)	1393	263		???
108	the horse	615	268		???
109	the house	1252	494		???
110	the husband	1200	247		???
111	the ice	617	17		???
112	the knee	1371	101		???
113	the lake	624	31		???
114	the leaf	628	376		???
115	the lip (the lips)	478	85		???
116	the liver	1224	145		???
117	the louse	1392	356		???
118	the lung	688	143		???
119	the man (male human)	2106	173		???
120	the meat	634	443		???
121	the moon	1313	4		???
122	the mosquito	1509	360		???
123	the mother	1216	219		???
124	the mountain	639	23		???
125	the mouse or rat	2139	320		???
126	the mouth	674	84		???
127	the mud	640	46		???
128	the nail (fingernail or claw)	2128	113		???
129	the name	1405	687		???
130	the neck	1333	89		???
131	the needle (for sewing)	1382	578		???
132	the nit	267	357		???
133	the nose	1221	80		???
134	the otter	15	317		???
135	the pig	1337	284		???
136	the rain	658	10		???
137	the rainbow	1733	11		???
138	the rice plant	2026	439		???
139	the river	666	30		???
140	the road	667	38		???
141	the root	670	375		???
142	the rope	1218	619		???
143	the salt	1274	61		???
144	the sand	671	44		???
145	the sea	1474	32		???
146	the seed	714	405		???
147	the sheep	1331	275		???
148	the shit	676	151		???
149	the shoulder	1482	90		???
150	the sickle	341	624		???
151	the skin	763	120		???
152	the sky	1732	1		???
153	the smoke	778	19		???
154	the snake	730	347		???
155	the snow	784	12		???
156	the son	1620	220		???
157	the sparrow	1854	336		???
158	the spider	843	361		???
159	the star	1430	5		???
160	the stick	1295	586		???
161	the stone (a piece of)	857	379		???
162	the sun	1343	2		???
163	the tail	1220	267		???
164	the thigh	800	100		???
165	the thunder	1150	8		???
166	the tiger	846	304		???
167	the tongue	1205	139		???
168	the tooth (front)	1380	137		???
169	the tree	906	372		???
170	the water	948	47		???
171	the wheat	1077	410		???
172	the wife	1199	248		???
173	the wind	960	9		???
174	the wing	1257	298		???
175	the wolf	522	324		???
176	the woman	962	174		???
177	the wood (material)	1803	511		???
178	the year	1226	777		???
179	there	1937	950		???
180	thick	1244	980		???
181	thin (object)	2307	981		???
182	this	1214	942		???
183	thou [second person singular]	1215	931		???
184	three	492	799		???
