ID	DOCULECT	CONCEPT	CONCEPTID	CONCEPTICON_ID	TBL_ID	GLOSS_IN_SOURCE	RGEN	TOKENS	IPA
1	Rongpo	above	1	1741	731	above, over	546851	k a l c o	kalco
2	Rongpo	all	2	98	962	all	547338	r u o k o	ruoko, ruəko
3	Rongpo	all	2	98	962	all	547421	s ə b	səb
4	Rongpo	bad	3	1292	1053	bad	546968	kh ə r aː b	khəra:b
5	Rongpo	below, under	4	1485	732	under, below	547526	th i ŋ c ɔ	thiŋcɔ
6	Rongpo	below, under	4	1485	732	under, below	547530	th ɔ r ɔ	thɔrɔ
7	Rongpo	big	5	1202	964	big	546280	b ə ɽ a	bəRa
8	Rongpo	big	5	1202	964	big	547507	t u ŋ t ə	tuŋtə
9	Rongpo	black	6	163	1005	black	547492	t i ŋ d ə	tiŋdə
10	Rongpo	cold (of temperature)	7	1287	1063	cold, winter	547394	s o d	sod
11	Rongpo	correct (right)	8	1725	1045	correct	547373	s ɛ̃	sɛ̃
12	Rongpo	dirty	10	1230	1086	dirty	547051	m ɛ l a	mɛla
13	Rongpo	dry	11	1398	1028	coarse, dry	547336	r u k ɔ	rukɔ
14	Rongpo	eight	13	1705	804	eight	546264	aː ʈh	a:Th, a:T
15	Rongpo	far	14	1406	974	far away	546561	d uː r	du:r
16	Rongpo	five	16	493	801	five	547172	ŋ ɛ	ŋɛ
17	Rongpo	four	17	1500	800	four	547219	p i	pi
18	Rongpo	full	18	1429	984	whole, full	547227	p uː r ɔ	pu:rɔ
19	Rongpo	good	19	1035	1052	good	547184	ɔ r i	ɔri
20	Rongpo	green	20	1425	1009	green	546759	h ə r y ɔ	həryɔ
21	Rongpo	hard	21	1884	1034	hard	546509	d ə k t	dəkt
22	Rongpo	hard	21	1884	1034	hard	546898	k ə ◦ ʈ o r	kə◦Tor
23	Rongpo	he or she [third person singular]	22	262	934	3sg (animate and inanimate)	546593	dh ɛ	dhɛ
24	Rongpo	heavy	23	1210	1014	heavy	546379	bh aː r i	bha:ri
25	Rongpo	heavy	23	1210	1014	heavy	546996	l iː ◦ d ə	li:◦də
26	Rongpo	here	24	136	944	here	546556	d u	du
27	Rongpo	high / tall	25	1265	968	high	547575	u c ɔ	ucɔ
28	Rongpo	horizontal	26	2376	1001	plain level	547523	th a ŋ g a	thaŋga
29	Rongpo	hot	27	1286	1062	hot	546421	c a r t	cart
30	Rongpo	hundred	28	1634	824	hundred	546676	g y a	gya
31	Rongpo	hundred	28	1634	824	hundred	547401	s ɔ	sɔ
32	Rongpo	inside	30	1606	715	inside	546225	ə n d ə r	əndər
33	Rongpo	knife	31	1352	549	knife	546406	c ə k u	cəku
34	Rongpo	left	33	244	710	left side	546301	b aː ŋ ɔ̃	ba:ŋɔ̃
35	Rongpo	light (of weight)	34	1052	1052	light (in weight)	547607	y a n d u	yandu, yaŋdə
36	Rongpo	long	35	1203	972	long, tall	547350	rh uː d ə	rhu:də
37	Rongpo	many	36	1198	987	many	547483	t e	te
38	Rongpo	morning	38	1339	749	morning	547079	m u n c ɔ	muncɔ
39	Rongpo	narrow	39	1267	977	tight, narrow	546219	ə l aː ɽ	əla:R
40	Rongpo	near	40	1942	975	near	546998	l i t ɔ	litɔ
41	Rongpo	new	41	1231	1050	new	547143	n uː d ə	nu:də
42	Rongpo	nine	42	1483	805	nine	547142	n ɔ	nɔ
43	Rongpo	noon	43	12	750	noon	547292	ph y ɛ n i ŋ	phyɛniŋ
44	Rongpo	old (of person)	44	2112	1058	old	547615	y uː d ə	yu:də
45	Rongpo	one	45	1493	797	one	547488	t i g	tig
46	Rongpo	outside	46	762	714	outside (outside the room, house)	546517	d a g a r	dagar
47	Rongpo	red	47	156	1007	red	547090	m ə ŋ d ə	məŋdə
48	Rongpo	right	48	1019	711	right side	546538	d ɛ ɳ o	dɛNo
49	Rongpo	seven	51	1704	803	seven	547364	s aː t	sa:t
50	Rongpo	sharp	52	1396	1020	sharp	546410	c ə n t	cənt
51	Rongpo	short	53	1645	973	short	547508	t u n t ə	tuntə
52	Rongpo	shy	54	487	1365	be ashamed of	546879	k y ã	kyã-
53	Rongpo	six	55	1703	802	six	546473	ch ɛ	chɛ
54	Rongpo	small	56	1246	965	small, a little bit (solidthings)	546423	c iː c i	ci:ci
55	Rongpo	soft	58	1856	1035	soft	546335	b o l d u	boldu
56	Rongpo	soft	58	1856	1035	soft	547077	m u l ɛ m	mulɛm
57	Rongpo	straight	59	1404	1003	direct, straight	547381	s iː d a	si:da, sidɔ
58	Rongpo	ten	60	1515	806	ten	546516	d ə s	dəs
59	Rongpo	that	61	78	947	what, that	546943	kh y e n	khyen, khyenɔ
60	Rongpo	the ant	62	587	365	ant	546865	k i r m ə l a	kirməla
61	Rongpo	the armpit	63	1886	92	armpit	546886	k ə g r y aː i	kəgrya:i
62	Rongpo	the bamboo	64	1927	389	bamboo	546290	b ã s	bãs
63	Rongpo	the bird	67	937	326	bird	547206	p e c	pec
64	Rongpo	the blood	68	946	129	blood	547445	ʃ u ı̃	ʃuı̃
65	Rongpo	the bone	70	1394	133	bone	546737	h a ɽ k ɔ	haRkɔ
66	Rongpo	the breast (female)	72	1402	94	breast	546241	a p u	apu
67	Rongpo	the child (young human)	73	1304	169	child	547378	s ɛ r u	sɛru
68	Rongpo	the cloud	74	1489	7	cloud	546296	b aː d ə w	ba:dəw
69	Rongpo	the daughter	75	1357	222	daughter	546414	c aː m a	ca:ma
70	Rongpo	the dew	76	1977	15	dew	547186	ɔ̃ s	ɔ̃s
71	Rongpo	the dog	77	2009	289	bite of snake, dog	546849	k a d	kad-
72	Rongpo	the dream	78	2374	699	dream	547097	m ə s	məs
73	Rongpo	the dust	79	2	45	dust	546610	dh u w u	dhuwu
74	Rongpo	the ear	80	1247	81	ear	546892	k ə n uː ɳ	kənu:N
75	Rongpo	the earth (soil)	81	1228	40	bottom, soil	547497	t ɔ i	tɔi
76	Rongpo	the egg	83	744	450	egg	546222	ə n ɖ aː	ənDa:
77	Rongpo	the egg	83	744	450	egg	547617	y ə g	yəg
78	Rongpo	the eye	84	1248	79	eye	547057	m i g	mig
79	Rongpo	the father	85	1217	218	father	546259	aː p a	a:pa
80	Rongpo	the fire	87	221	18	fire	547102	mh e	mhe
81	Rongpo	the fish	88	227	351	fish	547042	m a ch a	macha
82	Rongpo	the flower	90	239	377	bloom	547277	ph uː l	phu:l-
83	Rongpo	the fog	91	249	16	mist	546877	k u iː ɽ	kui:R
84	Rongpo	the foot	92	1301	103	foot	547112	n aː r	na:r
85	Rongpo	the forest	93	420	50	forest	546336	b ɔ ɳ	bɔN
86	Rongpo	the forest	93	420	50	forest	546788	j ə ŋ ə l	jəŋəl
87	Rongpo	the frog	95	503	349	frog	547086	m y ə n k ɔ	myənkɔ
88	Rongpo	the front (front side)	96	2194	712	front, before	547171	nh ə m c aː r	nhəmca:r, nhanca:r, nhica:r
89	Rongpo	the frost	97	2034	14	frost	547198	p aː w ɔ	pa:wɔ
90	Rongpo	the fruit	98	1507	378	fruit	547296	ph ə l	phəl
91	Rongpo	the grass	100	606	436	grass	546431	c i	ci
92	Rongpo	the hail	101	609	13	hail	546636	ɖh aː n o	Dha:no
93	Rongpo	the hair (of the head)	102	1040	75	anything	546909	kh e b i	khebi
94	Rongpo	the hand	103	1277	107	hand	546986	l a g	lag
95	Rongpo	the head	104	1256	74	head	547234	p u s u	pusu
96	Rongpo	the head	104	1256	74	head	547383	s iː r	si:r
97	Rongpo	the heart	105	1223	144	heart	546542	d i l	dil
98	Rongpo	the heart	105	1223	144	heart	547443	ʃ u a ʃ a	ʃuaʃa
99	Rongpo	the horn (keratinized skin)	107	1393	263	horn	547454	ʃ uː ɳ i	ʃu:Ni
100	Rongpo	the horse	108	615	268	horse	546716	gh u aː ɽ a	ghua:Ra
101	Rongpo	the house	109	1252	494	house	546864	k i m	kim
102	Rongpo	the husband	110	1200	247	husband	546956	kh y ə w a	khyəwa, khyɔwa
103	Rongpo	the knee	112	1371	101	knee	546718	gh u nn ɔ	ghunnɔ
104	Rongpo	the lake	113	624	31	lake	546828	jh iː l	jhi:l
105	Rongpo	the leaf	114	628	376	leaf of a plant	547197	p aː t	pa:t
