DOCULECT	PRESENT	MISSING	COVERAGE
Bai_Jianchuan	249	1	99.60
Bokar	249	1	99.60
Cuona_Menba	246	4	98.40
Dancun	166	84	66.40
Daofu	245	5	98.00
Darang_Taraon	239	11	95.60
Dashi	109	141	43.60
Dulong	248	2	99.20
Ega	108	142	43.20
Enqi	109	141	43.60
Eryuan	136	114	54.40
Ganzhou	155	95	62.00
Gazhuo	235	15	94.00
Gongxing	108	142	43.20
Guiqiong	235	15	94.00
Guzhang	142	108	56.80
Hani_Lüchun	248	2	99.20
Hani_Mojiang	248	2	99.20
Heqi	136	114	54.40
Japhug	186	64	74.40
Jianchuan	136	114	54.40
Jingpho	249	1	99.60
Jinman	108	142	43.20
Jinuo	246	4	98.40
Jinxing	109	141	43.60
Jixi	151	99	60.40
Kaman_Miju	240	10	96.00
Karen	229	21	91.60
Khaling	88	162	35.20
Lahu_Lancang	249	1	99.60
Limbu	86	164	34.40
Lisu	248	2	99.20
Luobenzhuo	136	114	54.40
Lyuzu	248	2	99.20
Mazhelong	109	141	43.60
Motuo_Menba	238	12	95.20
Muya	245	5	98.00
Namuyi	245	5	98.00
Naxi	249	1	99.60
Nung	230	20	92.00
Nusu_Central	245	5	98.00
Old_Chinese	157	93	62.80
Old_Tibetan	186	64	74.40
Pumi_Jiulong	232	18	92.80
Pumi_Lanping	248	2	99.20
Qiang_Mawo	247	3	98.80
Qiliqiao	136	114	54.40
Qimen	60	190	24.00
Queyu_Xinlong	243	7	97.20
rGyalrong_Maerkang	249	1	99.60
Tangut	89	161	35.60
Tibetan_Alike	232	18	92.80
Tibetan_Batang	249	1	99.60
Tibetan_Lhasa	249	1	99.60
Tibetan_Written	249	1	99.60
Tibetan_Xiahe	248	2	99.20
Tujia	238	12	95.20
Xiangyun	136	114	54.40
Xumi	248	2	99.20
Yi_Nanhua	248	2	99.20
Yi_Sani	245	5	98.00
Yi_Weishan	247	3	98.80
Yi_Wuding	248	2	99.20
Yi_Xide	249	1	99.60
Yidu	235	15	94.00
Yunlong	136	114	54.40
Zhaba_Daofu_County	246	4	98.40
Zhaozhuang	27	223	10.80
Zhoucheng	109	141	43.60
