NUMBER	WORD
1	the ant
2	the armpit
3	the bamboo
4	the barley (tibetan or highland)
5	the body hair (hair or fur)
6	dark
7	the daughter
8	the dew
9	early
10	the earthworm
11	firewood
12	the flea
13	forget
14	the fox
15	the frog
16	the front (front side)
17	the frost
18	the goat
19	the hail
20	hard
21	high / tall
22	the hoof
23	horizontal
24	the horse
25	hot
26	inside
27	knead
28	late
29	learn
30	light (of weight)
31	the lip (the lips)
32	the lung
33	marry (a man marries a woman)
34	middle
35	morning
36	the mud
37	the nit
38	noon
39	the otter
40	outside
41	the pig
42	the rainbow
43	the rice plant
44	run
45	salty
46	the sheep
47	the sickle
48	soft
49	the son
50	the sparrow
51	the thigh
52	the tiger
53	today
54	tomorrow
55	the wheat
56	the wolf
57	yesterday
58	young
