# Wordlist

# DATA
ID	GFN	CONCEPT	LGID	RGEN	STEDT_GLOSS	REFLEX	DOCULECT	SRCID	SRCABBR	STEDT_RN	IPA	TOKENS
#
33055	pron	I [first person singular]	1822	392741	I	ŋɑɑ²	Burmese (Written)	0928.26	TBL	33055	ŋɑɑ²	ŋ ɑɑ ²
66098	pron	I [first person singular]	1840	392757	I	ŋɔ⁵⁵	Hani (Mojiang)	0928.42	TBL	66098	ŋɔ⁵⁵	ŋ ɔ ⁵⁵
1053	pron	I [first person singular]	1804	392716	I	ŋa	Tibetan (Written)	0928.01	TBL	1053	ŋa	ŋ a
1054	pron	I [first person singular]	1804	392766	I	bdag	Tibetan (Written)	0928.01	TBL	1054	bdag	b ◦ d a g
34950	pron	I [first person singular]	1823	392742	I	ŋɑ²²	Burmese (Rangoon)	0928.27	TBL	34950	ŋɑ²²	ŋ ɑ ²²
67901	pron	I [first person singular]	1841	392758	I	ŋɑ³¹	Lahu (Lancang)	0928.43	TBL	67901	ŋɑ³¹	ŋ ɑ ³¹
3015	pron	I [first person singular]	1805	392725	I	ie⁵⁵	Pumi (Jiulong)	0928.10	TBL	3015	ie⁵⁵	i e ⁵⁵
36827	pron	I [first person singular]	1824	392743	I	ŋɔ⁵⁵	Achang (Longchuan)	0928.28	TBL	36827	ŋɔ⁵⁵	ŋ ɔ ⁵⁵
69730	pron	I [first person singular]	1842	392759	I	ŋɔ⁴²	Jinuo	0928.44	TBL	69730	ŋɔ⁴²	ŋ ɔ ⁴²
4667	pron	I [first person singular]	1806	392726	I	ŋɑ	rGyalrong (Maerkang)	0928.11	TBL	4667	ŋɑ	ŋ ɑ
38607	pron	I [first person singular]	1825	392744	I	ŋɔ⁵⁵	Achang (Xiandao)	0928.29	TBL	38607	ŋɔ⁵⁵	ŋ ɔ ⁵⁵
71586	pron	I [first person singular]	1843	392760	I	ŋə²¹	Naxi	0928.45	TBL	71586	ŋə²¹	ŋ ə ²¹
6587	pron	I [first person singular]	1807	392727	I	ŋa	Daofu	0928.12	TBL	6587	ŋa	ŋ a
40339	pron	I [first person singular]	1826	392718	I	ŋa²³¹	Tibetan (Batang)	0928.03	TBL	40339	ŋa²³¹	ŋ a ²³¹
73409	pron	I [first person singular]	1844	392761	I	ŋa⁵⁵	Namuyi	0928.46	TBL	73409	ŋa⁵⁵	ŋ a ⁵⁵
12293	pron	I [first person singular]	1810	392730	I	ŋə⁵³	Muya	0928.15	TBL	12293	ŋə⁵³	ŋ ə ⁵³
8512	pron	I [first person singular]	1808	392728	I	ŋa¹³	Queyu (Xinlong)	0928.13	TBL	8512	ŋa¹³	ŋ a ¹³
8513	pron	I [first person singular]	1808	392767	I	ŋɯ¹³	Queyu (Xinlong)	0928.13	TBL	8513	ŋɯ¹³	ŋ ɯ ¹³
75227	pron	I [first person singular]	1845	392762	I	ŋa³³	Gazhuo	0928.47	TBL	75227	ŋa³³	ŋ a ³³
29799	pron	I [first person singular]	1820	392739	I	ŋoː	Bokar	0928.24	TBL	29799	ŋoː	ŋ oː
10353	pron	I [first person singular]	1809	392729	I	ŋa¹³	Zhaba (Daofu County)	0928.14	TBL	10353	ŋa¹³	ŋ a ¹³
