NUMBER	ENGLISH	CONCEPTICON_ID	TBL_ID	SRCID	SRCGLOSS
#<<<
29	I [first person singular]	1209	928	98	ugly, bad. (adj. [*khǝ- AP + i:- &lt; i:nɨ 'be bad' + -kpa AP])
29	I [first person singular]	1209	928	113	to not be delicious, taste foul (vi-1 tsa: i:y/i:)
29	I [first person singular]	1209	928	464	destroy, obliterate, ruin, spoil, mess up (vt-2a me:ph/me:p-miph/mip)
29	I [first person singular]	1209	928	781	put to bed, put to sleep (vt-2c i:pt/i:p-i:ph/i:p)
29	I [first person singular]	1209	928	971	shit, defaecate (vi-2 e:-i:y/i:)
29	I [first person singular]	1209	928	1058	I, me. (pro.)
29	I [first person singular]	1209	928	1255	1) fall asleep, lie down to sleep, go to bed; 2) be asleep (of numb limbs) (vi-4 i:bdzo:-i:bdzɨ-i:bdzuy/i:bdzu)
29	I [first person singular]	1209	928	1260	be going to shit, go off to shit (vi-2 e:-i: + vi-3 pǝts/pǝs-pa)
#>>>
#<<<
1	above	1741	731	1342	above, up (adv.)
1	above	1741	731	1344	above, upward, in an upward direction. (adv.)
1	above	1741	731	1409	on top of, on, onto, above (postp.)
#>>>
2	all	98	962	89	all, everything, everyone. (adv.n.)
#<<<
3	bad	1292	1053	92	beautiful, comely, good, nice (adj. [*khǝ- AP + -nɨ- 'be good' + -kpa AP])
3	bad	1292	1053	230	be good, be alright, be fine (vi-4 no:-nu-nɨ)
#>>>
4	below, under	1485	732		???
#<<<
5	big	1202	964	183	large, edible frog (n.)
5	big	1202	964	499	large, wooden pestle about one metre in length and club-shaped at either end, used in conjunction with a sɨNkhoʔ, q.v. (n.)
5	big	1202	964	1228	big, large (adj.)
#>>>
6	black	163	1005	538	black (n.)
#<<<
7	cold (of temperature)	1287	1063	90	cold, cough (n.)
7	cold (of temperature)	1287	1063	965	cold, chill (n.)
7	cold (of temperature)	1287	1063	966	cold (of liquids) (adj.)
7	cold (of temperature)	1287	1063	986	1) auxiliary of the negative perfect and negative pluperfect of transitive verbs; 2) in the expression: -tsili boʔo mɨtnɨ make someone angry, arouse someone's ire; 3) as a causativizer, taking the bare stem of the causativized verb as a preverb, e.g. remmɨtnɨ, ri:mɨtnɨ; 4) (with dzuʔu 'cold' as non-ergatively marked agent), be afflicted by the cold, be cold, feel the cold (1-3) vt-2a mɨd/mɨt-mɨts/mɨs 4) imp.vt-2a mɨd/mɨt-mɨts/mɨs)
#>>>
8	correct (right)	1725	1045		???
9	dark	706	1013	1264	night, nighttime, at night (adv.)
10	dirty	1230	1086		???
11	dry	1398	1028		???
12	early	672	1018		???
13	eight	1705	804		???
14	far	1406	974	544	long (both spatially and temporally); far, far away, distant (adj.)
15	firewood	10	534		???
16	five	493	801		???
#<<<
17	four	1500	800	134	four (num.)
17	four	1500	800	1329	four (num.)
#>>>
18	full	1429	984	108	1) fermented millet from which no millet beer has yet been squeezed and which has not yet been allowed to steep in a tun%bā; 2) (said of ɨmma 'millet beer') good, full, aromatic, fragrant, strong, wholesome (1) n. 2) adj.)
#<<<
19	good	1035	1052	92	beautiful, comely, good, nice (adj. [*khǝ- AP + -nɨ- 'be good' + -kpa AP])
19	good	1035	1052	230	be good, be alright, be fine (vi-4 no:-nu-nɨ)
19	good	1035	1052	911	well (adv.)
19	good	1035	1052	1161	1) eldest born (of a sibling); 2) most able, most skilled, most capable, wisest, most authoratative (of peers, deities or hierarchically structured phenomena), (with -yikǝ 'than') more proficient (at something, -bi 'in'), better (at something, -bi 'in'), superior (n.adj.masc.)
#>>>
20	green	1425	1009		???
21	hard	1884	1034		???
#<<<
22	he or she [third person singular]	262	934	785	he, she (human). (pro.)
22	he or she [third person singular]	262	934	786	he, she (human). (pro.erg.)
22	he or she [third person singular]	262	934	991	that; 2) pro., he, she, it (1) dem.art.)
#>>>
23	heavy	1210	1014	1267	mild, slightly sour, heavy, white and crumbly cheese, fabricated by Tibetans from the milk of the caũrī gāī (cow-yak hybrid) and sold at the bajār. What the Dumi call sirgam is moist and not dry like churpī. (n.)
#<<<
24	here	136	944	744	here (adv.)
24	here	136	944	746	here, over here (same altitude as point of reference) (adv.)
#>>>
25	high / tall	1265	968		???
26	horizontal	2376	1001		???
#<<<
27	hot	1286	1062	547	hot (of liquids) (adj.)
27	hot	1286	1062	1036	hot (of fluids) (adj.)
#>>>
28	hundred	1634	824		???
#<<<
30	inside	1606	715	501	inside, within (postp.)
30	inside	1606	715	519	inside, within (postp.)
30	inside	1606	715	502	inside (below point of reference) (adv.)
30	inside	1606	715	503	inside (on the same plane as the point of reference) (adv.)
30	inside	1606	715	515	inside (above point of reference) (adv.)
30	inside	1606	715	717	in, at, to (loc.postp.)
30	inside	1606	715	1483	1) at, in; 2) in the company of, at the house of (French chez, Latin apud ). (postp.)
#>>>
31	knife	1352	549	1423	dagger, knife (n.)
32	late	477	1019		???
33	left	244	710	40	hand, lower arm (from elbow to fingertips); front paw (n.)
34	light (of weight)	1052	1052		???
35	long	1203	972	544	long (both spatially and temporally); far, far away, distant (adj.)
36	many	1198	987	1176	much, many (adv.)
#<<<
37	middle	1093	708	1078	middle, centre (n.)
37	middle	1093	708	1413	middle, centre (n.)
37	middle	1093	708	1419	middle, centre (n.)
#>>>
38	morning	1339	749	1431	morning (n.adv.)
39	narrow	1267	977		???
40	near	1942	975	927	1) about, around, near; 2) by way of. (postp.)
41	new	1231	1050		???
42	nine	1483	805		???
43	noon	12	750	628	in the middle of the day, halfway through the day, at noon, in broad daylight (adv.)
44	old (of person)	2112	1058	453	old (of inanimate referents) (adj.)
#<<<
45	one	1493	797	306	one (num.)
45	one	1493	797	1321	one (num.)
45	one	1493	797	1359	one, a. (num.)
#>>>
46	outside	762	714	772	outside (adv.)
47	red	156	1007	888	red (adj.)
48	right	1019	711	40	hand, lower arm (from elbow to fingertips); front paw (n.)
49	round	1395	990		???
50	salty	1091	1076		???
51	seven	1704	803		???
52	sharp	1396	1020		???
53	short	1645	973	1438	be short, become short (vi-1 bɨph/bɨp)
54	shy	487	1365		???
55	six	1703	802		???
#<<<
56	small	1246	965	1348	small, little. (adj.)
56	small	1246	965	1350	tiny, very small; 2) n., children ([&lt; tida:m 'small'] 1) adj.)
56	small	1246	965	1357	little, few, a little bit (adv.)
#>>>
57	smooth	1234	1037		???
58	soft	1856	1035		???
59	straight	1404	1003		???
