NUMBER	ENGLISH	CONCEPTICON_ID	TBL_ID	SRCID	SRCGLOSS
29	I [first person singular]	1209	928	922	I (pron.)
1	above	1741	731	658	above, up (adv.)
2	all	98	962	660	all (adv.)
2	all	98	962	1228	all, every (adv.)
3	bad	1292	1053	1001	bad, useless, worthless. (adj.)
4	below, under	1485	732		
5	big	1202	964	677	big, fat (adj.)
6	black	163	1005	1147	black (adj.)
7	cold (of temperature)	1287	1063	232	cold, cool (adj.)
8	correct (right)	1725	1045		
9	dark	706	1013	
10	dirty	1230	1086		
11	dry	1398	1028	1279	be dry (grains, leaves, grass, etc.). (vi-1 [1: har-])
12	early	672	1018	519	soon, early
13	eight	1705	804		
14	far	1406	974	1082	far, distant (adv.)
15	firewood	10	534	326	firewood (n.)
16	five	493	801	544	five (num.)
17	four	1500	800	933	four.
18	full	1429	984		
19	good	1035	1052	461	good (adj.)
20	green	1425	1009	864	blue, green, young (of firewood), unripe, uncooked (adj.)
21	hard	1884	1034	1077	be hard (not soft) (vi-3 [1: chɔk- 2: chɔ:-])
22	he or she [third person singular]	262	934	475	he, this one (dem.)
23	heavy	1210	1014	298	be heavy
24	here	136	944	191	here (adv.)
25	high / tall	1265	968	789	tall, high (adj.)
26	horizontal	2376	1001	1287	horizontal, level (adv.)
27	hot	1286	1062	408	be warm (of clothes), be cosy. (vi-3 [1: hɔk- 2: hɔ:-])
28	hundred	1634	824		
30	inside	1606	715	869	inside (n.)
31	knife	1352	549		
32	late	477	1019	302	be late (vi-3 [1: chus- 2: chu-])
33	left	244	710	62	leftside (West) of the house (n)
34	light (of weight)	1052	1052	1269	be light (vi-1 [1: ham-])
35	long	1203	972	1441	long (adj.)
35	long	1203	972	1445	long (adj.)
36	many	1198	987		
37	middle	1093	708		
38	morning	1339	749	1009	morning (n.)
39	narrow	1267	977	1083	narrow (adj.)
40	near	1942	975	233	close (vt-4 [1: chi:- 2: chi:y- 3: chi-])
41	new	1231	1050		
42	nine	1483	805	1310	nine.
43	noon	12	750		
44	old (of person)	2112	1058	353	old, worn out (adj.)
45	one	1493	797	761	one.
46	outside	762	714	883	outside, out (adv.)
47	red	156	1007	1162	red, pink, orange, purple (adj.)
47	red	156	1007	1164	red, pink, orange, purple (adj.)
48	right	1019	711	1366	rightside
49	round	1395	990	1259	round, spherical (adj.)
49	round	1395	990	1358	round, cirular (adj.)
50	salty	1091	1076		
51	seven	1704	803		
52	sharp	1396	1020	274	sharp (adj.)
53	short	1645	973	314	short (adj.)
54	shy	487	1365	959	be ashamed (vi-7 [1: lɔi- 2: lɔ- 3: lǝi- 4: lǝ-])
55	six	1703	802	804	six.
56	small	1246	965	202	little (adv.)
56	small	1246	965	203	small (adj.)
57	smooth	1234	1037	1141	smooth, flat, even (adj.)
58	soft	1856	1035	290	soft (adj.)
59	straight	1404	1003	386	straight (adj.)
60	ten	1515	806	592	ten (preceded by the numeral 'one' ) (num.)
61	that	78	947	1372	he, that one (dem.)
62	the ant	587	365	1092	black ant
63	the armpit	1886	92	847	armpit (also with haplology: bayam) (n.)
64	the bamboo	1927	389	844	bamboo (n.)
65	the barley (tibetan or highland)	932	411	1073	barley, Hordeum vulgare (n.)
66	the belly	1251	96	752	belly (n.)
67	the bird	937	326	1080	bird (n.)
68	the blood	946	129	1217	blood (n.)
69	the body hair (hair or fur)	189	266	523	body hair (n.)
70	the bone	1394	133	818	bone (n.)
71	the branch	1531	374	271	branch of a tree (n)
72	the breast (female)	1402	94	220	female breast (n.)
73	the child (young human)	1304	169	372	child, offspring, son, daughter. (n.)
74	the cloud	1489	7	1120	cloud (n.)
75	the daughter	1357	222	377	daughter (n.)
76	the dew	1977	15	145	dew.
77	the dog	2009	289	705	dog (n.)
78	the dream	2374	699	1058	dream (n.)
79	the dust	2	45	631	flour, dust (n.)
80	the ear	1247	81	477	ear (n.)
81	the earth (soil)	1228	40	754	mud, earth (n.)
82	the earthworm	2350	363	826	earthworm (n.)
83	the egg	744	450	135	egg (of a chicken) (n.)
84	the eye	1248	79	527	eye, sepal of a flower (n.)
85	the father	1217	218	881	father (n.)
86	the feather	1201	299	129	feather (n.)
87	the fire	221	18	1302	fire (n.)
88	the fish	227	351	543	fish (n.)
89	the flea	232	355	317	human flea, Pulex irritans
90	the flower	239	377	84	flower (n.)
91	the fog	249	16	627	mist (n.)
92	the foot	1301	103	942	leg, foot (n.)
93	the forest	420	50	149	forest (n.)
94	the fox	1312	325		
95	the frog	503	349	1314	frog, toad
96	the front (front side)	2194	712	41	front (n.)
97	the frost	2034	14	250	frost (n.)
98	the fruit	1507	378	1052	fruit (n.)
99	the goat	1502	276	247	goat (n.)
100	the grass	606	436	1062	grass, where a broom is made of. (n.)
101	the hail	609	13	535	hail (n.)
102	the hair (of the head)	1040	75	300	grow (crops, hair), begin to sprout (vi-1 [1: lim-])
103	the hand	1277	107		
104	the head	1256	74	643	head (n.)
105	the heart	1223	144	219	heart (n.)
106	the hoof	152	264		
107	the horn (keratinized skin)	1393	263	586	horn (n.)
108	the horse	615	268		
109	the house	1252	494	1363	house (n.)
110	the husband	1200	247	817	husband (n.)
