NUMBER	ENGLISH	CONCEPTICON_ID	TBL_ID	SRCID	SRCGLOSS
#<<<
29	I [first person singular]	1209	928	821	I, me. (pro.)
29	I [first person singular]	1209	928	1215	make into rolls, form into rolls (e.g. <i>maNdɔk</i>) (vt.)
29	I [first person singular]	1209	928	1264	1) (said of the <i>waser:i</i> or water nymph) afflict someone by causing infected wounds, furuncles, carbuncles or tooth decay 2) make ill, cause to be ill (said of an ingested foodstuff through non-observance of a ritual or food taboo) (vt.)
29	I [first person singular]	1209	928	1302	earthenware <i>kunda</i> (n.)
29	I [first person singular]	1209	928	1311	1) the ground powder of a certain tuber, an essential ingredient in the preparation of <i>thi:</i>; 2) poet., same as <i>thi:</i> (n.)
29	I [first person singular]	1209	928	1312	add <i>khe:dɛʔl</i>, season with <i>khe:dɛʔl</i> (vt.)
29	I [first person singular]	1209	928	1916	small bowl, cup or beaker for <i>yumma:ʔl</i> (n.)
#>>>
#<<<
1	above	1741	731	708	above; upstairs; up. (adv.)
1	above	1741	731	1973	above (postp.)
#>>>
2	all	98	962	490	1) all, every; 2) everyone, everything. (1) num. 2) n.)
3	bad	1292	1053	1063	good, nice. (adj.)
#<<<
4	below, under	1485	732	94	underneath, underside, below, under (n.)
4	below, under	1485	732	1763	below, downstairs. (adv.)
#>>>
#<<<
5	big	1202	964	861	1) big, large; 2) adj.n.m., firstborn (of siblings and offspring); tumma adj.n.f. first-born (of siblings and offspring). (adj.)
5	big	1202	964	1761	be large (vi.)
5	big	1202	964	2274	large, big. (adj.)
#>>>
#<<<
6	black	163	1005	1670	black (adj.n.)
6	black	163	1005	1877	black (adj.)
6	black	163	1005	1880	black (adj.)
6	black	163	1005	1879	black or charred embers (n.)
6	black	163	1005	1882	black, blackkind; a black one (adj.n.)
#>>>
7	cold (of temperature)	1287	1063		???
#<<<
8	correct (right)	1725	1045	38	meet, fit, make sense, be correct or fitting, come together, be reconciled (vi.)
8	correct (right)	1725	1045	878	correct, O.K., alright. (adv.)
8	correct (right)	1725	1045	914	right (antonym: phɛnchaN left). (adv.)
8	correct (right)	1725	1045	1966	true, real (adj.adv.)
#>>>
9	dark	706	1013	2127	at night, from midnight to dawn (adv.)
10	dirty	1230	1086		???
#<<<
11	dry	1398	1028	403	dry (meat) (vt.)
11	dry	1398	1028	1271	dry (meat) (vi.)
11	dry	1398	1028	563	dry in the sun; dry (inedible, eg. sapla, te:ʔl) at the edge of a fire (vi.)
11	dry	1398	1028	952	dry or warm up at the edge of a fire (of something animate or edible) (vi.)
11	dry	1398	1028	953	dry (something edible or clay slingshot pellets) at the edge of a fire (vt.)
#>>>
12	early	672	1018	248	be on time, be early; be fast, be quick (vi.)
13	eight	1705	804	2267	eight (num.col.)
#<<<
14	far	1406	974	894	be far, be faraway (vi.)
14	far	1406	974	2156	distant (adj. adv.)
#>>>
15	firewood	10	534		???
