NUMBER	ENGLISH	CONCEPTICON_ID	TBL_ID	SRCID	SRCGLOSS
#<<<
29	I [first person singular]	1209	928	34	lair, nest or any kind of animal <i>hideout</i> (n.)
29	I [first person singular]	1209	928	52	a kind of tree, <i>Vigna</i> <i>catjang.</i> (n.)
29	I [first person singular]	1209	928	81	that, that one, he, she; <i>akkosäʔ</i> <i>;</i> <i>akkoeʔ</i> <i>;</i> <i>akkweʔ</i> ergative/instrumental; <i>akkoji</i> non-singular independent form; <i>akkha</i> plural dependent form; <i>akkhaji</i> plural independent form (demons.pron.)
29	I [first person singular]	1209	928	116	large, sword-like knife, larger than a <i>ta:biya.</i> (n.)
29	I [first person singular]	1209	928	176	a species of tree, <i>Pilea</i> <i>wightii.</i> (n.)
29	I [first person singular]	1209	928	197	stick used by porters on which to rest a <i>?hoko</i> (a basket used to transport goods on foot) (n.)
29	I [first person singular]	1209	928	240	male fern, <i>Driopteris</i> <i>filix.</i> (n.)
29	I [first person singular]	1209	928	275	a kind of knife, a bit larger than a <i>khoʔiriŋma.</i> (n.)
29	I [first person singular]	1209	928	277	a species of tree, <i>Ficus</i> <i>lacor.</i> (n.)
29	I [first person singular]	1209	928	1734	a species of tree, <i>Ficus</i> <i>lacor.</i> (n.)
29	I [first person singular]	1209	928	326	who; <i>asäʔ</i> <i>ergative</i> (interrog.)
29	I [first person singular]	1209	928	351	feminine of <i>sibaŋsi.</i> (n.)
29	I [first person singular]	1209	928	352	(used when calling a male person names) in the expression <i>sibaŋsi</i> <i>mabaŋsi</i> or <i>sibaŋ</i> <i>mabaŋ,</i> or only <i>sibaŋ:</i> you rascal, you good for nothing. (n.)
29	I [first person singular]	1209	928	391	Spanish pepper, red pepper, <i>Capsicum</i> <i>annum.</i> (n.)
29	I [first person singular]	1209	928	396	a species of tree, <i>Erythryna</i> <i>indica.</i> (n.)
29	I [first person singular]	1209	928	457	a species of tree, <i>Quercus</i> <i>lineata,</i> <i>Quercus</i> <i>glauca</i> (n.)
29	I [first person singular]	1209	928	462	from around here, designates a less precise area than <i>igoba.</i> (demons.adv.)
29	I [first person singular]	1209	928	463	here, around here; designates a less precise area than <i>igobeʔ</i> (demons.adv.)
29	I [first person singular]	1209	928	478	this, this one; <i>igosäʔ</i> <i>;</i> <i>igoeʔ</i> <i>;</i> <i>igweʔ</i> <i>;</i> <i>igonäʔ</i> <i>ergative;</i> <i>igoji</i> <i>non-singular</i> independent form; <i>igha</i> plural dependent form; <i>ighaji</i> plural independent form (demons.pron.)
29	I [first person singular]	1209	928	494	guava tree, <i>Psidium</i> <i>guajava.</i> (n.)
29	I [first person singular]	1209	928	502	a species of tree, Nepalese hog plum, <i>Spondias</i> <i>axillaris.</i> (n.)
29	I [first person singular]	1209	928	520	to attempt, to endeavour, to give a try, generally without succeeding in the attempt; intransitive counterpart of <i>pr̂iʔma</i> (v.intr.aux.)
29	I [first person singular]	1209	928	528	hard turd; agent participle of <i>eʔma</i> 'to <i>shit'</i> (n.)
29	I [first person singular]	1209	928	548	1) <i>v.intr.</i> to hang; 2) <i>v.intr.</i> to bear fruit 3) <i>v.tr.</i> (only in combination with the transitive auxiliary -tima 'to apply') (v.intr. &amp; v.tr.)
29	I [first person singular]	1209	928	587	a species of tree, <i>Aconogonum</i> <i>molle.</i> (n.)
29	I [first person singular]	1209	928	606	a sequence of suffixes consisting of the factitive suffix &lt;-ä ; -e> (FCT)</i> and the attributive nominaliser <i>&lt;-ma</i> <i>;</i> <i>-m-></i> (ATNR),</i> and used to nominalise an infinitive, creating a noun meaning 'about the V-ing', 'on the subject of V-ing' (suffix.)
29	I [first person singular]	1209	928	637	expresses that the situation denoted by the main verb was contrary to expectation; intransitive counterpart of <i>-triʔma</i> (v.intr.aux.)
29	I [first person singular]	1209	928	672	cave, larger than a <i>rummuk.</i> (n.)
29	I [first person singular]	1209	928	695	the plant <i>Perilla</i> <i>frutescens.</i> (n.)
29	I [first person singular]	1209	928	701	red Himalayan bamboo, <i>Arundinaria</i> <i>artistata.</i> (n.)
29	I [first person singular]	1209	928	768	Himalayan bamboo, <i>Arundinaria</i> <i>intermedia/falcata/aristata.</i> (n.)
29	I [first person singular]	1209	928	797	to winnow with a <i>naŋlo</i> (a round, flat, plaited sort of tray with a diameter of about 55 cm) by shaking it to and fro, especially to separate polished from unpolished grains while working with the rice-husker. (v.tr.)
29	I [first person singular]	1209	928	811	to winnow by means of a <i>naŋlo</i> (a round, flat, plaited sort of tray with a diameter of about 55 cm) by moving it to and fro. (v.intr. &amp; v.tr.)
29	I [first person singular]	1209	928	836	bent, curved, crooked; adverbial participle of <i>tuŋma</i> (adv.)
29	I [first person singular]	1209	928	838	existential and locative to be, negated lexically by means of <i>maʔama.</i> (v.intr.)
29	I [first person singular]	1209	928	899	a species of tree, <i>Schima</i> <i>wallichii.</i> (n.)
29	I [first person singular]	1209	928	904	one of the sixteen <i>cakkhqaŋma,</i> or evil female spirits, which afflict people with diseases. (n.)
29	I [first person singular]	1209	928	934	a species of tree, <i>Lilium</i> <i>Nepalense.</i> (n.)
29	I [first person singular]	1209	928	947	feminine of <i>taŋba.</i> (n. &amp; suffix.)
29	I [first person singular]	1209	928	1017	a species of edible root found in the jungle, harder of texture than <i>naŋ-khi,</i> also called <i>nambhuŋla</i> <i>naŋ-khi,</i> forest <i>naŋ-khi.</i> (n.)
29	I [first person singular]	1209	928	1080	a type of <i>naŋlo</i> (a round, flat, plaited sort of tray with a diameter of about 55 cm) which has holes and is used as a sieve. (n.)
29	I [first person singular]	1209	928	1103	lame; feminine <i>soguma.</i> (n. &amp; adj.)
29	I [first person singular]	1209	928	1104	stinging nettle, <i>Urtica</i> <i>dioca.</i> (n.)
29	I [first person singular]	1209	928	1105	<i>earring.</i> (n.)
29	I [first person singular]	1209	928	1130	a species of chestnut tree, <i>Castonopsis</i> <i>tribuloides.</i> (n.)
29	I [first person singular]	1209	928	1283	jungle tree from which the sour fruit is used for culinary purposes, Chinese sumac, <i>Rhus</i> <i>javanica.</i> (n.)
29	I [first person singular]	1209	928	1302	first person singular, I (pron.)
29	I [first person singular]	1209	928	1314	large wooden pestle used with a <i>summak.</i> (n.)
29	I [first person singular]	1209	928	1353	a species of tree of which the sour fruit is used for culinary purposes, Chinese sumac, <i>Rhus</i> <i>javanica.</i> (n.)
29	I [first person singular]	1209	928	1366	to run off, to clear out; slang expression for <i>ci:ʔma</i> (v.intr.)
29	I [first person singular]	1209	928	1403	mugwort, <i>Artemisia</i> <i>vulgaris.</i> (n.)
29	I [first person singular]	1209	928	1418	see <u>lo</u> <i>III.</i>
29	I [first person singular]	1209	928	1852	see <u>lo</u> <i>III.</i>
29	I [first person singular]	1209	928	1442	a species of tree, Mountain ebony, <i>Bauhenia</i> <i>variegata.</i> (n.)
29	I [first person singular]	1209	928	1591	a species of tree, <i>Maesa</i> <i>chisia.</i> (n.)
29	I [first person singular]	1209	928	1623	a species of edible root, <i>Dioscorea</i> <i>sagittata.</i> (n.)
29	I [first person singular]	1209	928	1625	to ask for, to request, to beg, also <i>ŋa:kma.</i> (v.intr. &amp; v.tr.)
29	I [first person singular]	1209	928	1661	a species of creeper, <i>Mucuna</i> <i>monosperma</i> or <i>Mucuna</i> <i>macrocarpa.</i> (n.)
29	I [first person singular]	1209	928	1677	a species of plant, <i>Artokarpus.</i> (n.)
29	I [first person singular]	1209	928	1703	to offer as a sacrifice, especially in the combinations <i>haŋ.di.ma</i> (sacrifice.apply.INF)</i> and <i>haŋ.be.ma</i> (sacrifice.RES.INF).</i> (v.tr.)
29	I [first person singular]	1209	928	1705	in the expression <i>haŋ.ne.ghäʔ.ma</i> (be_excited.to_death.PROC.INF)</i> <i>v.tr.</i> to be full of excitement, to be eager. (v.tr.)
29	I [first person singular]	1209	928	1771	the name of an ancestral spring or <i>cawa</i> near <i>Syāksilā,</i> <i>Okteŋwajawa.</i> (n.)
29	I [first person singular]	1209	928	1801	to place on a fire, to put a cooking vessel on the hearth; antonym: <i>läʔma</i> (v.tr.)
29	I [first person singular]	1209	928	1803	a species of bird; alternative form of <i>thaŋgemba.</i> (n.)
29	I [first person singular]	1209	928	1806	the fruit of the <i>Mucuna</i> <i>monosperma</i> or <i>Mucuna</i> <i>macrocarpa.</i> (n.)
29	I [first person singular]	1209	928	1821	to neglect, to not do what must be done; also <i>pho:ma</i> (v.intr.)
29	I [first person singular]	1209	928	1900	alternative for <i>sibaŋni.</i> (n.)
29	I [first person singular]	1209	928	1904	the place where leaves etc. are dried above the <i>kheʔma.</i> (n.)
29	I [first person singular]	1209	928	1953	a species of tree, <i>Thysanolaena</i> <i>maxima.</i> (n.)
#>>>
1	above	1741	731	561	above, in a higher place. (suffix.)
#<<<
2	all	98	962	40	at all, ever (adv.)
2	all	98	962	507	every, each. (suffix.)
2	all	98	962	591	all, only, nothing but (adj.redupl. &amp; adv.redupl.)
2	all	98	962	608	everything, all (n.)
#>>>
#<<<
3	bad	1292	1053	1182	to be bad, to be unpleasant (v.intr.aux.)
3	bad	1292	1053	1380	bad (adj.)
3	bad	1292	1053	1488	good (adj.)
#>>>
4	below, under	1485	732	21	under, below. (suffix.)
#<<<
5	big	1202	964	115	large, square basket for drying things above the fireplace (n.)
5	big	1202	964	116	large, sword-like knife, larger than a <i>ta:biya.</i> (n.)
5	big	1202	964	620	big, large (adj.)
5	big	1202	964	1224	big, round basket which is made for carrying grass on the back. (n.)
5	big	1202	964	1273	to be big, to be large (v.intr.)
5	big	1202	964	1360	big, flat rock, typically a rock on which one dries grain. (n.)
5	big	1202	964	1374	big, flat rock. (n.)
5	big	1202	964	1458	to be big (v.intr.stat.)
5	big	1202	964	1715	large, earthenware pitcher in which millet is put to ferment. (n.)
#>>>
6	black	163	1005	1645	black, largish bee. (n.)
7	cold (of temperature)	1287	1063	1085	1) <i>v.semi.tr.</i> to attach itself; pertains to bodily sensations like hunger, thirst, cold, heat and sweat 2) <i>v.intr.</i> <i>&amp;</i> <i>v.tr.</i> expresses continuous tense with an instrumental gerund as complement (v.semi.tr. &amp; v.intr. &amp; v.tr.)
8	correct (right)	1725	1045	1464	true, truly, really (adj. &amp; adv.)
9	dark	706	1013		???
10	dirty	1230	1086	1265	dirty, grimy from eating (adj.redupl.)
#<<<
11	dry	1398	1028	625	dry, dried up (adj.)
11	dry	1398	1028	1958	to dry, to be dried (v.intr.)
#>>>
12	early	672	1018		???
13	eight	1705	804		???
14	far	1406	974		???
15	firewood	10	534		???
16	five	493	801		???
17	four	1500	800		???
18	full	1429	984	1720	full, heaped above the brim. (adj.)
#<<<
19	good	1035	1052	1488	good (adj.)
