# Wordlist

# DATA
ID	DOCULECT	CONCEPT	GLOSS_IN_SOURCE	IPA	TOKENS	SOURCE	COGID	TBL_ID	NOTE
#
1	Kulung	I [first person singular]	I (pron.)	kɔN	k ɔ ŋ	Tolsma1999	0	928	Nepali: ma. (Tolsma1999)
#
2	Kulung	above	above, up (adv.)	tɔ:ptɔ	t ɔ: p t ɔ	Tolsma1999	0	731	Nepali: māthi. (Tolsma1999)
#
3	Kulung	all	all (adv.)	tɔ:tɔ	t ɔ: t ɔ	Tolsma1999	0	962	Nepali: jammai. (Tolsma1999)
4	Kulung	all	all, every (adv.)	khɔ:lɔ	kʰ ɔ: l ɔ	Tolsma1999	0	962	Nepali: sab. (Tolsma1999)
#
5	Kulung	bad	bad, useless, worthless. (adj.)	mannǝpa	m a n n ǝ p a	Tolsma1999	0	1053	
#
6	Kulung	big	big, fat (adj.)	depa	d e p a	Tolsma1999	0	964	Nepali: ṭhūlo, moṭo. (Tolsma1999)
#
7	Kulung	black	black (adj.)	gugurpa	g u g u r p a	Tolsma1999	0	1005	Nepali: kālo. (Tolsma1999)
#
8	Kulung	cold (of temperature)	cold, cool (adj.)	chikchilikpa	tsʰ i k tsʰ i l i k p a	Tolsma1999	0	1063	Nepali: ciso. (Tolsma1999)
#
9	Kulung	dry	be dry (grains, leaves, grass, etc.). (vi-1 [1: har-])	harma	h a r m a	Tolsma1999	0	1028	
#
10	Kulung	early	soon, early. (adv.)	nus	n u s	Tolsma1999	0	1018	
#
11	Kulung	far	far, distant (adv.)	chuburi	tsʰ u b u r i	Tolsma1999	0	974	Nepali: ṭāḍhā. (Tolsma1999)
#
12	Kulung	firewood	firewood (n.)	siN	s i ŋ	Tolsma1999	0	534	Nepali: dāurā. (Tolsma1999)
#
13	Kulung	five	five (num.)	Naci	ŋ a ts i	Tolsma1999	0	801	Nepali: pāṃc. (Tolsma1999)
#
14	Kulung	four	four. (num.)	li:ci	l i: ts i	Tolsma1999	0	800	
#
15	Kulung	good	good (adj.)	nǝpa	n ǝ p a	Tolsma1999	0	1052	Nepali: rāmro. (Tolsma1999)
#
16	Kulung	green	blue, green, young (of firewood), unripe, uncooked (adj.)	gigippa	g i g i p p a	Tolsma1999	0	1009	Nepali: hariyo, nilo, kāco. (Tolsma1999)
#
17	Kulung	hard	be hard (not soft) (vi-3 [1: chɔk- 2: chɔ:-])	chɔ:ma	tsʰ ɔ: m a	Tolsma1999	0	1034	Nepali: sāhro hunu. (Tolsma1999)
