CONCEPT	CONCEPT_IN_SOURCE	ENTRY_IN_SOURCE	IPA	TOKENS	NOTE	Zhao2006, 84
I	我	xe55nJi44	-	Zhao2006, 185:3
all	全部	mi44phi33phi33	-	Zhao2006, 185:3
and	和	cJE55tsi33	-	Zhao2006, 186:3
the animal	动物			Zhao2006, 184:2
the ashes	草木灰			Zhao2006, 184:1
the back	背			Zhao2006, 184:2
bad	坏			Zhao2006, 185:1
the bark	树皮			Zhao2006, 184:3
because	因为			Zhao2006, 186:3
the belly	肚子			Zhao2006, 184:2
big	大			Zhao2006, 184:3
the bird	鸟			Zhao2006, 184:2
black	黑			Zhao2006, 185:1
the blood	血			Zhao2006, 184:2
the bone	骨头			Zhao2006, 184:2
the breast	乳房			Zhao2006, 184:2
the child	小孩子			Zhao2006, 184:2
the cloud	云			Zhao2006, 184:1
cold	冷			Zhao2006, 184:3
the day	天			Zhao2006, 186:1
dirty	脏			Zhao2006, 185:1
the dog	狗			Zhao2006, 184:2
dry	干			Zhao2006, 185:1
dull	呆笨	This is an erroneous translation of original concept "dull". the			Zhao2006, 185:1
the ear	耳朵			Zhao2006, 184:1
the earth	土地			Zhao2006, 184:1
the egg	蛋			Zhao2006, 184:3
the evening	晚上			Zhao2006, 186:1
the eye	眼睛			Zhao2006, 184:1
far	远			Zhao2006, 185:1
the fat	脂肪			Zhao2006, 184:3
the father	父亲			Zhao2006, 184:2
the feather	羽毛			Zhao2006, 184:3
few	少			Zhao2006, 184:3
the fire	火			Zhao2006, 184:1
the fish	鱼			Zhao2006, 184:2
five	五			Zhao2006, 184:3
the flower	花			Zhao2006, 184:3
the fog	雾			Zhao2006, 184:1
the foot	脚			Zhao2006, 184:2
the forest	森林			Zhao2006, 184:1
four	四			Zhao2006, 184:3
the fruit	水果			Zhao2006, 184:3
full	满			Zhao2006, 185:1
good	好			Zhao2006, 185:1
the grass	草			Zhao2006, 184:3
green	绿			Zhao2006, 185:1
the hair	头发			Zhao2006, 184:1
the hand	手			Zhao2006, 184:2
he	他			Zhao2006, 185:3
the head	头			Zhao2006, 184:1
the heart	心			Zhao2006, 184:2
heavy	重			Zhao2006, 185:1
here	这里			Zhao2006, 185:3
the horn	角			Zhao2006, 184:3
how	怎么			Zhao2006, 185:3
the husband	丈夫			Zhao2006, 184:2
the ice	冰			Zhao2006, 184:1
if	如果			Zhao2006, 186:3
in	在			Zhao2006, 185:3
