# Wordlist

# META
@modified:2015-01-20 10:39

# DATA
ID	GLOSS_IN_SOURCE	SOURCE	ENTRY_IN_SOURCE	POS	CHINESE_GLOSS	DOCULECT	IPA	CONCEPT	ID_IN_SOURCE	PST
#
1	alcoholic beverage	Wang2006a	tsvŋ33	?	?	Tuoluo	t͡sɤŋ₃₃	alcohol	452	CVcT
2	alcoholic beverage	Wang2006a	tsoŋ22	?	?	Gongxing	t͡soŋ₂₂	alcohol	452	CVcT
3	alcoholic beverage	Wang2006a	tso22	?	?	Enqi	t͡so₂₂	alcohol	452	CVT
4	alcoholic beverage	Wang2006a	tsõ22	?	?	Ega	t͡sõ₂₂	alcohol	452	CVT
5	alcoholic beverage	Wang2006a	tsŋ22	?	?	Jinman	t͡sŋ₂₂	alcohol	452	CcT
6	alcoholic beverage	Wang2006a	tsṽ33	?	?	Jinxing	t͡sɤ̃₃₃	alcohol	452	CVT
7	alcoholic beverage	Wang2006a	tsõ33	?	?	Dashi	t͡sõ₃₃	alcohol	452	CVT
8	alcoholic beverage	Wang2006a	tsi33	?	?	Zhoucheng	t͡si₃₃	alcohol	452	CVT
9	alcoholic beverage	Wang2006a	tsoŋ33	?	?	Mazhelong	t͡soŋ₃₃	alcohol	452	CVcT
10	alcohol(drink)	Allen2007	tsɤ̃33	?	酒	Jianchuan	t͡sɤ̃₃₃	alcohol	204	CVT
11	alcohol(drink)	Allen2007	tsɤ33	?	酒	Eryuan	t͡sɤ₃₃	alcohol	204	CVT
12	alcohol(drink)	Allen2007	tsũɔ̃33	?	酒	Heqi	t͡sũɔ̃₃₃	alcohol	204	CVT
13	alcohol(drink)	Allen2007	tsõ44	?	酒	Lanping	t͡sõ₄₄	alcohol	204	CVT
14	alcohol(drink)	Allen2007	tsɿ33	?	酒	Qiliqiao	t͡sɿ₃₃	alcohol	204	CVT
15	alcohol(drink)	Allen2007	dzɿ33	?	酒	Yunlong	d͡zɿ₃₃	alcohol	204	CVT
16	alcohol(drink)	Allen2007	jɛ̃33	?	酒	Xiangyun	jɛ̃₃₃	alcohol	204	CVT
17	alcohol(drink)	Allen2007	tsõ33	?	酒	Luobenzhuo	t͡sõ₃₃	alcohol	204	CVT
#
18	ant	Wang2006a	tɕien55(ɕaŋ55)	?	?	Tuoluo	t͡ɕien₅₅ɕaŋ₅₅	ant	365	CVcTCVcT
19	ant	Wang2006a	dzu12bu12	?	?	Gongxing	d͡zu₁₂bu₁₂	ant	365	CVTCVT
20	ant	Wang2006a	tsu43pɯ21	?	?	Enqi	t͡su₄₃pɯ₂₁	ant	365	CVTCVT
21	ant	Wang2006a	tɕi21pɯ21	?	?	Ega	t͡ɕi₂₁pɯ₂₁	ant	365	CVTCVT
22	ant	Wang2006a	tɕi21pɯ21	?	?	Jinman	t͡ɕi₂₁pɯ₂₁	ant	365	CVTCVT
23	ant	Wang2006a	pien21põ21	?	?	Jinxing	pien₂₁põ₂₁	ant	365	CVcTCVT
24	ant	Wang2006a	pi21po21	?	?	Dashi	pi₂₁po₂₁	ant	365	CVTCVT
25	ant	Wang2006a	pi21pɯ21	?	?	Zhoucheng	pi₂₁pɯ₂₁	ant	365	CVTCVT
26	ant	Wang2006a	pi55pǝɯ21	?	?	Mazhelong	pi₅₅pǝɯ₂₁	ant	365	CVTCVT
27	ant	Allen2007	pĩ21po21tsɿ33	?	蚂蚁	Jianchuan	pĩ₂₁po₂₁t͡sɿ₃₃	ant	74	CVTCVTCVT
28	ant	Allen2007	pi21pɯ31	?	蚂蚁	Eryuan	pi₂₁pɯ₃₁	ant	74	CVTCVT
29	ant	Allen2007	pi21pɯ21tsɿ33	?	蚂蚁	Heqi	pi₂₁pɯ₂₁t͡sɿ₃₃	ant	74	CVTCVTCVT
30	ant	Allen2007	pi33pao33tsɿ44	?	蚂蚁	Lanping	pi₃₃pao₃₃t͡sɿ₄₄	ant	74	CVTCVTCVT
31	ant	Allen2007	pi21pɯ31	?	蚂蚁	Qiliqiao	pi₂₁pɯ₃₁	ant	74	CVTCVT
32	ant	Allen2007	pi21pɯ31	?	蚂蚁	Yunlong	pi₂₁pɯ₃₁	ant	74	CVTCVT
33	ant	Allen2007	pi21pou21tsɿ33	?	蚂蚁	Xiangyun	pi₂₁pou₂₁t͡sɿ₃₃	ant	74	CVTCVTCVT
34	ant	Allen2007	tɕi31pɯ21	?	蚂蚁	Luobenzhuo	t͡ɕi₃₁pɯ₂₁	ant	74	CVTCVT
#
35	ask; question	Wang2006a	tʂua42	verb	?	Tuoluo	t͡ʂua₄₂	ask	1708	CVT
36	ask; question	Wang2006a	tɕuɛ24	verb	?	Gongxing	t͡ɕuɛ₂₄	ask	1708	CVT
37	ask; question	Wang2006a	piæ55	verb	?	Enqi	piæ₅₅	ask	1708	CVT
38	ask; question	Wang2006a	tɕya44	verb	?	Ega	t͡ɕya₄₄	ask	1708	CVT
39	ask; question	Wang2006a	tɕua55	verb	?	Jinman	t͡ɕua₅₅	ask	1708	CVT
