OMEGAWIKI	IPA	TOKENS	SCAID	SOURCE	GLOSS_IN_SOURCE	ENTRY_IN_SOURCE	ALIGNMENT
5466	d͡zao₁₂	d͡z a o ₁₂	222	Wang2006a, 353	worm	dzao12	d͡z a o ₁₂
5980	ɕi₂₄	ɕ i ₂₄	645	Wang2006a, 356	louse	ɕi24	ɕ i ₂₄
5599	t͡ɕyen₅₅	t͡ɕ y e n ₅₅	970	Wang2006a, 61	salt	tɕyen55	t͡ɕ y e n ₅₅
5482	ku₂₂	k u ₂₂	798	Wang2006a, 1493	old	ku22	k u ₂₂
3269	te₂₄	t e ₂₄	945	Wang2006a, 375	root	te24	t e ₂₄
5485	uen₂₂	u e n ₂₂	1354	Wang2006a, 1064	lukewarm	uen22	- u e n ₂₂
5463	mu₂₂	m u ₂₂	717	Wang2006a, 219	mother	mu22	m u ₂₂
7039	hen₅₅	h e n ₅₅	1037	Wang2006a, 1	sky	hen55	h e n ₅₅
2421	sao₄₂	s a o ₄₂	731	Wang2006a, 23	mountain	sao42	s a o ₄₂
961244	gɯ₁₂	g ɯ ₁₂	1	Wang2006a, 1502	(water flow)	gɯ12	g ɯ ₁₂
400	t͡su₂₄	t͡s u ₂₄	54	Wang2006a, 326	bird	tsu24	t͡s u ₂₄
966	qʰuaŋ₂₂	qʰ u a ŋ ₂₂	163	Wang2006a, 289	dog	qʰuaŋ22	qʰ u a ŋ ₂₂
6055	zyen₄₂	z y e n ₄₂	1321	Wang2006a, 1806	turn around	zyen42	z y e n ₄₂
3388	t͡ʂʰi₂₂	t͡ʂʰ i ₂₂	1067	Wang2006a, 347	snake	tʂʰi22	t͡ʂʰ i ₂₂
3388	t͡ʂʰi₂₂	t͡ʂʰ i ₂₂	1067	Wang2006a, 347	snake	tʂʰi22	t͡ʂʰ i ₂₂
4160	t͡ɕyen₅₅	t͡ɕ y e n ₅₅	1425	Wang2006a, 9	wind	tɕyen55	t͡ɕ y e n ₅₅
7709	qʰu₂₂₄	qʰ u ₂₂₄	148	Wang2006a, 1485	cry (verb or noun?, should be made clear later on)	qʰu224	qʰ u ₂₂₄
3451	xui₂₂ɕi₅₅	x u i ₂₂ ɕ i ₅₅	1058	Wang2006a, 19	smoke	xui22ɕi55	x u i ₂₂ ɕ i ₅₅
6017	t͡suɛ₂₄	t͡s u ɛ ₂₄	1121	Wang2006a, 1405	squeeze (for milk)	tsuɛ24	t͡s u ɛ ₂₄
3455	suɛ₄₂	s u ɛ ₄₂	1077	Wang2006a, 12	snow	suɛ42	s u ɛ ₄₂
443659	d͡zan₁₂	d͡z a n ₁₂	386	Wang2006a, 1052	good	dzan12	d͡z a n ₁₂
5650	quɛ₄₂	q u ɛ ₄₂	17	Wang2006a, 1053	bad (things)	quɛ42	q u ɛ ₄₂
446278	di₂₄miɛ₁₂	d i ₂₄ m i ɛ ₁₂	413	Wang2006a, 75	hair	[di24miɛ12]	d i - ₂₄ m i ɛ ₁₂
5439	d͡ʑua₂₁	d͡ʑ u a ₂₁	29	Wang2006a, 1438	to bark	dʑua21	d͡ʑ u a ₂₁
3361	t͡soŋ₂₂	t͡s o ŋ ₂₂	984	Wang2006a, 405	seed	tsoŋ22	t͡s o ŋ ₂₂
7800	ban₄₂	b a n ₄₂	537	Wang2006a, 1160	to be ill	ban42	b a n ₄₂
6457	bu₁₂	b u ₁₂	330	Wang2006a, 1553	float	bu12	b u ₁₂
509787	hen₅₅mæ₁₂	h e n ₅₅ m æ ₁₂	1281	Wang2006a, 8	thunder	hen55mæ12	h e n ₅₅ m æ ₁₂
1446	xuɛ₂₂	x u ɛ ₂₂	316	Wang2006a, 18	fire	xuɛ22	x u ɛ ₂₂
5995	ɲuɛ₅₅	ɲ u ɛ ₅₅	747	Wang2006a, 687	name	ɲuɛ55	ɲ u ɛ ₅₅
6312	dʐi₂₁	d ʐ i ₂₁	1203	Wang2006a, 806	ten	dʐi21	d ʐ i ₂₁
6059	zi₄₂	z i ₄₂	375	Wang2006a, 1345	give	zi42	z i ₄₂
6041	san₅₅	s a n ₅₅	1128	Wang2006a, 5	star	san55	s - a n ₅₅
156096	saŋ₂₄	s a ŋ ₂₄	1276	Wang2006a, 799	three	saŋ24	s a ŋ ₂₄
5951	t͡ʂɚ₅₅	t͡ʂ ɚ ₅₅	780	Wang2006a, 578	needle	tʂɚ55	t͡ʂ ɚ ₅₅
950344	ʣu₁₂	ʣ u ₁₂	541	Wang2006a, 149	intestine; guts	dzu12	ʣ u ₁₂
6042	soŋ₅₅	s o ŋ ₅₅	362	Wang2006a, 14	frost	soŋ55	s - o ŋ ₅₅
5983	qua₂₄	q u a ₂₄	97	Wang2006a, 133	bone	qua24	q u a ₂₄ - - - -
5440	djɛ₂₁	d j ɛ ₂₁	1292	Wang2006a, 139	tongue	djɛ21	d j ɛ ₂₁
5639	ga₁₂	g a ₁₂	136	Wang2006a, 1063	cold	ga12	g a ₁₂
869106	d͡ʑien₂₂	d͡ʑ i e n ₂₂	758	Wang2006a, 975	near	dʑien22	d͡ʑ i e n ₂₂
340828	sen₄₂	s e n ₄₂	251	Wang2006a, 450	egg	sen42	s e n ₄₂
7004	t͡ɕʰi₂₄	t͡ɕʰ i ₂₄	999	Wang2006a, 803	seven	tɕʰi24	t͡ɕʰ i ₂₄
1333710	tʰæ₄₂	tʰ æ ₄₂	910	Wang2006a, 1007	red	tʰæ42	tʰ æ ₄₂
478515	kao₄₂	k a o ₄₂	627	Wang2006a, 1452	live; reside	kao42	k a o ₄₂
3854	dʐi₄₂	d ʐ i ₄₂	1310	Wang2006a, 372	tree	dʐi42	d ʐ i ₄₂
1533	dʐi₁₂goŋ₅₅	d ʐ i ₁₂ g o ŋ ₅₅	357	Wang2006a, 50	forest	dʐi12goŋ55	d ʐ i ₁₂ g o ŋ ₅₅
3253	qoŋ₅₅	q o ŋ ₅₅	934	Wang2006a, 30	river	qoŋ55	q o ŋ ₅₅
5438	d͡ʑou₁₂	d͡ʑ o u ₁₂	637	Wang2006a, 972	long	dʑou12	d͡ʑ o u ₁₂
5476	qaŋ₅₅	q a ŋ ₅₅	632	Wang2006a, 145	liver	qaŋ55	q a ŋ ₅₅
5503	ɢe₂₂	ɢ e ₂₂	1230	Wang2006a, 980	thick	ɢe22	ɢ e ₂₂
1499731	tjen₅₅	t j e n ₅₅	596	Wang2006a, 710	left	tjen55	t j e n ₅₅
