OMEGAWIKI	IPA	TOKENS	SCAID	SOURCE	GLOSS_IN_SOURCE	ENTRY_IN_SOURCE	ALIGNMENT
5466	xua₅₅tʰu₃₃t͡sũɔ̃₂₁	x u a ₅₅ tʰ u ₃₃ t͡s ũ ɔ̃ ₂₁	226	Allen2007, 81	earthworm / 蚯蚓	xua55tʰu33tsũɔ̃21	x u a ₅₅ tʰ u ₃₃ t͡s ũ ɔ̃ ₂₁
7027	pʰɛ̃₅₅	pʰ ɛ̃ ₅₅	1388	Allen2007, 420	wet / 湿	pʰɛ̃55	pʰ ɛ̃ ₅₅
7027	ɕy₃₃t͡ɕi₃₁	ɕ y ₃₃ t͡ɕ i ₃₁	1380	Allen2007, 18	wet / 水田	ɕy33tɕi31	ɕ y ₃₃ t͡ɕ i ₃₁
5980	ɕi₄₄	ɕ i ₄₄	645	Allen2007, 78	louse / 虱子	ɕi44	ɕ i ₄₄
5599	pĩ₃₅	p ĩ ₃₅	972	Allen2007, 200	salt / 盐	pĩ35	p ĩ ₃₅
5482	ku₃₃	k u ₃₃	798	Allen2007, 415	old / 老	ku33	k u ₃₃
5429	fɤ₃₃tiɯ₂₁	f ɤ ₃₃ t i ɯ ₂₁	1420	Allen2007, 164	wife / 妻子	fɤ33tiɯ21	f ɤ ₃₃ t i ɯ ₂₁
336072	ta₃₁	t a ₃₁	1135	Allen2007, 343	steal / 偷	ta31	t a ₃₁
3269	mi₄₄	m i ₄₄	948	Allen2007, 115	root / 根	mi44	m i ₄₄
5485	wẽ₅₅	w ẽ ₅₅	1357	Allen2007, 435	warm / 暖和	wẽ55	w ẽ ₅₅ - -
496633	sʰũɔ̃₃₁	sʰ ũ ɔ̃ ₃₁	837	Allen2007, 445	painful / 痛	sʰũɔ̃31	sʰ ũ ɔ̃ ₃₁
5463	mɔu₃₃	m ɔ u ₃₃	716	Allen2007, 163	mother / 母亲	mɔu33	m ɔ u ₃₃
7039	xʰẽ₅₅	xʰ ẽ ₅₅	1038	Allen2007, 1	sky / 天	xʰẽ55	xʰ ẽ ₅₅
2421	suɔ₄₂	s u ɔ ₄₂	731	Allen2007, 22	mountain / 山	suɔ42	s u ɔ ₄₂
522875	ŋɛ₂₁	ŋ ɛ ₂₁	1012	Allen2007, 117	shoot,sprout / 芽	ŋɛ21	ŋ ɛ ₂₁
400	t͡sou₄₄t͡sɿ₃₃	t͡s o u ₄₄ t͡s ɿ ₃₃	58	Allen2007, 61	bird / 鸟	tsou44tsɿ33	t͡s o u ₄₄ t͡s ɿ ₃₃
6280	kʰuɔ₃₃	kʰ u ɔ ₃₃	366	Allen2007, 119	fruit / 果	kʰuɔ33	kʰ u ɔ ₃₃
6025	kɛ̃₅₅	k ɛ̃ ₅₅	301	Allen2007, 347	fear / 怕	kɛ̃55	k ɛ̃ ₅₅
966	kʰũã₃₃	kʰ ũ ã ₃₃	163	Allen2007, 50	dog / 狗	kʰũã33	kʰ ũ ã - ₃₃
5528	jĩ₄₄kʰuɔ₃₅	j ĩ ₄₄ kʰ u ɔ ₃₅	1435	Allen2007, 85	wing(bird) / 翅膀	jĩ44kʰuɔ35	j ĩ ₄₄ kʰ u ɔ ₃₅
3388	kʰuɔ₃₃	kʰ u ɔ ₃₃	1070	Allen2007, 70	snake / 蛇	kʰuɔ33	kʰ u ɔ ₃₃
