OMEGAWIKI	IPA	TOKENS	SCAID	SOURCE	GLOSS_IN_SOURCE	ENTRY_IN_SOURCE	ALIGNMENT
5466	ku₅₅lu₅₅t͡su₂₁	k u ₅₅ l u ₅₅ t͡s u ₂₁	230	Allen2007, 81	earthworm / 蚯蚓	ku55lu55tsu21	k u ₅₅ l u ₅₅ t͡s u ₂₁
7027	xɛ₅₅	x ɛ ₅₅	1383	Allen2007, 420	wet / 湿	xɛ55	x ɛ ₅₅
7027	ɕy₃₃t͡ɕi₃₁	ɕ y ₃₃ t͡ɕ i ₃₁	1380	Allen2007, 18	wet / 水田	ɕy33tɕi31	ɕ y ₃₃ t͡ɕ i ₃₁
5980	ɕi₄₄	ɕ i ₄₄	645	Allen2007, 78	louse / 虱子	ɕi44	ɕ i ₄₄
5599	pĩ₅₅	p ĩ ₅₅	972	Allen2007, 200	salt / 盐	pĩ55	p ĩ ₅₅
5482	ku₃₃	k u ₃₃	798	Allen2007, 415	old / 老	ku33	k u ₃₃
5429	vɛ₃₃jĩ₂₁	v ɛ ₃₃ j ĩ ₂₁	1419	Allen2007, 164	wife / 妻子	vɛ33jĩ21	v ɛ ₃₃ j ĩ ₂₁
336072	ta₂₁	t a ₂₁	1135	Allen2007, 343	steal / 偷	ta21	t a ₂₁
3269	te₄₄	t e ₄₄	945	Allen2007, 115	root / 根	te44/mi55	t e ₄₄
5485	wẽ₅₅	w ẽ ₅₅	1357	Allen2007, 435	warm / 暖和	wẽ55	w ẽ ₅₅ - -
496633	sɔ̃₃₁	s ɔ̃ ₃₁	836	Allen2007, 445	painful / 痛	sɔ̃31	s ɔ̃ ₃₁
5463	a₄₄mɔ̃₃₃	a ₄₄ m ɔ̃ ₃₃	719	Allen2007, 163	mother / 母亲	a44mɔ̃33	a ₄₄ m ɔ̃ ₃₃
7039	xẽ₅₅kʰao₃₁	x ẽ ₅₅ kʰ a o ₃₁	1046	Allen2007, 1	sky / 天	xẽ55kʰao31	x ẽ ₅₅ kʰ a o ₃₁
2421	su₃₁	s u ₃₁	728	Allen2007, 22	mountain / 山	su31	s u ₃₁
522875	ŋɛ₂₁	ŋ ɛ ₂₁	1012	Allen2007, 117	shoot,sprout / 芽	ŋɛ21	ŋ ɛ ₂₁
400	t͡su₅₅t͡sɿ₅₅	t͡s u ₅₅ t͡s ɿ ₅₅	58	Allen2007, 61	bird / 鸟	tsu55tsɿ55	t͡s - u ₅₅ t͡s ɿ ₅₅
6280	kʰu₃₃	kʰ u ₃₃	365	Allen2007, 119	fruit / 果	kʰu33	kʰ u ₃₃
6025	kɛ̃₅₅	k ɛ̃ ₅₅	301	Allen2007, 347	fear / 怕	kɛ̃55	k ɛ̃ ₅₅
966	kʰũã₄₄	kʰ ũ ã ₄₄	163	Allen2007, 50	dog / 狗	kʰũã44	kʰ ũ ã - ₄₄
5528	jɔ₂₁kʰu₅₅	j ɔ ₂₁ kʰ u ₅₅	1435	Allen2007, 85	wing(bird) / 翅膀	jɔ21kʰu55	j ɔ ₂₁ kʰ u - ₅₅
3388	kʰuɛ₃₃	kʰ u ɛ ₃₃	1070	Allen2007, 70	snake / 蛇	kʰuɛ33	kʰ u ɛ ₃₃
154737	to₃₁kʰɯ₅₅	t o ₃₁ kʰ ɯ ₅₅	406	Allen2007, 377	grow(of people) / 长（长大）	to31kʰɯ55	t o ₃₁ kʰ ɯ ₅₅
5492	a₅₅ma₅₅	a ₅₅ m a ₅₅	1405	Allen2007, 490	where / 哪里	a55ma55	a ₅₅ m a ₅₅
