OMEGAWIKI	IPA	TOKENS	SCAID	SOURCE	GLOSS_IN_SOURCE	ENTRY_IN_SOURCE	ALIGNMENT
5662	duɔ₄₂	d u ɔ ₄₂	1146	Wang2006a, 586	stick	duɔ42	d u ɔ ₄₂
5466	ʐɤ₃₅	ʐ ɤ ₃₅	234	Wang2006a, 353	worm	ʐv35	ʐ ɤ ₃₅
5980	ɕi₄₂	ɕ i ₄₂	645	Wang2006a, 356	louse	ɕi42	ɕ i ₄₂
5599	t͡ɕyen₅₅	t͡ɕ y e n ₅₅	970	Wang2006a, 61	salt	tɕyen55	t͡ɕ y e n ₅₅
5482	kɤ₃₃	k ɤ ₃₃	798	Wang2006a, 1493	old	kv33	k ɤ ₃₃
3269	mɛ₂₁	m ɛ ₂₁	948	Wang2006a, 375	root	mɛ21	m ɛ ₂₁
5485	uen₅₅	u e n ₅₅	1354	Wang2006a, 1064	lukewarm	uen55	- u e n ₅₅
5463	mo₃₃	m o ₃₃	717	Wang2006a, 219	mother	mo33	m o ₃₃
7039	xen₅₅	x e n ₅₅	1037	Wang2006a, 1	sky	xen55	x e n ₅₅
2421	ɕien₅₅	ɕ i e n ₅₅	738	Wang2006a, 23	mountain	ɕien55	ɕ i e n ₅₅
961244	gɯ₃₅	g ɯ ₃₅	1	Wang2006a, 1502	(water flow)	gɯ35	g ɯ ₃₅
400	t͡su₄₂	t͡s u ₄₂	54	Wang2006a, 326	bird	tsu42	t͡s u ₄₂
966	qʰuaŋ₃₃	qʰ u a ŋ ₃₃	163	Wang2006a, 289	dog	qʰuaŋ33	qʰ u a ŋ ₃₃
6055	ʐyen₂₁	ʐ y e n ₂₁	1321	Wang2006a, 1806	turn around	ʐyen21	ʐ y e n ₂₁
3388	t͡ʂʰɚ̃₃₃	t͡ʂʰ ɚ̃ ₃₃	1067	Wang2006a, 347	snake	tʂʰɚ̃33	t͡ʂʰ ɚ̃ ₃₃
3388	t͡ʂʰɚ̃₃₃	t͡ʂʰ ɚ̃ ₃₃	1067	Wang2006a, 347	snake	tʂʰɚ̃33	t͡ʂʰ ɚ̃ ₃₃
4160	t͡ɕyen₅₅	t͡ɕ y e n ₅₅	1425	Wang2006a, 9	wind	tɕyen55	t͡ɕ y e n ₅₅
7709	qʰo₄₂	qʰ o ₄₂	148	Wang2006a, 1485	cry (verb or noun?, should be made clear later on)	qʰo42	qʰ o ₄₂
3451	xue₃₃ɕien₅₅	x u e ₃₃ ɕ i e n ₅₅	1056	Wang2006a, 19	smoke	xue33ɕien55	x u e ₃₃ ɕ i e n ₅₅
6017	t͡sue₄₂	t͡s u e ₄₂	1121	Wang2006a, 1405	squeeze (for milk)	tsue42	t͡s u e ₄₂
3455	sue₄₂	s u e ₄₂	1077	Wang2006a, 12	snow	sue42	s u e ₄₂
443659	diaŋ₃₅	d i a ŋ ₃₅	395	Wang2006a, 1052	good	diaŋ35	d i a ŋ ₃₅
5650	quɛ₂₁	q u ɛ ₂₁	17	Wang2006a, 1053	bad (things)	quɛ21	q u ɛ ₂₁
446278	diɯ₃₅me₅₅	d i ɯ ₃₅ m e ₅₅	420	Wang2006a, 75	hair	[diɯ35me55]	d i ɯ ₃₅ m e ₅₅
5439	ʐo₄₂	ʐ o ₄₂	41	Wang2006a, 1438	to bark	ʐo42	ʐ o ₄₂
3361	t͡ʂɤŋ₃₃	t͡ʂ ɤ ŋ ₃₃	984	Wang2006a, 405	seed	tʂvŋ33	t͡ʂ ɤ ŋ ₃₃
7800	baŋ₂₁	b a ŋ ₂₁	537	Wang2006a, 1160	to be ill	baŋ21	b a ŋ ₂₁
6457	bɯ₃₅	b ɯ ₃₅	330	Wang2006a, 1553	float	bɯ35	b ɯ ₃₅
509787	xen₅₅ma₃₅	x e n ₅₅ m a ₃₅	1277	Wang2006a, 8	thunder	xen55ma35	x e n ₅₅ m a - ₃₅
1446	xue₃₃	x u e ₃₃	316	Wang2006a, 18	fire	xue33	x u e ₃₃
5995	ɲua₅₅	ɲ u a ₅₅	747	Wang2006a, 687	name	ɲua55	ɲ u a ₅₅
6312	ʐɚ₄₂	ʐ ɚ ₄₂	1199	Wang2006a, 806	ten	ʐɚ42	ʐ ɚ ₄₂
6059	zi₂₁	z i ₂₁	375	Wang2006a, 1345	give	zi21	z i ₂₁
6041	ɕiaŋ₅₅	ɕ i a ŋ ₅₅	1128	Wang2006a, 5	star	ɕiaŋ55	ɕ i a ŋ ₅₅
156096	saŋ₅₅	s a ŋ ₅₅	1276	Wang2006a, 799	three	saŋ55	s a ŋ ₅₅
5951	t͡ʂɚ̃₅₅	t͡ʂ ɚ̃ ₅₅	780	Wang2006a, 578	needle	tʂɚ̃55	t͡ʂ ɚ̃ ₅₅
