OMEGAWIKI	IPA	TOKENS	SCAID	SOURCE	GLOSS_IN_SOURCE	ENTRY_IN_SOURCE	ALIGNMENT
5466	ɕi₃₃li₃₃kʲɛ₃₅t͡ɕɛ̃₂₁	ɕ i ₃₃ l i ₃₃ kʲ ɛ ₃₅ t͡ɕ ɛ̃ ₂₁	235	Allen2007, 81	earthworm / 蚯蚓	ɕi33li33kʲɛ35tɕɛ̃21	ɕ i ₃₃ l i ₃₃ kʲ ɛ ₃₅ t͡ɕ ɛ̃ ₂₁
7027	ɕy₃₃ji₃₁	ɕ y ₃₃ j i ₃₁	1380	Allen2007, 18	wet / 水田	ɕy33ji31	ɕ y ₃₃ j i ₃₁
7027	pʰiɛ₅₅	pʰ i ɛ ₅₅	1394	Allen2007, 420	wet / 湿	pʰiɛ55	pʰ i ɛ ₅₅
5980	ɕi₄₄	ɕ i ₄₄	645	Allen2007, 78	louse / 虱子	ɕi44	ɕ i ₄₄
5599	pĩ₃₅	p ĩ ₃₅	972	Allen2007, 200	salt / 盐	pĩ35	p ĩ ₃₅
5482	ku₃₃	k u ₃₃	798	Allen2007, 415	old / 老	ku33	k u ₃₃
5429	nɛ̃₃₃ni₃₁	n ɛ̃ ₃₃ n i ₃₁	1423	Allen2007, 164	wife / 妻子	nɛ̃33ni31	n ɛ̃ ₃₃ n i ₃₁
336072	ta₃₁	t a ₃₁	1135	Allen2007, 343	steal / 偷	ta31	t a ₃₁
3269	me₃₁me₃₁	m e ₃₁ m e ₃₁	959	Allen2007, 115	root / 根	me31me31	m e ₃₁ m e ₃₁
5485	wẽ₃₅	w ẽ ₃₅	1357	Allen2007, 435	warm / 暖和	wẽ35	w ẽ ₃₅ - -
496633	ɕɛ̃₃₁	ɕ ɛ̃ ₃₁	836	Allen2007, 445	painful / 痛	ɕɛ̃31	ɕ ɛ̃ ₃₁
5463	a₃₁mɔ₃₃	a ₃₁ m ɔ ₃₃	719	Allen2007, 163	mother / 母亲	a31mɔ33	a ₃₁ m ɔ ₃₃
7039	xẽ₅₅	x ẽ ₅₅	1038	Allen2007, 1	sky / 天	xẽ55	x ẽ ₅₅
2421	ɕɛ̃₄₂	ɕ ɛ̃ ₄₂	728	Allen2007, 22	mountain / 山	ɕɛ̃42	ɕ ɛ̃ ₄₂
522875	jɛ̃₂₁	j ɛ̃ ₂₁	1018	Allen2007, 117	shoot,sprout / 芽	jɛ̃21	j ɛ̃ ₂₁
400	t͡sɔ₄₄	t͡s ɔ ₄₄	54	Allen2007, 61	bird / 鸟	tsɔ44	t͡s ɔ ₄₄
6280	kʰo₃₃	kʰ o ₃₃	365	Allen2007, 119	fruit / 果	kʰo33	kʰ o ₃₃
6025	kʲɛ̃₃₅	kʲ ɛ̃ ₃₅	301	Allen2007, 347	fear / 怕	kʲɛ̃35	kʲ ɛ̃ ₃₅
966	kʰũã₃₃	kʰ ũ ã ₃₃	163	Allen2007, 50	dog / 狗	kʰũã33	kʰ ũ ã - ₃₃
5528	jɔ₃₃kʰɛ₅₅	j ɔ ₃₃ kʰ ɛ ₅₅	1435	Allen2007, 85	wing(bird) / 翅膀	jɔ33kʰɛ55	j ɔ ₃₃ kʰ ɛ - ₅₅
3388	kʰɛ₃₃	kʰ ɛ ₃₃	1065	Allen2007, 70	snake / 蛇	kʰɛ33	kʰ ɛ ₃₃
154737	kuɔ₃₅	k u ɔ ₃₅	405	Allen2007, 377	grow(of people) / 长（长大）	kuɔ35	k u ɔ ₃₅
