ID	rn	reflex	GLOSS	x	srcabbr	lgid	language	srcid
1	441467	bi-tip	nest ()		RB-LMMG	1945	Garo (Bangladesh)	24
2	441471	-srip-	slurp, swirl with the mouth ()		RB-LMMG	1945	Garo (Bangladesh)	154
3	465152	mon	maunds (cls)		RB-LMMG	1945	Garo (Bangladesh)	1.36-II:idx
4	465153	-a	nominative; subject case (cm)		RB-LMMG	1945	Garo (Bangladesh)	0.12-II:idx
5	465154	-a	neutral tense; present tense (pvs)		RB-LMMG	1945	Garo (Bangladesh)	0.211-II:idx
6	465155	a•-ba-cheng-a	begin (vt)		RB-LMMG	1945	Garo (Bangladesh)	9.13-II:idx
7	465156	a-bat	cultivation (n)		RB-LMMG	1945	Garo (Bangladesh)	5.112-II:idx
8	465157	a-bat ko-ri-a	cultivate (vph)		RB-LMMG	1945	Garo (Bangladesh)	5.112-II:idx
9	465158	a-bi	cousin sister; sister, elder (n)		RB-LMMG	1945	Garo (Bangladesh)	6.615-II:idx
10	465159	a-bi-a-no	sisters (n)		RB-LMMG	1945	Garo (Bangladesh)	6.631-II:idx
11	465160	a-bi-sa ma•-drang	sisters (n)		RB-LMMG	1945	Garo (Bangladesh)	6.63-II:idx
12	465161	a-bi-sa sak-sin-i	Pleiades (n)		RB-LMMG	1945	Garo (Bangladesh)	4.212-II:idx
13	465162	a-chak	dog (n)		RB-LMMG	1945	Garo (Bangladesh)	5.35-II:idx
14	465163	a-da	brother, elder; cousin brother (n)		RB-LMMG	1945	Garo (Bangladesh)	6.614-II:idx
15	465164	a-dal	bait (n)		RB-LMMG	1945	Garo (Bangladesh)	4.487-II:idx
16	465165	a-da-ma-da	so so (adv)		RB-LMMG	1945	Garo (Bangladesh)	3.453-II:idx
17	465166	a-di-ba-si	aboriginal; native; tribal (n)		RB-LMMG	1945	Garo (Bangladesh)	6.89-II:idx
18	465167	a-dik-sit-dik	urgent (adv)		RB-LMMG	1945	Garo (Bangladesh)	3.76-II:idx
19	465168	a-dot	genuine; original; real (n)		RB-LMMG	1945	Garo (Bangladesh)	3.44-II:idx
20	465169	a-dra	half (n)		RB-LMMG	1945	Garo (Bangladesh)	3.3700-II:idx
21	465170	a-dul-i	eight annas (n)		RB-LMMG	1945	Garo (Bangladesh)	8.447-II:idx
22	465171	a-du-ri	horn (n)		RB-LMMG	1945	Garo (Bangladesh)	8.85-II:idx
23	465172	a-gal	grass; thatch (n)		RB-LMMG	1945	Garo (Bangladesh)	4.652-II:idx
24	465173	a-gal	fire (n)		RB-LMMG	1945	Garo (Bangladesh)	5.421-II:idx
