ID	rn	reflex	GLOSS	gfn	srcabbr	lgid	language	srcid
1	473154	•mhm•	That's right.	procl	SVB-GA	1973	Atong	
2	473155	-a	customary/imperfective aspect suffix	sfx	SVB-GA	1973	Atong	
3	473156	-a(i)	V towards the speaker	evsp	SVB-GA	1973	Atong	
4	473157	abek	long hollow drinking spoon made of a dried fruit used to scoop rice beer	n	SVB-GA	1973	Atong	
5	473158	abi	elder sister	n	SVB-GA	1973	Atong	
6	473159	abong	corn	n	SVB-GA	1973	Atong	
7	473160	abu	grandmother	n	SVB-GA	1973	Atong	
8	473161	abun	next, following, neighbouring, other, someone else's	adj2	SVB-GA	1973	Atong	
9	473162	achepchep	type of cricket	n	SVB-GA	1973	Atong	
10	473163	achi-	born	be v.	SVB-GA	1973	Atong	
11	473164	achu	grandfather	n	SVB-GA	1973	Atong	
12	473165	ade	stepmother	n	SVB-GA	1973	Atong	
13	473166	aganggi	type of grasshopper	n	SVB-GA	1973	Atong	
14	473167	agos	August	n	SVB-GA	1973	Atong	
15	473168	agre	too much	adv	SVB-GA	1973	Atong	
16	473169	agrai	too much	adv	SVB-GA	1973	Atong	
17	473170	aguk	grasshopper	n	SVB-GA	1973	Atong	
18	473171	-ai	adverbial clausal enclitic	encl.cl	SVB-GA	1973	Atong	
19	473172	-ai	emphatic positive suffix	sfx	SVB-GA	1973	Atong	
20	473173	-ai	focus enclitic, occurs on NPs and on locative clauses	encl.phr.cl	SVB-GA	1973	Atong	
21	473174	ai•ai•ai	interjection to call a pig	interj	SVB-GA	1973	Atong	
22	473175	aiai	interjection of surprise	interj	SVB-GA	1973	Atong	
23	473176	aiaw	interjection of excitement	interj	SVB-GA	1973	Atong	
24	473177	aiding	hopscotch (a children's game)	n	SVB-GA	1973	Atong	
25	473178	-aidong(a)	progressive/durative aspect suffix	sfx	SVB-GA	1973	Atong	
26	473179	-aidok	progressive/durative aspect suffix	sfx	SVB-GA	1973	Atong	
27	473180	-arong(a)	progressive/durative aspect suffix	sfx	SVB-GA	1973	Atong	
28	473181	-arok	progressive/durative aspect suffix	sfx	SVB-GA	1973	Atong	
29	473182	ain	custom, law, tradition	n	SVB-GA	1973	Atong	
30	473183	aina	mirror	n	SVB-GA	1973	Atong	
31	473184	aiy	interjection of inquiry and surprise: what are you doing?!	interj	SVB-GA	1973	Atong	
32	473185	aja	elder sister	n	SVB-GA	1973	Atong	
33	473186	ajip	fan	n	SVB-GA	1973	Atong	
34	473187	ajot	children's game	n	SVB-GA	1973	Atong	
35	473188	ak-	pluck (leaves, fruit etc. not feathers), to pick (flowers)	v	SVB-GA	1973	Atong	
36	473189	-ak	change of state/perfective aspect suffix	sfx	SVB-GA	1973	Atong	
37	473190	akai	aunt: mother's elder sister	n	SVB-GA	1973	Atong	
38	473191	akan	wooden rack above the cooking fire	n	SVB-GA	1973	Atong	
39	473192	akyrudygyl	pumpkin	n	SVB-GA	1973	Atong	
40	473193	a◦la◦bok	white crane bird	n	SVB-GA	1973	Atong	
41	473194	alaga	other (person/thing), somebody else, different	n	SVB-GA	1973	Atong	
42	473195	ali	classifier for small heaps or piles of things	clf	SVB-GA	1973	Atong	
43	473196	althu•-	easy	adj1	SVB-GA	1973	Atong	
44	473197	alu	potato	n	SVB-GA	1973	Atong	
45	473198	alukotar	helicopter	n	SVB-GA	1973	Atong	
46	473199	alupren	aeroplane	n	SVB-GA	1973	Atong	
47	473200	ama	mother	n	SVB-GA	1973	Atong	
