ID	GLOSS	CONCEPTICON_ID	CONCEPTICON_GLOSS	SIMILARITY
1	above	2438	above; beyond; on top (pp)	4
2	all	253	all (n)	4
3	the ant	2563	ant (n)	4
4	the armpit	2130	
5	bad		!	
6	the bamboo	2838	bamboo (n)	4
7	the barley (tibetan or highland)		!	
8	to be alive	2715	alive; live (vi)	4
9	the belly	329	belly; stomach (n)	4
10	below, under	1500	below; under (pp)	4
11	big	686	big; large (vi)	4
12	the bird	781	bird (n)	4
13	to bite	583	bite (vt)	4
14	black	1014	black (vi)	4
15	the blood	1186	blood (n)	4
16	to blow (of wind)	2659	blow (vt)	4
17	the body hair (hair or fur)	1588	down; fur; hair of body (n)	4
18	the bone	1092	bone (n)	4
19	the branch	359	branch; twig (n)	4
20	the breast (female)	2621	breast; nipple (n)	4
21	to burn [intransitive]	1501	blaze; burn (vi)	4
22	to buy	452	buy (vt)	4
23	to chew		!	
24	the child (young human)	369	child (n)	4
24	the child (young human)	90	child (n)	4
25	the cloud	894	cloud (n)	4
26	cold (of temperature)	582	cold (vi)	4
27	to come	1251	come (vi)	4
27	to come	2277	come (vi)	4
28	correct (right)	1657	appropriate; correct; right; suitable (vi)	4
29	to count	513	count (vt)	4
30	to cry (weep)	1091	cry; wail; weep (vi)	4
31	dark	86	dark (vi)	4
32	the daughter	726	daughter (n)	4
33	the dew	2360	dew (n)	4
34	to die	2517	dark of moon; die; settle legal case (vi)	4
35	to dig	183	dig (vt)	4
36	dirty	1496	dirty (adv)	4
37	the dog	13	dog (n)	4
38	the dream	1468	dream (n)	4
39	to drink	2344	drink; smoke (vt)	4
40	dry	2249	dry; thirsty (vi)	4
41	the dust	867	dust (n)	4
41	the dust	1149	dust (n)	4
42	the ear	1971	ear (n)	4
43	early	2729	early; quickly (adv)	4
44	the earth (soil)	1175	earth; soil (n)	4
45	the earthworm	2287	
46	to eat	484	eat (vt)	4
47	the egg	785	egg (n)	4
48	eight	554	eight (num)	4
49	the eye	1891	eye; pupil of eye (n)	4
50	far	542	distant; far (vi)	4
51	the father	2106	father (n)	4
51	the father	104	father (n)	4
52	the feather	1090	feather; wing (n)	4
53	to fight	763	attack; fight (vt)	4
54	the fire	2851	fire (n)	4
54	the fire	24	fire (n)	4
55	firewood	1134	firewood (n)	4
56	the fish	2017	fish (n)	4
57	five		!	
58	the flea		!	
59	to float	191	float (vi)	4
60	to flow		!	
61	the flower	2225	flower (n)	4
62	to fly (move through air)	2771	fly (vi)	4
63	the fog	1125	fog; mist (n)	4
64	the foot	1275	foot; leg (n)	4
65	the forest	460	forest; jungle (n)	4
66	to forget	1115	forget (vi)	4
67	four	456	four (num)	4
68	the fox		!	
69	the frog	274	frog (n)	4
70	the front (front side)	1885	front; in front of (pp)	4
71	the frost		!	
72	the fruit	384	fruit (n)	4
73	full	936	full (vi)	4
74	to give	2382	give; put (vt)	4
75	the goat	820	goat (n)	4
76	good	1981	good (vi)	4
77	the grass	2462	grass; herb (n)	4
78	green	2720	green (vi)	4
79	the hail	2678	hail (n)	4
80	the hair (of the head)	1603		
81	the hand	1300	arm; hand (n)	4
82	hard	2240	difficult; expensive; fast; hard; strong; tough (vi)	4
83	he or she [third person singular]	289	he; she (pro)	4
84	the head	2603	head (n)	4
85	to hear	1592	hear; listen (vt)	4
86	the heart	1525	heart (n)	4
87	heavy	651	heavy (vi)	4
88	here	1267	here (lw)	4
89	to hide (conceal)	845	conceal; hide (vt)	4
90	high / tall	521	tall (vi)	4
90	high / tall	658	high (vi)	4
91	to hold	2803	hold; lift (vt)	4
92	the hoof		!	
93	horizontal		!	
94	the horn (keratinized skin)	2578	horn (n)	4
94	the horn (keratinized skin)	22	horn (n)	4
95	the horse	1079	horse (n)	4
96	hot	762	hot (vi)	4
97	the house	2053	building; family; house; household (n)	4
98	hundred	2367	hundred (num)	4
99	to hunt	2531	hunt (vt)	4
100	the husband	98	husband (n)	4
101	I [first person singular]	88	I (pro)	4
102	the ice	442	ice; snow (n)	4
103	inside	2041	inside (pp)	4
104	to kill	2521	kill (vt)	4
