# Wordlist

# DATA
ID	COGID	POS	CONCEPT	DOCULECT	ORIGINAL_CONCEPT	STEDT_SRCID	ORIGINAL_TAXNAME	ORIGINAL_ENTRY	MORPHEMES	NOTE	COGIDS	SOURCE	STEDT_GLOSS	CONCEPTICON_ID	STEDT_REFLEX	IPA	STEDT_CONCEPT	TOKENS	STEDT_RN	ALIGNMENT
#
6187	165		I [first person singular]	Rangoon	I	928.27	Burmese (Rangoon)	ŋɑ²²	me		91	TBL		1209		ŋɑ²²		ŋ ɑ ²²	34950	ŋ ɑ ²²
6259	165		I [first person singular]	Atsi	I	928.3	Atsi [Zaiwa]	ŋo⁵¹	I-me		91	TBL		1209		ŋo⁵¹		ŋ o ⁵¹	42262	ŋ o ⁵¹
6265	165		I [first person singular]	Written_Burmese	I	928.26	Burmese (Written)	ŋɑɑ²	I-me		91	TBL		1209		ŋɑɑ²		ŋ a ²	33055	ŋ a ²
6348	165		I [first person singular]	Maru	I	928.31	Langsu (Luxi)	ŋɔ³¹	me		91	TBL		1209		ŋɔ³¹		ŋ ɔ ³¹	44104	ŋ ɔ ³¹
6432	165		I [first person singular]	Lashi	I	928.33	Leqi (Luxi)	ŋo³¹	me		91	TBL		1209		ŋo³¹		ŋ o ³¹	47708	ŋ o ³¹
6489	165		I [first person singular]	Xiandao	I	928.29	Achang (Xiandao)	ŋɔ⁵⁵	I-me		91	TBL		1209		ŋɔ⁵⁵		ŋ ɔ ⁵⁵	38607	ŋ ɔ ⁵⁵
6549	165		I [first person singular]	Bola	I	928.32	Bola (Luxi)	ŋa⁵⁵	I-me		91	TBL		1209		ŋa⁵⁵		ŋ a ⁵⁵	45887	ŋ a ⁵⁵
6631	165		I [first person singular]	Achang_Longchuan	I	928.28	Achang (Longchuan)	ŋɔ⁵⁵	I-me		91	TBL		1209		ŋɔ⁵⁵		ŋ ɔ ⁵⁵	36827	ŋ ɔ ⁵⁵
#
6167	1155		above	Written_Burmese	over / above	731.26	Burmese (Written)	ɑ¹thɑk⁴	a-prefix above		1292 3	TBL		1741		ɑ¹tʰɑk⁴		a ¹ + tʰ a k ⁴	32854	a ¹ ◦ tʰ a k ⁴
