DOCULECT	CONCEPT	IPA	HANZI	NOTE
Caijia	above	[dv̩³³]	上	
Caijia	all	[la³³]	亦，也	everything
Caijia	and	[ta⁵⁵]	囗	
Caijia	the ashes	[fɛ⁵⁵ sɿ³³ kʰa³³]	火，燬囗囗	
Caijia	the back	[sui³³ kui⁵⁵]	囗骨	opisthenar
Caijia	bad	[tṣʰɿ̣²¹]	囗	
Caijia	to bark	[bəw²¹] = [bu²¹]	吠	
Caijia	the bark	[ṣɔ⁵⁵ pəw²¹] = [ṣɔ⁵⁵ pu²¹]	樹皮	
Caijia	to be alive	[xa³³]	活	
Caijia	the belly	[mu²¹ lu²¹] = [məw²¹ lu²¹]	囗囗	
Caijia	below, under	[ti⁵⁵]	底	
Caijia	big	[la²¹]	大	
Caijia	the bird	[tsɿ³³]	隹	
Caijia	to bite	[tɕʰiɴ³³]a, [tɕʰiɴ⁵⁵]b	囗	
Caijia	black	[kʰəw⁵⁵]	黑	
Caijia	the blood	[tsʰɿ⁵⁵]	囗	
Caijia	to blow	[tṣʰɿ̣³³]b	吹	
Caijia	blunt	[mv̩²¹]	囗	
Caijia	the bone	[kui⁵⁵ tu²¹]	骨頭	
Caijia	the branch			
Caijia	the breast	[mʝ̩³³]	囗	
Caijia	to breathe	[ʎʝ̩³³ kʰəw³³ ṣɛ²¹]	入氣息	exhale
Caijia	to burn [transitive]	[pej²¹]a, [bej³³]b	燔	
Caijia	to buy	[mawɴ³³]	買	
Caijia	to chew	[tsv̩²¹]a, [tsv̩³³]b	咀	
Caijia	the child (descendant)	[ŋa⁵⁵]	伢	
Caijia	to choose	[ɕyɛn⁵⁵]	選	
Caijia	to climb	[dẓa²¹]	上	
Caijia	the cloud	[tiɴ³³]	TB	
Caijia	cold (of temperature)	[ka²¹]	寒	
Caijia	to come	[ɣəw²¹]	來	
Caijia	to cook	[pʰja⁵⁵]a, [pʰja³³]	囗	
Caijia	correct (right)	[ti²¹]	對	true,
Caijia	to count	[sv̩⁵⁵]	數	
Caijia	to cry	[xəw³³]	號?	to weep and sob
Caijia	to cut	[pʰɔ³³]a, [pʰɔ²¹]b	破，劈	
Caijia	the day (opposed to night)	[kʰɪɴ³³ mja³³]	天明?	
Caijia	to die	[ȵjawɴ⁵⁵]	囗	to pass away
Caijia	to dig	[mej⁵⁵]a, [mej³³]b	挖	to dig
Caijia	dirty	[tsawɴ²¹]	髒	
Caijia	the dog	[kʰui⁵⁵]	犬，TB	
Caijia	the dream	[muɴ²¹]	夢	
Caijia	to drink	[ʔawɴ³³]a, [ʔawɴ²¹]b	飲	
Caijia	dry	[ka³³]	乾	
Caijia	the dust	[fsɿ³³ kʰa³³]	囗囗	
Caijia	the ear	[ȵi³³ kʰa³³]	耳口	
