ID	rn	reflex	GLOSS	gfn	srcabbr	lgid	language	srcid
1	478714	ʔə	Attention-getting; oh!	excl.	RC-DOC	1977	Chepang	
2	478715	-ʔə	Emphatic (usu. of Singular Intransitive Imperative)	fn1.	RC-DOC	1977	Chepang	
3	478716	-ʔə	Locative (Relational)	fn2.	RC-DOC	1977	Chepang	
4	478717	ʔə.khər	letter (of alphabet) (<N əkshər)	n.	RC-DOC	1977	Chepang	
5	478718	-ʔə.gə	Adverbializer; in such a way (defined by the verb or noun root)	fn.	RC-DOC	1977	Chepang	
6	478719	ʔə.cə.ləŋ	depression, sleeplessness	n.	RC-DOC	1977	Chepang	
7	478720	ʔə.ci.ta	(rice) grain given at festival (esp. the important Chonam festival)	n.	RC-DOC	1977	Chepang	
8	478721	ʔə.jəmʔ-	feel disgust, find disagreeable, be repelled (by object)	vr.	RC-DOC	1977	Chepang	
9	478722	ʔə.də bə.də	untidy, dirty	onom.	RC-DOC	1977	Chepang	
10	478723	ʔə.nəmh	before, previously (relatively recently)	nt.	RC-DOC	1977	Chepang	
11	478724	ʔə.rəmh də.rəmh	very thirsty	onom.	RC-DOC	1977	Chepang	
12	478725	ʔə.ru	another, other (<N)	adj.	RC-DOC	1977	Chepang	
13	478726	ʔə.lək mə.lək	disorder, confusion	onom.	RC-DOC	1977	Chepang	
14	478727	ʔə.ləŋ dhə.ləŋ	with surprise	onom.	RC-DOC	1977	Chepang	
15	478728	ʔə.ləwʔ	atmosphere, sphere of birds' flight	n.	RC-DOC	1977	Chepang	
16	478729	ʔə.sar	month (sp.), mid-June to mid-July (<N əsar)	nt.	RC-DOC	1977	Chepang	
17	478730	ʔə.so.jə	month (sp.), mid-September to mid-October (<N əsoj)	nt.	RC-DOC	1977	Chepang	
18	478731	ʔə.həʔ	exclamation of dissent	excl.	RC-DOC	1977	Chepang	
19	478732	ʔə.həy	exclamation of surprise	excl.	RC-DOC	1977	Chepang	
20	478733	ʔəʔ.phuk	burp, belch (esp. when due to an upset stomach)	n.	RC-DOC	1977	Chepang	
21	478734	ʔək-	prise up, raise one edge, loosen (rock)	vt.	RC-DOC	1977	Chepang	
22	478735	ʔəkəʔ-	prised up, loosened, tipped on edge	va.	RC-DOC	1977	Chepang	
23	478736	ʔəŋ-	break, lift or clear (cloud), shine below cloud (sun)	vi.	RC-DOC	1977	Chepang	
24	478737	ʔəŋ.kəʔ-	sting, smart (sore), be inflamed	vat.	RC-DOC	1977	Chepang	
25	478738	hluŋ ʔəŋ.kəʔ-	hot (stomach or body - after drinking hot liquid)	vat.	RC-DOC	1977	Chepang	
26	478739	ʔəŋ.gə thəŋ.gə	very bright (light or fire)	onom.	RC-DOC	1977	Chepang	
27	478740	ʔəŋ.gay thəŋ.gay	very bright (light or fire)	onom.	RC-DOC	1977	Chepang	
28	478741	ʔəŋh-	partly open, not shut (lid, etc.); begin to clear (rain)	va.	RC-DOC	1977	Chepang	
29	478742	ʔəŋh.ti yo-	look from prone position	vt.	RC-DOC	1977	Chepang	
30	478743	ʔəŋhəʔ-	warm up (weather, person, etc.)	vi.	RC-DOC	1977	Chepang	
31	478744	hluŋ ʔəŋhəʔ-	hot, sweating (with sickness)	vi.	RC-DOC	1977	Chepang	
