ID	rn	reflex	GLOSS	gfn	srcabbr	lgid	language	srcid
1	62570	kʰeʔ-sa	be	be v.	SIL-Chep	449	Chepang	13.A.20
2	62569	naʔ-sa	be	be v.	SIL-Chep	449	Chepang	13.A.20
3	64278	-taŋ	functor (locative / dative)	v.	SIL-Chep	449	Chepang	13.B.29
4	62472	pʰe-sa	abandon		SIL-Chep	449	Chepang	6.B.2.9
5	62571	(verb stem) + kʰeʔ-	about	be v.	SIL-Chep	449	Chepang	13.A. 12
6	62473	tʰaray-haŋ	above		SIL-Chep	449	Chepang	12.C.59
7	62474	(N)	abstain		SIL-Chep	449	Chepang	7.B.2. 36
8	62475	sokar-sa	accept		SIL-Chep	449	Chepang	7.B.2. 34
9	62476	--	accompany		SIL-Chep	449	Chepang	2.B.1.15
10	62477	--	accuse		SIL-Chep	449	Chepang	15.B.3.9
11	62478	ʔuʔ-səy	across		SIL-Chep	449	Chepang	12.C.63
12	62479	gʰo-sa	admit		SIL-Chep	449	Chepang	10.B.1.33
13	62480	syan-sa	advice	v.t.	SIL-Chep	449	Chepang	10.B.1.14
14	62482	lone	after		SIL-Chep	449	Chepang	12.D.29
15	62484	nyam yohare	afternoon (late)		SIL-Chep	449	Chepang	5.A.10
16	62483	hi◦diŋ	afternoon (early)		SIL-Chep	449	Chepang	5.A.10
17	62485	(N)	aged		SIL-Chep	449	Chepang	12.A.2
18	62489	gya-sa	agree		SIL-Chep	449	Chepang	10.B.1.13
19	62488	homkay-sa	agree		SIL-Chep	449	Chepang	10.B.1.13
20	62487	braŋ-sa	agree		SIL-Chep	449	Chepang	10.B.1.13
21	62486	gʰam-sa	agree		SIL-Chep	449	Chepang	10.B.1.13
22	62490	--	agreement		SIL-Chep	449	Chepang	11.A.42
23	62492	juʔ-sa	aim at		SIL-Chep	449	Chepang	3.B.27
24	62491	dʰəy-sa	aim at		SIL-Chep	449	Chepang	3.B.27
25	62493	dih-sa	alight		SIL-Chep	449	Chepang	3.B.10
26	62494	lekʰa	alike		SIL-Chep	449	Chepang	12.D.1
27	62495	syak-ʔo	alive		SIL-Chep	449	Chepang	12.A.8
28	62497	juda	all		SIL-Chep	449	Chepang	12.D.16
29	62496	juda	all		SIL-Chep	449	Chepang	1.9
30	62498	(Inf.) + syaw-sa	all right / acceptable		SIL-Chep	449	Chepang	13.A.6
31	62499	tak-sa	allow		SIL-Chep	449	Chepang	6.B.2. 21
32	62572	(Inf.) + tak-sa	allowed	be v.	SIL-Chep	449	Chepang	13.A.8
33	62500	-ma	also		SIL-Chep	449	Chepang	13.B.2
34	62501	--	amuse / laughter, cause		SIL-Chep	449	Chepang	11.B.1.16
35	62502	-ma	and		SIL-Chep	449	Chepang	13.B.1
36	62503	(N)	angry, get		SIL-Chep	449	Chepang	10.B.3.18
37	62505	gəyŋ	animal trap / dug-out canoe		SIL-Chep	449	Chepang	8.A. 29
38	62504	--	animal		SIL-Chep	449	Chepang	3.A.1
39	62506	kəda	anklet		SIL-Chep	449	Chepang	7.A.43
40	62507	--	annoy		SIL-Chep	449	Chepang	10.B.1.63
41	62508	tʰetʰe	another		SIL-Chep	449	Chepang	9.52
42	62509	tyaŋ-sa	answer		SIL-Chep	449	Chepang	10.B.1.16
43	62512	koŋrok	ant		SIL-Chep	449	Chepang	3.A.85
44	62511	syabareʔ	ant		SIL-Chep	449	Chepang	3.A.85
45	62510	dupliʔ	ant		SIL-Chep	449	Chepang	3.A.85
46	62513	syar-syaʔ	antelope (goral)		SIL-Chep	449	Chepang	3.A.58
47	62515	tʰa-sa	appear		SIL-Chep	449	Chepang	10.B.3.39
48	62514	tʰa-sa	appear		SIL-Chep	449	Chepang	5.B.11
49	62516	dyaŋ-to waŋ-sa	approach		SIL-Chep	449	Chepang	2.B.1.3
50	62517	--	approve / confirm		SIL-Chep	449	Chepang	10.B.1.18
51	62518	--	argument		SIL-Chep	449	Chepang	11.A.44
52	62519	krut	arm		SIL-Chep	449	Chepang	2.A.47
53	62520	weʔ-krut	arm (left)		SIL-Chep	449	Chepang	2.A.50
54	62521	ŋoy◦krut	arm (right)		SIL-Chep	449	Chepang	2.A.49
55	62522	ʔakacyəl	armpit		SIL-Chep	449	Chepang	2.A.51
56	62523	--	around		SIL-Chep	449	Chepang	12.C.61
57	62524	doŋʔ-kam tə gəm-sa	arrange		SIL-Chep	449	Chepang	7.B.2. 24
58	62525	dah-sa	arrive here		SIL-Chep	449	Chepang	11.B.1.35
59	62526	laʔ	arrow		SIL-Chep	449	Chepang	8.A. 16
60	62527	ke	arrow point (barb)		SIL-Chep	449	Chepang	8.A. 17
61	62528	lənʰsa	ascend		SIL-Chep	449	Chepang	2.B.1.13
62	62530	hyomʔ	ash		SIL-Chep	449	Chepang	1.83
63	62529	hmeʔ-mut	ash		SIL-Chep	449	Chepang	1.83
64	62531	hwət-sa	ask		SIL-Chep	449	Chepang	10.B.1.15
65	62533	--	assembly		SIL-Chep	449	Chepang	11.A.37
66	62532	hum-sa	assemble		SIL-Chep	449	Chepang	11.B.2.34
67	62535	byah-sa	astray, go		SIL-Chep	449	Chepang	3.B.38
68	62534	weŋ-sa	astray, go		SIL-Chep	449	Chepang	3.B.38
69	62536	minʰ-sa	attack		SIL-Chep	449	Chepang	11.B.3.4
70	62537	--	attentive		SIL-Chep	449	Chepang	12.A.14
71	62539	jhelʰ-ʔo	attractive		SIL-Chep	449	Chepang	12.A.69
72	62538	ŋos-ʔo	attractive		SIL-Chep	449	Chepang	12.A.69
73	62540	nyumʰ-tak-sa	avenge		SIL-Chep	449	Chepang	11.B.3.20
74	62541	kʰəyʔ-sa	avoid (smn)		SIL-Chep	449	Chepang	10.B.1.73
75	62542	-səy	away from		SIL-Chep	449	Chepang	12.C.54
76	62543	wəsray	axe		SIL-Chep	449	Chepang	8.A. 19
77	62544	kah	back		SIL-Chep	449	Chepang	12.C.17
78	62545	giŋ	back (lower)		SIL-Chep	449	Chepang	2.A.31
79	62546	kah	back (upper)		SIL-Chep	449	Chepang	2.A.30
80	62547	gryaŋ	back-basket		SIL-Chep	449	Chepang	8.A.8
81	62548	rew-ʔo	bad		SIL-Chep	449	Chepang	12.B.47
82	62549	luŋ	ball		SIL-Chep	449	Chepang	8.A. 36
83	62557	rik	bamboo tie strips		SIL-Chep	449	Chepang	6.A.22
84	62556	cyas	bamboo tie strips		SIL-Chep	449	Chepang	6.A.22
85	62555	me-sagə	bamboo shoots		SIL-Chep	449	Chepang	4.A.60
86	62554	hlyas	bamboo shoots		SIL-Chep	449	Chepang	4.A.60
87	62553	kroh	bamboo joint		SIL-Chep	449	Chepang	4.A.61
88	62552	mo	bamboo		SIL-Chep	449	Chepang	4.A.59
89	62551	cawe	bamboo		SIL-Chep	449	Chepang	4.A.59
90	62550	ruyŋ	bamboo		SIL-Chep	449	Chepang	4.A.59
91	62558	məy-sayʔ	banana		SIL-Chep	449	Chepang	4.A.18
92	62559	wadʰalʔ	bank		SIL-Chep	449	Chepang	5.A.71
93	62560	--	bare / empty		SIL-Chep	449	Chepang	12.C.15
94	62562	gyawʰ-sa	bark		SIL-Chep	449	Chepang	3.B.1
95	62561	siŋʔ-ko pun	bark		SIL-Chep	449	Chepang	1.27
