# Wordlist

# DATA
ID	DOCULECT	CONCEPT_PINYIN	HANZI	ENTRY_IN_SOURCE	BEIDA_ID	IPA	TOKENS	NOTE
#
10041	Beijing	biàn-dān 333	扁擔	pian²¹⁴₂₁tan⁰	333	pian²¹⁴₂₁tan⁰	p i a n ²¹⁴₂₁ t a n ⁰	
10042	Jinan	biàn-dān 333	扁擔	piæ̃⁵⁵tæ̃⁰	333	piæ̃⁵⁵tæ̃⁰	p i æ̃ ∼ ⁵⁵ t æ̃ ∼ ⁰	
10043	Shenyang	biàn-dān 333	扁擔	pian²¹³₂₁tan⁰	333	pian²¹³₂₁tan⁰	p i a n ²¹³₂₁ t a n ⁰	
10044	Xian	biàn-dān 333	扁擔	piæ̃⁵³tæ̃⁰	333	piæ̃⁵³tæ̃⁰	p i æ̃ ∼ ⁵³ t æ̃ ∼ ⁰	
10045	Chengdu	biàn-dān 333	扁擔	pian⁵³tan¹³	333	pian⁵³tan¹³	p i a n ⁵³ t a n ¹³	
10046	Kunming	biàn-dān 333	扁擔	piɛ⁵³tã¹³	333	piɛ⁵³tã¹³	p i ɛ ⁵³ t ã ∼ ¹³	
10047	Hefei	biàn-dān 333	扁擔	piĩ²⁴tæ̃⁰	333	piĩ²⁴tæ̃⁰	p i ĩ ∼ ²⁴ t æ̃ ∼ ⁰	
10048	Yangzhou	biàn-dān 333	扁擔	piĩ⁴²tɛ̃⁵⁵	333	piĩ⁴²tɛ̃⁵⁵	p i ĩ ∼ ⁴² t ɛ̃ ∼ ⁵⁵	
10049	Suzhou	biàn-dān 333	扁擔	piɪ⁴¹tɛ⁵¹³₃₅	333	piɪ⁴¹tɛ⁵¹³₃₅	p i ɪ ⁴¹ t ɛ ⁵¹³₃₅	
10050	Wenzhou	biàn-dān 333	扁擔	pi⁴⁵ta⁴²	333	pi⁴⁵ta⁴²	p i ⁴⁵ t a ⁴²	
