ID	DOCULECT	CONCEPT	CONCEPTICON_ID	TBL_ID	GLOSS_IN_SOURCE	CHINESE_GLOSS_IN_SOURCE	IPA	HANZI	SOURCE	TOKENS
92	Beijing	I [first person singular]	1209	928	I (first person singular) // I // I	我 // 我 // 我	uo²¹⁴ // uo²¹⁴ // uo²¹³	我 // 我 // 我	BeijingDaxue1964, Hou2004, Liu2007	u o ²¹⁴
324	Changsha	I [first person singular]	1209	928	I (first person singular) // I // I	我 // 我 // 我	ŋo⁴¹ // ŋo⁴¹ // ŋo⁴¹	我 // 我 // 我	BeijingDaxue1964, Hou2004, Liu2007	ŋ o ⁴¹
556	Chengdu	I [first person singular]	1209	928	I (first person singular) // I // I	我 // 我 // 我	ŋo⁵³ // ŋo⁵³ // ŋo⁵³	我 // 我 // 我	BeijingDaxue1964, Hou2004, Liu2007	ŋ o ⁵³
788	Fuzhou	I [first person singular]	1209	928	I (first person singular) // I // I // I	我 // 我 // 我 // 我	ŋuai³¹ // nøyŋ⁵³ // ŋuai⁰ // ŋuai³²	我 // 侬 // 我 // 我	BeijingDaxue1964, Hou2004, Hou2004, Liu2007	ŋ u a i ³¹
1020	Guangzhou	I [first person singular]	1209	928	I (first person singular) // I // I	我 // 我 // 我	ŋɔ²³ // ŋɔ²³ // ŋɔ²³	我 // 我 // 我	BeijingDaxue1964, Hou2004, Liu2007	ŋ ɔ ²³
1252	Jinan	I [first person singular]	1209	928	I (first person singular) // I (first person singular) // I // I // I	我 // 我 // 我 // 我 // 我	uə⁵⁵ // ŋæ̃∼⁵⁵ // və⁵⁵ // ŋã∼⁵⁵ // vɔ⁴⁵	我 // 俺 // 我 // 俺 // 我	BeijingDaxue1964, BeijingDaxue1964, Hou2004, Hou2004, Liu2007	u ə ⁵⁵
1484	Meixian	I [first person singular]	1209	928	I (first person singular) // I	我 // 我	@ŋai¹² // ŋai¹¹	 // 佳	BeijingDaxue1964, Liu2007	@ ŋ a i ¹²
1716	Nanchang	I [first person singular]	1209	928	I (first person singular) // I // I	我 // 我 // 我	ŋɔ²¹³ // ŋo²¹³ // ŋo²¹³	我 // 我 // 我	BeijingDaxue1964, Hou2004, Liu2007	ŋ ɔ ²¹³
1948	Suzhou	I [first person singular]	1209	928	I (first person singular) // I (first person singular) // I // I	我 // 我 // 我 // 我	ŋəu³¹ // nəu³¹ // ŋəu³¹ // ŋəu²³¹	我 // 奴 // 吾 // 吾	BeijingDaxue1964, BeijingDaxue1964, Hou2004, Liu2007	ŋ ə u ³¹
2180	Wenzhou	I [first person singular]	1209	928	I (first person singular) // I // I	我 // 我 // 我	ῃ²⁴ // ŋŋ̍∼³⁵ // ŋ̍²⁴	我 // 我 // 我	BeijingDaxue1964, Hou2004, Liu2007	ῃ ²⁴
2412	Xiamen	I [first person singular]	1209	928	I (first person singular) // I // I	我 // 我 // 我	gua⁵¹ // gua⁵³ // ŋua⁵³	我 // 我 // 我	BeijingDaxue1964, Hou2004, Liu2007	g u a ⁵¹
1	Beijing	above	1741	731	*top, top side // on // on	上面 // 上面 // 上面	ʂaŋ⁵¹tʰou⁰ // ʂɑŋ⁵¹+tʰou¹ // ʂɑŋ⁵¹+piar¹	上頭 // 上头 // 上边	BeijingDaxue1964, Hou2004, Hou2004	ʂ a ŋ ⁵¹ tʰ o u ⁰
233	Changsha	above	1741	731	*top, top side // on // on // on	上面 // 上面 // 上面 // 上面	san²¹təu⁰ // ʂan¹¹+miẽ∼⁰ // kau³³+təu⁰ // ʂan¹¹+təu⁰	上頭 // 上面 // 高头 // 上头	BeijingDaxue1964, Hou2004, Hou2004, Hou2004	s a n ²¹ t ə u ⁰
465	Chengdu	above	1741	731	*top, top side // *top, top side // on // on // on // on // on // on	上面 // 上面 // 上面 // 上面 // 上面 // 上面 // 上面 // 上面	kau⁴⁴tʰəu³¹ // saŋ¹³tʰəu³¹ // saŋ¹³+tʰəu³¹/⁵⁵ // saŋ¹³+pian⁵⁵ // saŋ¹³+mian¹³ // kau⁵⁵+tʰəu³¹/⁵⁵ // kau⁵⁵+saŋ¹³ // tin⁵³+saŋ¹³	高頭 // 上頭 // 上头 // 上边 // 上面 // 高头 // 高上 // 顶上	BeijingDaxue1964, BeijingDaxue1964, Hou2004, Hou2004, Hou2004, Hou2004, Hou2004, Hou2004	k a u ⁴⁴ tʰ ə u ³¹
697	Fuzhou	above	1741	731	*top, top side // on	上面 // 上面	kɛ³¹leiŋ³¹ // kɛ⁵³/³²+lɛiŋ³²	懸頂 // 悬顶	BeijingDaxue1964, Hou2004	k ɛ ³¹ l e i ŋ ³¹
929	Guangzhou	above	1741	731	*top, top side // on // on	上面 // 上面 // 上面	ʃœŋ²²pin²² // sœŋ²²+pin²² // sœŋ²²+kou⁵⁵	上便 // 上便 // 上高	BeijingDaxue1964, Hou2004, Hou2004	ʃ œ ŋ ²² p i n ²²
1161	Jinan	above	1741	731	*top, top side // on // on // on	上面 // 上面 // 上面 // 上面	ʂaŋ²¹pɛr⁰ // ʂaŋ²¹/⁵⁴⁴+tʰou⁰ // ʂaŋ²¹+piɛr⁰ // tiŋ⁵⁵/²¹³+ʂaŋ⁰	上邊兒 // 上头 // 上边 // 顶上	BeijingDaxue1964, Hou2004, Hou2004, Hou2004	ʂ a ŋ ²¹ p ɛ r ⁰
1393	Meixian	above	1741	731	*top, top side // on	上面 // 上面	sɔŋ⁴²pɔi⁴² // soŋ⁵³/⁵⁵+poi⁵³	上背 // 上背	BeijingDaxue1964, Hou2004	s ɔ ŋ ⁴² p ɔ i ⁴²
1625	Nanchang	above	1741	731	*top, top side // *top, top side // on // on	上面 // 上面 // 上面 // 上面	sɔŋ³¹tʰɛu²⁴ // sɔŋ³¹tit⁵ // sɔŋ²¹+tʰɛu⁰² // kɑu⁴²+tʰɛu⁰²	上頭 // ! 上□ // 上头 // 高头	BeijingDaxue1964, BeijingDaxue1964, Hou2004, Hou2004	s ɔ ŋ ³¹ tʰ ɛ u ²⁴
1857	Suzhou	above	1741	731	*top, top side // on	上面 // 上面	zɒŋ³¹₂₂dʏ²⁴₃₃ // zã∼³¹/¹³+dʏ⁰	上頭 // 上头	BeijingDaxue1964, Hou2004	z ɒ ŋ ³¹₂₂ d ʏ ²⁴₃₃
2089	Wenzhou	above	1741	731	*top, top side // on // on // on	上面 // 上面 // 上面 // 上面	ɦi¹¹mai¹¹ // ji²²/⁴²+mai²² // ji²²/⁴²+mai²²/²¹+dɤu³¹/²¹ // ji²²/⁴²+tɕy³⁵	上面 // 上面 // 上面头 // 上转	BeijingDaxue1964, Hou2004, Hou2004, Hou2004	ɦ i ¹¹ m a i ¹¹
